danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.623,0.36,-11.99,0.0424,0.948,0.00407,0.0985,0.344,104.368,4R7m6ZnA6GpuVikRKj2DGY,207389
0.555,0.536,-8.233,0.0452,0.669,0.0,0.0623,0.203,118.057,1mw0RgNXIpYRyyCdBQbLgA,191638
0.71,0.79,-6.758,0.0357,0.0031,0.00036,0.141,0.666,147.994,18uxxfbEuef5zO7KBaKfjV,214339
0.373,0.609,-7.0,0.0316,0.108,0.000427,0.0755,0.354,179.955,0xtIp0lgccN85GfGOekS5L,270680
0.692,0.57,-8.077,0.185,0.666,0.0,0.107,0.309,91.917,1It1TxBK3xIQAB4xJkPevn,250454
0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,7795WJLVKJoAyVoOtCWqXN,239317
0.813,0.415,-5.926,0.0349,0.777,0.0,0.131,0.667,91.921,0ri0Han4IRJhzvERHOZTMr,170345
0.7,0.457,-8.667,0.0621,0.369,0.0,0.106,0.433,144.905,4kS01K2URu522IomkGOFHl,194757
0.667,0.593,-6.016,0.0432,0.369,0.0,0.112,0.458,95.947,33vZRjxJScapmRShRJq8I0,172515
0.487,0.494,-7.193,0.0266,0.604,0.0,0.204,0.139,101.962,52APn0QJbjtcHRK0fiXpL6,207320
0.539,0.307,-10.044,0.0305,0.475,1.59e-06,0.186,0.116,127.658,20V7jjW1DI9P4W4oHrn0T4,232529
0.288,0.468,-8.483,0.0399,0.875,0.000583,0.137,0.16,120.885,3WcVlo61iEyECjLoPmar6D,225733
0.736,0.71,-8.497,0.091,0.383,0.0351,0.395,0.0728,82.482,5IPl8JpkbtSH1mdyq5ctSx,141093
0.777,0.716,-7.342,0.256,0.734,8.3e-05,0.116,0.829,120.052,08o7YsYkQXGjamCe9eDrrK,159007
0.638,0.0889,-14.085,0.0361,0.967,0.0,0.134,0.335,109.861,4A2943U1KOEH6Uc3KNLbq3,264907
0.289,0.302,-12.326,0.0376,0.919,0.00118,0.122,0.185,161.043,2S2We8HCvgNSLfgmBZBTRF,222300
0.679,0.408,-9.754,0.0882,0.133,0.00455,0.23,0.151,129.079,18O00Y7yrkJ0pRXm1n21Og,206080
0.361,0.218,-14.989,0.0338,0.911,0.000577,0.0748,0.167,114.476,2dP8R44P2Lo3hdyevbYFfy,190944
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,76OGwb5RA9h4FxQPT33ekc,179551
0.674,0.403,-13.814,0.211,0.53,0.00446,0.111,0.618,117.946,3mWUqIz228lrdC5ZSkpjUG,170794
0.391,0.594,-6.608,0.0399,0.0537,0.0,0.136,0.438,140.526,0YT1UVqGD6wAWaTVRo0bGY,187729
0.663,0.319,-13.481,0.0375,0.69,0.000993,0.117,0.193,109.957,1wtOxkiel43cVs0Yux5Q4h,256124
0.409,0.425,-7.448,0.0298,0.463,0.0,0.26,0.342,140.907,6qsacYwaDcrOy4CnTDxWNF,244478
0.916,0.709,-8.683,0.034,0.146,0.00263,0.139,0.969,128.007,5Yi7kWpo6EuRVPOV7sVBrK,153873
0.523,0.555,-7.761,0.0776,0.295,0.000859,0.0812,0.715,99.641,2NbS9E0ZZKAMJAppj8P53N,303173
0.599,0.465,-4.95,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,50Td3qilgs8BLtv8mHyT1t,230880
0.687,0.478,-7.286,0.149,0.48,6.82e-06,0.456,0.494,137.852,4AEh58vrpgsaajUZVzzzqQ,213194
0.588,0.32,-12.074,0.0249,0.475,0.179,0.117,0.394,91.63,6IBjQxFhpbwwaknnRCLLiV,183527
0.4,0.245,-10.227,0.0344,0.906,0.00131,0.119,0.21,136.553,42Q00bTTgyQhPE2FVWaoJE,210447
0.778,0.674,-8.119,0.035,0.0931,1.06e-05,0.177,0.795,123.981,1DHXKDRugToFO7ak3nA06L,225014
0.698,0.668,-7.031,0.0322,0.251,2.86e-05,0.0797,0.719,99.99,4i17ViZoevssgUvRifo0V5,224740
0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148,45bE4HXI0AwGZXfZtMp8JR,169266
0.688,0.439,-14.896,0.045,0.489,0.957,0.105,0.41,149.844,627lcFnpHD3LQVsswyMEP3,95038
0.427,0.341,-7.737,0.0345,0.779,4.65e-06,0.138,0.402,76.86,3FiUsaCzKWi943pk0G9F0o,100053
0.623,0.296,-8.036,0.0311,0.522,0.211,0.0801,0.158,129.949,1knUACOt5yfNAYn7gnYQVt,224482
0.41,0.174,-11.405,0.0328,0.767,0.00197,0.114,0.0694,105.292,1ElGmhauttS9p7LwmHG9uM,153000
0.569,0.271,-10.969,0.0271,0.886,0.0,0.103,0.352,91.888,2GSLoT7abyYGchSSDCpWEI,190652
0.312,0.363,-10.041,0.0478,0.726,1.08e-06,0.107,0.0711,138.91,6tl7LTWfoDWNKmUr60BmOB,212267
0.691,0.618,-8.316,0.0474,0.116,0.019,0.094,0.74,81.997,1Bqc70jSpNcGQZC3svAKd2,189973
0.719,0.461,-8.191,0.0454,0.279,0.0,0.0875,0.548,123.915,3OM6qQmdFV6uy61GIqpRtf,209200
0.816,0.213,-12.952,0.0529,0.912,4.02e-06,0.0916,0.323,121.916,43ZTfozcXRTukqENA3TXqe,182958
0.349,0.206,-13.731,0.0341,0.956,7.42e-05,0.154,0.146,180.447,1S1aA5ciuoGE9rskl6MLu5,186333
0.693,0.259,-7.918,0.0372,0.448,0.000135,0.0995,0.361,88.972,4ehkZtzPTbjsRULRfQSWYu,175432
