danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.692,0.717,-4.226,0.0498,0.111,0.00123,0.044,0.973,119.902,0ful4PHfTIxzXiZSZsXQ0H,195733
0.657,0.879,-4.91,0.0741,0.0688,0.776,0.0799,0.901,106.016,6VS4OTcpylKl984tzFYC11,220726
0.731,0.356,-8.196,0.113,0.61,0.0,0.152,0.421,137.661,0BNmGdxb8St6XZF4kYAQsX,167552
0.701,0.715,-6.298,0.0387,0.0981,0.823,0.106,0.56,102.994,0FTjbGC4JKQDfHHtY9Orcp,224537
0.593,0.707,-5.432,0.195,0.121,6.1e-06,0.0841,0.608,193.749,2J3bOjsCkPbriZaKz0H3xp,236520
0.877,0.449,-10.352,0.06,0.629,1.42e-06,0.133,0.796,118.015,0JRWSuq7FPtBaEZF2u1Teq,182625
0.673,0.442,-11.752,0.0414,0.372,0.902,0.11,0.627,119.999,05WqxrZiz1RzAk3uH8W7SW,273624
0.814,0.721,-4.026,0.136,0.0981,0.0,0.378,0.643,136.05,3bsycjdQtbcJeR6822SBvd,253390
0.689,0.451,-5.211,0.0638,0.214,1.03e-05,0.185,0.542,75.121,65Kx5KhN6EiKyOpZa67ikj,150627
0.792,0.758,-9.277,0.0559,0.495,0.166,0.109,0.61,120.008,4Yk4Jb86DmSvIBO2FXpDol,192796
0.513,0.5,-10.056,0.0403,0.536,0.0843,0.0867,0.116,80.058,7I5tV3ZQVLRav2PADoFbb9,191974
0.659,0.717,-7.816,0.0318,0.331,0.911,0.127,0.384,139.952,0sQNqu37YQQSI3K0ueswyA,316919
0.725,0.529,-8.819,0.041,0.000164,0.724,0.133,0.156,131.01,6iuVUXwvvDCzSSVMrpMQp4,370657
0.713,0.84,-5.419,0.0372,0.0235,0.305,0.115,0.867,124.986,0iQd47VJs14l8EA00PlI71,192761
0.574,0.545,-11.855,0.0364,0.0205,0.00156,0.186,0.11,111.027,0B7ptJUFptRvdGvb72f6mB,194999
0.554,0.698,-4.88,0.0315,0.00143,0.157,0.084,0.463,119.976,3fskmbfwbp3Qx0fqaYDMbn,221627
0.37,0.371,-9.469,0.0691,0.148,0.153,0.141,0.141,84.983,43dWASmdtGOOI0yOyx9zAH,219975
0.665,0.788,-5.757,0.0725,0.0141,0.897,0.422,0.658,189.88,1pWAOjPUV6rrGcmLJaXgPR,121280
0.532,0.178,-9.754,0.0541,0.614,0.14,0.0985,0.103,149.879,6MiVIH3fQlmz44jGx2DXn4,181467
0.617,0.714,-4.963,0.0308,0.208,0.84,0.149,0.637,82.679,0dccqEpeuG5wABOLJb7498,174307
0.387,0.947,-3.141,0.0697,4.65e-05,0.612,0.662,0.834,176.371,1lEhKudlkpBsh6S7JyvvHs,228080
0.77,0.654,-6.108,0.0361,0.0539,0.00047,0.0819,0.685,114.82,4v2rkl1mC3zVAz0nXMx9r4,229423
0.853,0.821,-3.954,0.0558,0.0433,0.0883,0.1,0.139,110.003,2BWtYgxamGttE2d0xRVAIC,277653
0.73,0.305,-13.371,0.492,0.677,7.24e-05,0.144,0.416,99.095,4Y2QuvgYFm30gcsToZmojA,228891
0.653,0.852,-4.255,0.239,0.0153,0.0,0.653,0.763,162.02,3Z1FTfTLaxpRIFkrnYXzUC,204256
0.519,0.516,-16.573,0.0347,0.161,0.867,0.157,0.757,159.983,2XwLv4H0P9sX7POvrOQEdy,273367
0.421,0.465,-7.447,0.0298,0.76,0.0,0.21,0.502,71.723,2ZLVZFxbt5y0jXj1Ljcm2d,166827
0.807,0.414,-11.311,0.0371,0.129,0.422,0.142,0.361,113.815,49gCJ57oOsLDqnP7r57A2g,220613
0.525,0.713,-6.214,0.0362,0.000173,0.104,0.0808,0.655,190.103,09yItO0N246XPP2j55EpYO,213933
0.44,0.269,-10.769,0.0262,0.914,0.261,0.132,0.138,103.877,5QL8Uqhv0MQRYKRy6UKQIy,234383
0.616,0.651,-8.277,0.0556,0.07,0.00162,0.114,0.325,141.974,4bdNEYkmvHCvwnFwZtjpgv,208044
0.554,0.193,-16.14,0.0469,0.695,0.0,0.103,0.366,92.993,4Nxid85fmQidPAY1ZD8Bo1,136867
0.845,0.583,-5.948,0.0773,0.114,0.000536,0.1,0.842,149.941,40rOlDoGejXXF4B0BYsjx8,200584
