danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.647,0.724,-6.159,0.401,0.101,8.25e-06,0.107,0.366,84.927,37yI1sQRX7xmdrp4RfTmK1,141408
0.509,0.331,-14.083,0.0267,0.272,0.136,0.114,0.0957,96.848,3GhsBdS9ulPK3KCdwHRPhG,286293
0.726,0.6,-10.993,0.0389,0.375,0.452,0.0963,0.473,124.995,3DgjbN7e2gppallutVbat6,241920
0.671,0.668,-6.748,0.0977,0.000452,0.875,0.123,0.155,115.982,2BQgYWhMidgerKZGm12xax,384518
0.512,0.263,-10.421,0.0855,0.875,0.0,0.11,0.359,98.6,5QAya5bSSiKlh1h4qeeq38,190762
0.469,0.819,-5.344,0.0546,0.0878,0.804,0.209,0.0618,134.983,4SD5ttMTZP2HF3EP9bWe4W,331667
0.602,0.189,-10.708,0.0343,0.978,0.0152,0.102,0.247,101.241,3HMuJG1y7pyjg7Rrk17Rsb,297665
0.685,0.584,-10.616,0.0276,0.288,0.00918,0.124,0.939,134.546,5vmRQ3zELMLUQPo2FLQ76x,302413
0.895,0.483,-4.709,0.0881,0.565,0.0137,0.0737,0.52,98.057,5zOAudPQIs5U8zP6LQGHmH,149450
0.864,0.497,-8.886,0.18,0.0736,0.00308,0.108,0.133,97.93,4Dl8bEzhAEGbcwkQawS1XG,199994
0.805,0.842,-2.207,0.0357,0.67,0.116,0.14,0.734,99.984,32ZP0YJyDzmDimZivZfXvw,194746
0.437,0.751,-5.28,0.0379,0.000531,0.0,0.27,0.339,151.952,5VJJE6CH2Re3GCcOuubmIB,224459
0.712,0.487,-10.892,0.377,0.174,0.0609,0.242,0.204,188.033,697GyFBDJX36FtMiVTPK5F,190160
0.689,0.731,-8.261,0.0425,0.000302,0.927,0.397,0.41,124.011,3O0ACATy7Debi0qpUXbktU,306248
0.68,0.572,-4.931,0.036,0.00557,0.0322,0.112,0.317,120.028,1EwRARiZtp6P0X9wrlKsmq,258000
0.811,0.797,-5.428,0.165,0.0617,0.0,0.112,0.541,97.988,7sKDftgGirHWTVFMtJoDoh,171133
0.479,0.714,-3.776,0.109,0.025,0.0153,0.205,0.49,98.236,38muRUB5vaK3pW0Iu4A0iZ,172415
0.782,0.546,-8.914,0.0336,0.00374,0.019,0.132,0.7,122.588,6e4KfKMfBQKXOHO2fgweVT,156093
0.414,0.866,-7.923,0.0786,0.308,0.213,0.107,0.232,113.978,2ql1CiQoNuMmawuAo9mjbN,255453
0.641,0.702,-6.747,0.0378,0.0037,0.133,0.13,0.117,108.028,4FR6qagTkX4TY5nlZVWdUu,248889
0.797,0.743,-5.186,0.0898,0.0592,0.0071,0.097,0.401,103.998,4v2xnfC879xqiptgMadrlw,182554
0.559,0.506,-10.193,0.172,0.505,0.0779,0.104,0.33,182.085,1uFsbYxgTWZZ5QdAEoVRmr,205819
0.412,0.632,-7.876,0.077,0.0328,0.518,0.144,0.208,183.955,74XDe6nEQtExQUvrWcs1cW,193867
0.621,0.54,-8.055,0.0663,0.00516,0.000712,0.161,0.0398,114.982,2mQNBBeUUjzkEyQFibqePn,351652
0.756,0.511,-8.167,0.0334,0.0191,0.0163,0.118,0.624,105.002,1TmhcMiKugkz7bfryEJGR3,197967
0.836,0.731,-4.572,0.133,0.238,2.19e-05,0.0698,0.473,100.974,6puxHBNwu2Nmm7uD3Rd2MP,222896
0.771,0.635,-7.293,0.0451,0.0282,0.554,0.086,0.897,120.992,4d3ltLyciH816ekGMM3VbK,194201
0.492,0.925,-7.472,0.0299,8e-05,0.898,0.175,0.861,133.021,3MVNjBeejT21nOXQuLkkYN,507907
0.789,0.873,-10.676,0.0751,0.00453,0.454,0.11,0.622,120.002,7n9U3jZRz4w817V3rMD1VE,195018
0.787,0.427,-9.473,0.314,0.594,0.000398,0.119,0.304,82.056,1AC72Gx9aE8HeRz3e28atQ,181743
0.421,0.72,-6.257,0.0571,0.266,0.0,0.225,0.24,97.998,5xtxxuIqInrLDSfjA6Co3o,247500
0.761,0.893,-6.732,0.16,0.487,0.00111,0.104,0.653,104.993,72tS8Wv5j4sHGTxVWQ6nwc,170185
0.655,0.38,-12.169,0.0496,0.672,8.75e-06,0.126,0.147,120.066,2ALEhWrcpAdOC7YYJBQIre,226844
0.793,0.805,-3.318,0.087,0.0851,0.000113,0.118,0.356,101.05,1uzlm6uA89AY1FYJ5dZRfp,159208
0.801,0.791,-3.772,0.0522,0.00299,2.87e-05,0.097,0.68,117.041,6FKodVQGj43UymtKhml3Tk,179744
0.876,0.643,-6.089,0.151,0.158,8.01e-06,0.124,0.379,139.924,27uLq3wrOYZYPAtNkOFBE3,130546
0.588,0.908,-5.759,0.0394,0.0787,0.155,0.351,0.707,100.016,1l7Af2MG6UL8o618faV7fS,271262
0.589,0.871,-5.698,0.0342,0.00215,9.42e-05,0.378,0.237,123.005,4ooxGxWbItZv2pnND3tYZj,184372
0.761,0.899,-6.994,0.0509,0.0637,3.38e-05,0.162,0.758,98.004,5cyKYhm8vo5edvuT5tIuQ6,147013
0.709,0.366,-8.696,0.0472,0.0256,0.0,0.308,0.407,74.511,75ncCwXqalTnnl6t1ruQRq,174000
0.271,0.423,-6.844,0.0277,0.669,3.21e-06,0.194,0.105,47.79,6ysYTOjc5pCMqx66zvj85D,223466
0.772,0.448,-10.868,0.278,0.494,0.0339,0.188,0.313,79.914,1RSBgWXopVCzHkoCr2k3pH,206078
0.552,0.473,-9.32,0.196,0.271,0.0,0.095,0.401,169.748,6HUKvqvzgh1cr83BqlqrzA,186867
0.674,0.494,-11.795,0.0301,0.0243,0.724,0.194,0.363,108.029,66MPgb5iW49G83HerzsRuQ,235973
0.631,0.899,-8.621,0.0857,0.381,0.921,0.234,0.0387,125.006,7KwWxaYacPDQpbGoMGLE4L,240480
0.55,0.641,-7.489,0.0816,0.0102,0.562,0.0877,0.212,140.048,6ShyYKs7q5Z5Vhng0ATAOc,190454
0.767,0.67,-6.875,0.045,0.0727,0.258,0.0944,0.816,124.975,2aZFlHRrYZSpwfsez7Sht1,231991
0.443,0.809,-6.63,0.0609,0.0287,0.0118,0.293,0.282,157.902,1hbhPTc1daDTwZHddvXyCE,285350
0.334,0.397,-7.993,0.0284,0.558,0.0774,0.126,0.035,93.445,0u4rkpmNtgcFxYHepnVF4v,273107
0.356,0.917,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176,57iDDD9N9tTWe75x6qhStw,357267
0.697,0.534,-9.008,0.032,0.181,1.19e-05,0.127,0.269,99.008,2tVJpUamLfNdUI7SiyPIFF,207707
0.716,0.275,-10.013,0.0546,0.754,1.85e-05,0.147,0.354,63.51,15N3zfcJSyUEMn5KgY99ua,298907
0.772,0.455,-11.3,0.156,0.668,0.00934,0.114,0.432,89.941,272sT3uaJsFNqyKyE6BGNN,221333
0.812,0.609,-7.798,0.0809,0.0471,0.00104,0.185,0.665,96.996,5GmB4sjkog7ETZP7KHMa9L,203187
0.741,0.948,-4.822,0.0439,0.00398,0.827,0.103,0.177,131.011,5tzcReCKuj6qYbQQVS0ehG,354504
0.833,0.886,-6.767,0.0573,0.000431,0.00451,0.11,0.604,122.025,4cWafPsRizm6woL5j4HNTD,202276
0.379,0.664,-6.863,0.0307,0.0167,0.000679,0.0915,0.301,115.272,3tFECpGckFpp0HpQje78gi,239120
0.641,0.884,-3.265,0.0614,0.195,0.00562,0.0992,0.947,179.912,7byGoCBIhbZAyJWSEPTQrs,198333
0.696,0.838,-7.906,0.072,0.201,0.000871,0.142,0.227,131.002,7dlinhODpxkOVRCA8LhEGb,241736
0.557,0.856,-5.008,0.0364,0.0159,0.00236,0.114,0.248,138.052,6rQWoTx76KOYUNLCxGu1P1,303312
0.773,0.833,-10.439,0.0774,0.638,0.0057,0.116,0.526,94.995,19o5QsrxcPEgTqVIokkfcc,184392
0.711,0.879,-8.587,0.144,0.0525,0.866,0.102,0.126,131.008,7tXrQ2MHCvwe5W8HQuX77r,384780
0.924,0.548,-7.454,0.133,0.00981,1.86e-06,0.0694,0.795,93.019,0UAfAZ6rmM0lSna7atUzGf,167573
0.217,0.185,-15.582,0.0432,0.686,0.111,0.106,0.0628,75.24,1DB4WqlBzijxc8b21Xjl8Y,252800
0.722,0.576,-9.551,0.0644,0.791,0.898,0.0982,0.595,130.012,0WyioCJi9ox0PYMUR0NGxy,158769
0.679,0.154,-14.435,0.108,0.907,0.000218,0.0988,0.218,123.957,5pWOK5bEv5TDkBpPv9cEHu,185899
0.78,0.839,-7.461,0.0738,0.0808,0.809,0.124,0.375,180.029,1bCdntYo52BzYMP7s38dQp,214000
0.635,0.823,-8.684,0.0452,3.44e-05,0.828,0.156,0.301,129.998,5dna0ShfmtsCcgZfi8pEjl,423768
0.559,0.58,-5.293,0.0932,0.522,0.0,0.109,0.431,177.047,02Y5afO1mCHxKp9ozmBv1Q,169109
0.789,0.68,-8.262,0.0429,0.271,0.00459,0.207,0.434,138.027,0wyV7uIeaON89oWBcL0AA6,168758
0.707,0.36,-8.89,0.0499,0.737,6.97e-05,0.0977,0.358,80.055,1zZ7vl1amOLI4GE5oUn0YB,182657
0.321,0.537,-5.847,0.0345,0.00625,6.78e-05,0.459,0.473,178.195,1mRbGtScYckQQFBV787DxE,234080
0.757,0.642,-7.808,0.241,0.0672,0.00234,0.0934,0.498,91.019,2R1u7QKplJXe05TqfQtPKr,153750
0.816,0.55,-8.637,0.0904,0.0284,0.012,0.0386,0.891,100.073,5afJQLK9s5W8LmhjWtcBfk,143075
0.852,0.652,-4.418,0.0873,0.415,0.00515,0.263,0.547,79.991,6Uwx3rTu2joE2bVyxUCgU2,161250
0.699,0.747,-3.453,0.0964,0.274,0.0,0.486,0.683,126.001,7rlCeTnjn0plPZkVAcctPZ,204600
0.7,0.789,-5.198,0.0381,0.0872,2.24e-06,0.261,0.7,93.018,2W2Pq6Ysd0wZTSq1xQTAlZ,185040
0.7,0.72,-8.727,0.0348,0.0299,0.419,0.0975,0.453,125.012,5eFHB3RZ1lMYCba3G0bFjV,221719
0.669,0.691,-11.143,0.0671,0.365,0.449,0.0991,0.412,165.019,2vsJwShF49IoMVkz5onWPT,167971
0.531,0.541,-9.369,0.0335,0.268,0.124,0.0924,0.235,129.958,3nXcufQxUfluhkX4rvMlGi,206640
0.515,0.281,-7.845,0.0264,0.972,0.00949,0.108,0.105,98.251,7GswgLLrtSouvDcIHyqmbE,219682
0.504,0.436,-9.641,0.0276,0.503,0.68,0.118,0.0506,90.114,0eVB5kmXBHSKgTYxgI77kq,387947
0.738,0.601,-8.115,0.058,0.265,0.00372,0.0994,0.257,128.007,3xYrWouHB1dghki81NNXi6,249243
0.666,0.974,-4.187,0.0641,0.0484,0.000523,0.182,0.761,124.971,0V9Iq1SR5YkL7BkKj7TmRg,257927
0.727,0.836,-5.426,0.031,0.219,0.0275,0.322,0.686,130.057,59QoGfYmotLsHfHNTid0GG,178973
0.594,0.516,-7.848,0.0316,0.198,2.91e-05,0.0736,0.154,108.017,1oSDiyNMslJoTCfUZBHNP2,191530
0.533,0.461,-8.532,0.0294,0.0946,0.000917,0.191,0.145,113.996,4Fe8UM8MCSQa7vE73RPjSG,277595
0.767,0.605,-6.987,0.041,0.0187,0.00251,0.359,0.285,112.112,7BYBFXptGL6IPWMN2fy0bL,177830
0.644,0.535,-12.353,0.0486,0.0262,0.194,0.384,0.268,121.993,5gdgdRHDCARaPoQ0k9br44,267572
0.48,0.0392,-16.526,0.0794,0.918,0.0,0.0948,0.2,74.07,7hjmfE20C1nXRUN4QnLCPX,288500
0.779,0.753,-3.841,0.343,0.242,0.000128,0.0365,0.846,89.986,3mzL3HHR1yUD1vhN44oSyP,189833
0.534,0.25,-11.522,0.0476,0.135,0.0147,0.109,0.264,124.328,62jyaqGftdibrSlSsf2SEr,228451
0.312,0.236,-18.189,0.0376,0.823,0.661,0.0997,0.039,182.697,7aHdqt74mSDldMC6pbQcNv,336703
0.709,0.528,-11.127,0.0407,0.0458,0.896,0.128,0.113,124.027,7CuXB3Dr61IvDFEWfqG3sE,216700
0.659,0.766,-8.321,0.0391,0.659,0.579,0.134,0.389,95.011,56cqmGid7J5wMyfXJzOEOd,175579
0.717,0.828,-6.293,0.0405,0.00213,0.763,0.226,0.281,119.999,2YG8An3j5Nj4jFaiU2Po7T,215627
0.613,0.655,-9.278,0.0307,0.101,0.882,0.0979,0.0652,127.976,79Ei5D8itIHqbATIYWoQmD,215625
0.896,0.61,-6.247,0.115,0.00856,0.0011,0.142,0.817,135.019,0QLB087RjF3zRLdKhpld8d,145778
0.567,0.902,-3.772,0.403,0.00181,0.801,0.0788,0.52,131.177,6tn3fIfyGXs1CZFv9zPdc8,234633
0.77,0.556,-8.624,0.0495,0.00233,0.0671,0.36,0.277,128.977,23tpyGXk9j1TAw7NzxvTDd,277209
0.612,0.95,-6.317,0.0409,0.0746,0.807,0.1,0.0385,123.866,4lLEBo0rP2IblyqA0gsqA1,221962
0.97,0.806,-5.628,0.298,0.0955,0.0,0.133,0.815,120.003,6wdI9sg2VdgjqSg0ozu9PK,140078
0.56,0.55,-5.875,0.0287,0.0015,4.26e-06,0.321,0.0776,106.993,4pjP1IGE3JC0jDvgPkHHcg,262427
0.805,0.538,-5.852,0.0397,0.108,1.23e-05,0.0863,0.678,105.029,3PLcsZsfC1jt2E1zsKIE8A,194391
