danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.523,0.51,-9.827,0.0514,0.0123,8.38e-05,0.108,0.789,120.432,2jAojvUaPoHPFSPpF0UNRo,137840
0.662,0.585,-10.238,0.101,0.531,1.08e-05,0.443,0.829,89.212,7rLAPi81R7qlVqgXfykdEL,373213
0.539,0.882,-4.023,0.0562,0.0479,0.0,0.107,0.63,103.358,1MLVUnu8S4DZIN9HtQNkDc,191357
0.686,0.127,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,5jgFfDIR6FR0gvlA56Nakr,138387
0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,3d9DChrdc6BOeFsbrZ3Is0,264307
0.178,0.4,-9.881,0.03,0.225,0.074,0.0908,0.118,92.54,6B7kChZl8KQnfNZN7BNikg,113897
0.423,0.384,-12.503,0.0315,0.729,4.11e-06,0.27,0.521,90.43,0mbS3VwRbO6HVBMPXnzOGA,182000
0.711,0.433,-12.042,0.0611,0.471,0.00426,0.12,0.934,87.527,389R9arpxdfl0JA450Qn9m,201267
0.486,0.449,-10.298,0.0267,0.166,2.23e-06,0.54,0.549,100.456,0pQskrTITgmCMyr85tb9qq,254293
0.375,0.383,-10.941,0.0277,0.268,1.28e-06,0.0877,0.143,130.26,2SEGYVnWImKLUOkU3Qa8sX,316219
0.452,0.856,-8.721,0.0448,0.178,3.32e-05,0.185,0.553,138.486,5WfSHn8qVk1W3GJJQpETC1,167551
0.146,0.259,-15.725,0.0365,0.744,0.971,0.161,0.0855,139.774,25Jv0pEi5Kys6FGxsfk5yP,120367
0.241,0.237,-12.201,0.0371,0.952,0.0,0.113,0.303,174.578,5dae01pKNjRQtgOeAkFzPY,194987
0.368,0.077,-26.153,0.0465,0.993,0.887,0.107,0.316,105.127,5nC9blLxTTMkUIgBjOHI5A,338333
0.712,0.583,-9.471,0.0667,0.222,0.297,0.186,0.42,139.983,4UIWEomPQIaacYpTjEwMVS,157307
0.77,0.775,-9.571,0.0495,0.0227,0.00262,0.297,0.802,116.935,7rIovIsXE6kMn629b7kDig,296107
0.605,0.612,-13.399,0.0439,0.121,0.00236,0.22,0.5,125.37,5fKTkCOpnyJko7jZqpbJnX,296507
0.611,0.891,-4.824,0.0349,0.00362,0.000105,0.0953,0.421,152.053,7Gf6BvF5vHKq1ZABgdbMkx,149920
0.775,0.736,-8.072,0.247,0.319,0.00116,0.127,0.362,100.988,2g6tReTlM2Akp41g0HaeXN,239027
0.221,0.083,-25.814,0.0391,0.883,0.898,0.115,0.036,89.456,6MLLGKq2DN1NzjphOPa7GV,107044
0.214,0.243,-18.283,0.0419,0.559,0.848,0.121,0.0757,84.073,1a143SdTh2FY80bwYeI3Wx,122402
0.255,0.0908,-23.291,0.0317,0.677,0.85,0.109,0.0748,70.195,72OYoYN96FGfgrIypvOmVW,103893
0.565,0.66,-8.88,0.0553,0.702,0.917,0.12,0.16,89.647,4yNzkxzvTaEknvjqXYYyKL,135821
0.57,0.279,-11.271,0.0442,0.742,0.521,0.282,0.481,115.47,6MVKZqfRYWkeFNRiIRjJub,110776
0.363,0.16,-18.139,0.0341,0.714,0.952,0.122,0.162,131.853,7zHhpvu59OKXDG51LsXLTq,115000
0.395,0.123,-16.099,0.0329,0.958,0.952,0.124,0.156,73.959,3KJeOdlwj5W0c9XIrjqzY0,387667
0.464,0.305,-12.435,0.0316,0.936,0.0846,0.208,0.282,108.229,0E8q2Fx2XuzXCO2NSAppkR,255227
0.518,0.0226,-20.875,0.0629,0.949,0.93,0.111,0.224,166.827,4o2xQZiuhFix37Mc0SHMxn,218182
0.459,0.135,-15.909,0.0482,0.944,0.903,0.098,0.139,66.641,6j0mXItB7viXXjB98l3Kwy,588840
0.831,0.854,-15.33,0.0856,0.493,0.942,0.0822,0.179,108.762,3r7pQSqIWmXYFQci0aBBQi,109283
0.313,0.327,-12.422,0.0387,0.944,0.877,0.297,0.153,68.487,7MuZnieEKLs0VLivHZveVk,204158
0.515,0.0121,-25.651,0.0438,0.98,0.954,0.116,0.0509,101.04,1ObM2MEjk2VLXotQQhKKiY,93730
0.173,0.169,-16.365,0.0365,0.53,0.907,0.101,0.0338,101.206,0ZzluTS60kq1Hu5M74sBtb,371545
0.305,0.422,-10.767,0.0356,0.256,0.677,0.112,0.037,81.896,2EdP0jDri5scsvBfdYkOnq,176222
0.369,0.264,-11.582,0.0376,0.519,0.734,0.109,0.101,113.224,5j7V7I0CBkCpsmwVSV3rBa,183968
