danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.493,0.432,-11.836,0.0256,0.352,0.266,0.142,0.13,97.931,3dd9uXh41vmFLO3UvqLJL6,69893
0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432,99.998,11BKm0j4eYoCPPpCONAVwA,244760
0.582,0.767,-11.38,0.0297,0.288,0.0789,0.0606,0.736,141.683,3EEd6ldsPat620GVYMEhOP,186038
0.382,0.354,-6.595,0.0289,0.858,3.11e-06,0.168,0.435,87.018,3dkIE8P7hvl3tHl9KSb6dA,142280
0.495,0.435,-9.99,0.0286,0.67,0.00038,0.13,0.71,108.189,5YsyqcewwE0c1ukzHVciS3,169160
0.541,0.0342,-21.324,0.0555,0.926,0.0,0.151,0.214,122.471,21VxAmhZn3p0kdb0jXu4Ry,511333
0.464,0.795,-9.267,0.0926,0.0493,0.00244,0.399,0.612,158.691,63T7DJ1AFDD6Bn8VzG6JE8,202267
0.675,0.166,-22.602,0.171,0.88,7.14e-05,0.0461,0.747,68.837,4hObp5bmIJ3PP3cKA9K9GY,294400
0.346,0.198,-12.208,0.0334,0.566,0.893,0.0958,0.163,138.103,3uErbNGaNIPJkRlMrLxR9Z,285533
0.508,0.792,-7.311,0.0297,0.229,0.124,0.145,0.601,147.067,7H0ya83CMmgFcOhw0UB6ow,320467
0.671,0.71,-7.724,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,4bEb3KE4mSKlTFjtWJQBqO,193347
0.4,0.247,-18.249,0.0423,0.818,0.64,0.119,0.394,162.078,0ROMalDdNg3L2HoZP4qFyJ,201853
0.397,0.235,-12.899,0.0306,0.95,0.0,0.205,0.251,88.78,67loy4ECyK5Wg0ZPl2P67k,213751
0.713,0.88,-4.525,0.0387,0.0257,0.26,0.12,0.708,130.021,4DoWwjW93HS2p0SahEQ2qR,180507
0.669,0.691,-8.004,0.0374,0.0297,0.491,0.294,0.551,120.01,5xoMRan7YOKvYL6vueYugk,241304
0.866,0.329,-11.386,0.036,0.146,0.388,0.106,0.402,102.989,2KgUfq542PMh2oImJz7W7T,184160
0.647,0.844,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967,3AzjcOeAmA57TIOr9zF1ZW,193829
0.254,0.0414,-21.712,0.0455,0.967,0.000196,0.0861,0.0372,91.226,0i0XoLRtl0Ece1XTTXalwZ,295107
0.349,0.323,-18.596,0.0454,0.883,1.75e-06,0.264,0.783,83.39,1VS1KRKgRlMkavRrJb5DTb,181469
0.399,0.565,-14.303,0.0272,0.454,0.952,0.188,0.898,152.036,69KrUizJaQziApPaMTL0yc,202933
0.104,0.0295,-26.648,0.0489,0.972,0.81,0.112,0.0313,89.487,1H8N7ONl0vFj3gJiAe0h36,293107
0.647,0.722,-9.844,0.0323,0.711,0.827,0.0994,0.49,113.984,3t5htCiGucfhAQjm88U3K9,161653
0.33,0.247,-9.825,0.0311,0.738,0.0176,0.125,0.202,133.718,2wwko1N7dVjpsHt5Ca9be3,438701
0.661,0.622,-8.834,0.0278,0.302,0.00188,0.357,0.593,103.018,5AGYajXy8psPb1d18TC20G,205787
0.544,0.918,-5.197,0.0594,0.0193,0.0,0.0631,0.774,155.705,0frKt739Ov9vvKS3JRu5Vi,206667
