danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.816,0.669,-5.336,0.0576,0.126,0.0,0.119,0.668,120.021,2HbrI0oakRE7qNXoK74zNR,172233
0.888,0.869,-5.508,0.0805,0.443,0.0,0.0853,0.883,110.08,0vhJkJHYeztllhU6z2eFUE,187091
0.803,0.821,-6.133,0.0947,0.168,3.55e-06,0.0765,0.728,99.971,7H2uwSkd2mhRKyTOPRDE2L,168465
0.747,0.658,-12.339,0.0784,0.265,3.98e-06,0.0379,0.772,100.066,3ZTuYuaV1fhdNnuIBuzTYy,307763
0.811,0.925,-5.659,0.0567,0.307,0.00083,0.0514,0.973,164.071,6DPqxlITNTjIMzcWHCUwCZ,228076
0.78,0.865,-4.453,0.0345,0.0531,5.43e-06,0.019,0.949,140.021,5l4Lla3ntoJIkCud07XlYn,262240
0.794,0.748,-5.787,0.031,0.226,8.57e-06,0.144,0.888,110.001,1VfR7wqvEB9vQZrpizMRmf,179526
0.741,0.819,-5.189,0.0708,0.104,0.0051,0.427,0.86,92.332,0Kb87SCKl8pFyKm0yD9TYf,163122
0.888,0.72,-5.409,0.0453,0.195,4.66e-06,0.0726,0.801,121.999,4xAYDw7NVSKkvMIE9vFTVu,161764
0.762,0.837,-5.891,0.215,0.344,2.38e-06,0.0909,0.497,136.825,2hZb0DuHOlqka9VYhHlTpM,238248
0.888,0.734,-7.934,0.059,0.00567,0.000338,0.0371,0.812,111.574,7HT0g6P2sr8kypPzAFrg0n,237866
0.798,0.678,-9.689,0.0998,0.69,6.76e-05,0.237,0.605,99.991,0johwiyFvPcTbM1miBvaUh,163200
0.87,0.86,-1.53,0.0966,0.142,0.0,0.327,0.688,104.961,2vSLxBSZoK0eha4AuhZlXV,183028
0.798,0.742,-5.588,0.0467,0.0256,3.68e-05,0.0749,0.934,139.996,4ZU4yHDLZcMcy8BF6Y89fu,198857
0.763,0.863,-4.395,0.0451,0.651,0.0,0.0815,0.9,123.911,3LXPZvEHf0vhgFKs4giHSS,211452
0.808,0.691,-6.032,0.0807,0.0411,1.16e-05,0.0936,0.271,110.01,2O6kwqT9Hb38PhHwbCNfOh,171664
0.903,0.745,-8.9,0.0412,0.294,0.000712,0.0811,0.972,131.945,0BCEJXmemL21JvNNoOB5TT,141887
0.628,0.817,-4.429,0.0889,0.102,0.0,0.432,0.922,188.092,75erM0i0rM96ydo1ujzn7g,172340
0.714,0.921,-1.455,0.0976,0.0574,0.0,0.256,0.817,99.951,04vHPXVGnb51q13NBoW22W,195048
0.867,0.812,-4.373,0.135,0.127,0.0,0.157,0.734,115.042,06h6dQDVdXjnIOXGXabW02,110353
0.96,0.904,-2.69,0.0747,0.235,0.0,0.0369,0.762,110.072,4gyUv9zQnSbqhA5uqqgZQz,182182
0.919,0.73,-5.657,0.113,0.265,3.75e-05,0.0775,0.675,103.048,0y3Rbo2bkvCMinQkjdaG0O,175477
0.442,0.42,-9.266,0.136,0.723,0.0387,0.124,0.149,195.864,6CFDWaN8XmEHGUgXG2MxaO,233014
0.931,0.578,-11.087,0.254,0.24,0.000314,0.35,0.897,127.971,3yWSjxKQMpa7hXcmVElZgX,193622
0.794,0.805,-7.895,0.0308,0.0457,3.69e-05,0.265,0.786,113.805,5N0w2n2B3OzvBZv4WjcVyA,267107
0.744,0.888,-4.88,0.0552,0.0904,0.0,0.324,0.611,104.996,4IMYgmXkjzzOmbDNbQZnVe,212571
0.864,0.756,-4.744,0.0716,0.074,0.0,0.095,0.791,99.993,7i5Ud8atK2QZdxgdVLtExX,185105
0.529,0.902,-6.694,0.0509,0.062,0.000397,0.812,0.929,194.059,28bdcUznUDPjJEujZCABes,264480
0.895,0.796,-5.674,0.0445,0.212,0.000113,0.0344,0.933,105.996,5zn9ZT7dKnRX5fnYvb3loq,199288
0.794,0.565,-8.029,0.0538,0.0665,1.06e-06,0.0486,0.555,100.03,76ej94nqmhe05PyEvw15wK,255152
0.781,0.642,-9.425,0.0568,0.0547,1.85e-05,0.128,0.696,119.01,6zUTQHFa3gsmWyRxZzYe4e,160336
0.702,0.713,-6.513,0.0669,0.21,1.22e-06,0.178,0.722,168.065,1Z2EZuhLqHvLXlhYs2McXy,194153
0.776,0.911,-4.67,0.0517,0.194,2.58e-05,0.104,0.674,140.013,44p2pP4M0J6ZlEEyIpQu6R,159000
