danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493
0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,6lanRgr6wXibZr8KgzXxBl,285120
0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,22PMfvdz35fFKYnJyMn077,230192
0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437,2ZBNclC5wm4GtiWaeh0DMx,193213
0.616,0.933,-3.762,0.0513,0.0259,0.0,0.359,0.806,129.952,5iqrbO0fhuLMiy9tYGanv6,225751
0.468,0.544,-6.755,0.0413,0.554,0.0,0.0864,0.296,72.957,46Q0bzrsZyD2dzZCuLq5R2,272560
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560
0.623,0.781,-9.651,0.0373,0.121,2.77e-05,0.101,0.346,167.874,6TYFcqqQVQPb3YsgfRhvqs,269232
0.811,0.925,-5.659,0.0567,0.307,0.00083,0.0514,0.973,164.071,6DPqxlITNTjIMzcWHCUwCZ,228076
0.826,0.71,-7.547,0.0389,0.362,3.39e-06,0.0392,0.647,117.999,0uxTfF35vomzEtb7sHlP1N,275228
0.503,0.867,-3.543,0.269,0.0117,0.0,0.0729,0.658,104.923,6Tr7kvkbSd4ZKNTn6oynr7,237714
0.687,0.44,-6.567,0.029,0.791,0.0,0.11,0.47,87.0,63qG3TrMt8RPXrIPr0qw8Q,206964
0.87,0.86,-1.53,0.0966,0.142,0.0,0.327,0.688,104.961,2vSLxBSZoK0eha4AuhZlXV,183028
0.791,0.761,-5.76,0.0392,0.231,0.000626,0.367,0.797,111.663,29KS7kBSU77PrYGB6RVR5O,139294
0.516,0.675,-4.517,0.0287,0.137,0.0,0.178,0.443,129.963,6yVGUtmHwDsqqXs1Lak423,196651
0.784,0.735,-5.587,0.0905,0.455,1.43e-06,0.061,0.748,91.012,3zpuelnjip23dk1hxTqklg,208352
0.747,0.658,-12.339,0.0784,0.265,3.98e-06,0.0379,0.772,100.066,3ZTuYuaV1fhdNnuIBuzTYy,307763
0.69,0.729,-4.685,0.414,0.189,0.0,0.733,0.911,204.31,3AeOjUG6ovl4asXFsfW7L0,186619
0.798,0.742,-5.588,0.0467,0.0256,3.68e-05,0.0749,0.934,139.996,4ZU4yHDLZcMcy8BF6Y89fu,198857
0.85,0.728,-5.535,0.209,0.33,0.0,0.0692,0.309,104.983,09GZRZP0txDanDf3s1Ap7K,257942
