danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.854,0.867,-3.63,0.0534,0.122,1.53e-06,0.131,0.787,129.989,58PwCUkHNkODqp2tCehNSP,168878
0.717,0.774,-6.927,0.0515,0.313,0.0,0.129,0.511,103.849,5oePa8PlOTPAlRaGs2OZ3A,184800
0.714,0.829,-5.129,0.053,0.474,0.0,0.0958,0.432,106.025,2hL0WVDLvlxZ60J4YyWvFW,157600
0.824,0.803,-4.583,0.0448,0.473,6.18e-05,0.0976,0.773,119.952,6RXHipTclQenO0vKFeGZYi,241093
0.665,0.653,-6.686,0.0893,0.693,0.0,0.0769,0.381,157.38,55mCsKCo4bPuYtZvHppp8z,198857
0.882,0.675,-6.004,0.141,0.0474,0.000598,0.124,0.758,140.092,27Z3UdqvdAhtJlWBMoDjBD,154280
0.837,0.615,-5.274,0.0762,0.37,1.29e-05,0.0914,0.858,130.062,4npOigvIBuT6ui5gwjGdhf,181467
0.844,0.562,-7.744,0.137,0.217,0.000636,0.114,0.574,94.976,12GV2Wr4p1hBWQCrQcVsew,187307
0.694,0.632,-7.203,0.128,0.576,1.21e-06,0.104,0.243,155.01,6ARJHbYGKNatxHVghTkWWp,178312
0.895,0.704,-6.605,0.204,0.0842,0.0,0.129,0.681,123.972,6kFKyM6lv22Q3KJaIopkIe,234213
0.66,0.72,-5.874,0.0753,0.301,0.0,0.226,0.628,99.937,6OZwia8loN0aPS0vTvsBjR,192960
0.54,0.577,-4.733,0.189,0.323,0.0,0.265,0.634,96.657,3IR9wKWxI0TK1DLXvZq8uQ,174671
0.865,0.537,-8.359,0.243,0.354,0.0,0.141,0.659,126.972,3DIYanBth8SOpko0IIB5CD,185197
0.632,0.551,-6.548,0.0591,0.722,7.8e-06,0.103,0.629,101.844,2ahdWh9C9d3cz31kEYXr5M,175613
0.901,0.939,-2.762,0.274,0.117,0.0,0.0643,0.805,142.948,205HNJ73cgpC0LAOnuQiWT,356347
0.784,0.7,-7.649,0.108,0.491,0.0,0.108,0.769,82.028,00X2yv2vrtritPt2CZnUTZ,190067
0.851,0.626,-6.483,0.0915,0.466,0.0,0.0614,0.718,98.079,1GOIfWQmA3Tp6GlwcCd35K,199653
0.86,0.593,-6.735,0.295,0.196,2.94e-05,0.0707,0.54,81.988,6Fnriu0MGPeYMZ6l8GkWZm,164133
0.682,0.755,-4.503,0.0581,0.315,0.0,0.244,0.766,159.94,5TlGrvOMiAltKgRw3anXKo,217333
0.71,0.699,-4.664,0.1,0.327,4.64e-06,0.0975,0.484,125.051,5BfCoUcWNXcpyJfjXRIeyC,179868
0.806,0.637,-6.515,0.0881,0.232,0.0,0.071,0.674,140.053,4CWcaGtaOyAqBDKIeZMUe0,179427
0.844,0.656,-5.935,0.216,0.192,1.82e-05,0.115,0.398,99.983,5ioieZofgvXQK70RFhVohl,194267
0.739,0.741,-7.386,0.174,0.276,0.0,0.19,0.616,94.964,11jljbDlwqMyvQdepjse5G,174618
0.796,0.794,-6.535,0.0545,0.0432,0.0,0.0787,0.801,133.944,2nawMfIkbAc4okrbJ2Of5W,187440
0.618,0.698,-5.362,0.272,0.181,0.0,0.154,0.784,178.143,5cqLFudVQryezmVFmmyRJN,210958
0.611,0.603,-7.819,0.428,0.498,0.0,0.0657,0.397,119.559,6OYRUnXFnD7nbtLQvRidh7,159133
0.624,0.802,-4.818,0.311,0.0597,0.0,0.252,0.818,133.888,03y045SZqaC94yfXl1cU4E,189933
0.919,0.779,-4.739,0.147,0.258,0.0,0.0991,0.941,138.038,2kUKeN9ZpYHqfBjB8Gphb2,189400
0.773,0.776,-8.692,0.0622,0.316,7.15e-05,0.0571,0.895,106.022,2gmTz7pHMqAk6fpOc88qxA,195019
0.68,0.802,-5.619,0.26,0.605,4.57e-05,0.0643,0.953,101.696,0QLjm2PNqKRJfWsxDPa9Ra,176316
0.805,0.773,-3.611,0.156,0.372,0.0,0.0908,0.654,100.088,2JFBYWxcJlt1PubMJYVjc0,175240
0.707,0.798,-6.164,0.295,0.211,0.00802,0.0775,0.855,189.9,6o3MUAimUATo8ozF1N6fOs,200493
0.865,0.682,-4.563,0.0548,0.284,0.00445,0.0422,0.508,140.052,4KHXk0rTD80mEf7bbdK29j,159357
0.932,0.778,-3.384,0.0638,0.212,0.0,0.168,0.933,124.996,4TnFANpjVwVKWzkxNzIyFH,188613
0.763,0.919,-4.041,0.112,0.132,3.74e-05,0.0917,0.488,134.918,29n9av2AJlYDHtqfuv0X04,200107
0.889,0.635,-4.546,0.178,0.232,6.03e-06,0.259,0.679,125.017,0JyX9jNf4mUdp1eNUVAqyR,149870
0.84,0.662,-5.539,0.0576,0.239,0.000493,0.0891,0.293,125.995,2Mhn2jv81zNuuRvdlYOYlM,199353
0.811,0.692,-2.836,0.105,0.00937,0.0,0.0598,0.817,125.009,6stxV2bl7xSiPUornxwyNR,162907
0.889,0.603,-5.842,0.142,0.114,0.0,0.0986,0.889,141.996,0bhUpKSeZKGKbZocH21wHX,164199
0.937,0.49,-7.398,0.118,0.015,0.000193,0.104,0.468,101.565,4VMWKOG1q8nE4OHjqLHkZn,184067
