danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.406,0.418,-6.302,0.0366,0.551,0.0,0.0737,0.468,126.264,1caKQ2Nqtr1eoczaB83cUz,144428
0.582,0.382,-8.014,0.0471,0.71,0.0,0.303,0.28,142.093,3yeFTYLMz4nOtyPXWEMKsW,178310
0.278,0.572,-8.295,0.0407,0.392,0.0,0.063,0.311,95.351,2f0Ft2XdvNSMSY5TUlZgEz,253760
0.57,0.404,-6.36,0.0312,0.693,0.0,0.0841,0.394,134.873,5PTXXKeQxOospewN9hDXka,207585
0.715,0.443,-5.234,0.0468,0.745,0.0,0.096,0.45,139.743,0Dhks7VwA1F7baYPVEeo4S,181832
0.725,0.756,-5.013,0.0572,0.362,0.000685,0.103,0.828,100.07,3VvA1wSxukMLsvXoXtlwWx,186133
0.503,0.488,-6.734,0.0384,0.495,0.0,0.104,0.428,163.738,6d920UMBw9naD9ggKvIiMT,219673
0.856,0.618,-4.892,0.286,0.0303,0.0,0.0866,0.391,81.993,2XIc1pqjXV3Cr2BQUGNBck,203201
0.565,0.39,-4.959,0.0556,0.817,0.0,0.126,0.708,163.781,3eJMSq78dDaFb7VvhNFnq6,193700
0.716,0.588,-3.952,0.116,0.152,0.0,0.0847,0.707,165.896,0gWbAFRcUyZKdfUxEOuOiD,183547
0.638,0.434,-6.5,0.0318,0.765,0.0,0.266,0.632,121.9,30brAfx64jxQMeUNUgDFaj,186870
0.781,0.662,-3.825,0.0336,0.355,0.0,0.161,0.686,91.999,40vzZFWG1h60TdZPuxuX3Y,197477
0.656,0.705,-4.262,0.0908,0.166,0.0,0.202,0.53,172.003,4z9b9AbzCw32Azqg8uJ0B6,179032
0.578,0.634,-5.979,0.333,0.00473,0.0,0.132,0.216,183.89,56Ta1O7Jxxpjnc6cWdDKUo,211652
0.544,0.688,-3.702,0.0378,0.283,0.0,0.142,0.372,89.885,2POEnW8xvLI8o3zcm61tJz,224675
0.788,0.789,-2.39,0.124,0.397,0.0,0.226,0.867,167.897,1LXb70u8SLsvBAPWHMCTMe,179005
0.64,0.582,-10.088,0.0358,0.772,4.22e-05,0.27,0.857,149.984,6QcufVgK2QrevhJyFSBKil,160399
0.721,0.814,-3.459,0.045,0.28,0.0,0.0531,0.944,157.002,34tHZJLk0adg5tW49iybbE,233756
0.644,0.661,-4.877,0.451,0.369,0.0,0.0733,0.355,180.05,3RasiWohReHWYM1FJ9d1ZD,199882
0.714,0.528,-5.219,0.0381,0.698,0.0,0.12,0.538,91.952,6qqd7DGn2VXzxsR4k3Ycun,200594
0.567,0.699,-3.473,0.111,0.145,0.0,0.157,0.277,179.958,3f8ohdsBs0EG9ktGccn4h0,187594
0.663,0.836,-5.111,0.0384,0.464,0.0,0.0554,0.802,154.952,0wA3AZzA0gp0wfSS0SpZt5,227312
0.422,0.736,-4.393,0.0524,0.323,0.0,0.145,0.325,157.083,7G1ZWXlnSXRQ1arx8I60Yd,237663
0.429,0.342,-8.828,0.0372,0.599,0.0,0.13,0.308,150.245,55CJCECkPMd9ZhGr4JOKn7,208600
0.762,0.797,-2.641,0.107,0.11,0.0,0.412,0.787,81.994,6VOb0Kkrd45Bp5RHYSla2J,174932
0.716,0.624,-5.398,0.0739,0.238,0.0,0.128,0.783,90.983,7BEPdOI0neT6p7PnLViqmH,157081
0.753,0.733,-3.715,0.056,0.253,0.0,0.398,0.156,92.064,6TCnhziFkBPhOTqvh8zVDU,147599
0.657,0.529,-4.918,0.0345,0.317,0.0,0.105,0.421,89.945,5Qw9OHZdAX40qw5hZCU0BS,197000
0.619,0.321,-7.405,0.0317,0.779,0.0,0.104,0.117,129.7,3duR10TJy7FDaAr65xe4v2,217480
0.612,0.697,-5.476,0.0387,0.261,0.0,0.347,0.633,91.976,5OX1JvE7gTkOd1DSzlrtFw,176087
0.622,0.465,-5.74,0.0326,0.563,0.0,0.158,0.569,76.076,4vyg50FAJjpCQEwmJMxlv1,226776
0.552,0.364,-5.874,0.0287,0.507,0.0,0.133,0.243,135.733,3xohhgJWESr3MgtaZyRTkd,164380
0.702,0.758,-4.405,0.278,0.14,0.0,0.111,0.837,167.915,1ZN2Dat0KrO0xqr9t8QP9r,188598
0.665,0.94,-3.606,0.0553,0.434,0.0,0.0914,0.752,93.725,7AUhck1sPy11OExQmDDx4P,231593
0.602,0.48,-7.122,0.0323,0.684,0.0,0.0951,0.513,138.062,30TZy1etY3FAGBDGS58hRj,206957
0.49,0.356,-8.628,0.0516,0.34,0.0,0.0825,0.384,194.764,2jt6psRd4oIjVxs76GDZa6,187385
0.622,0.257,-9.811,0.0293,0.478,0.0,0.0954,0.174,79.924,6TYuTMfBTU4hpXrhLsjIiV,190893
