danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.503,0.488,-6.734,0.0384,0.495,0.0,0.104,0.428,163.738,6d920UMBw9naD9ggKvIiMT,219673
0.805,0.61,-4.261,0.0372,0.382,0.0,0.153,0.805,125.023,7uZ5C69LskNw0B4szvVWI5,235435
0.491,0.643,-4.309,0.0442,0.187,0.0,0.109,0.779,162.469,6Um358vY92UBv5DloTRX9L,169419
0.732,0.573,-5.733,0.0237,0.56,9.34e-06,0.0543,0.882,97.502,5WEt9MiZPNmCbhu8GOR9Kk,152923
0.676,0.858,-2.636,0.0467,0.0354,0.0,0.211,0.67,139.998,2oW52tBeJNSv93Ct5AJb8q,161173
0.913,0.584,-5.263,0.223,0.521,5.36e-05,0.307,0.627,119.873,2xVcCDRgG3TrH69TatsUxp,174370
0.762,0.608,-6.344,0.0399,0.073,6.59e-05,0.595,0.686,87.985,2cyFoye18xtRTd13CEzH9D,186832
0.584,0.513,-6.646,0.0281,0.657,0.0,0.111,0.363,91.981,1IyyGyeI0FK3zfrDbDb0QF,203836
0.544,0.441,-7.336,0.032,0.694,0.0,0.275,0.17,94.852,2JNhw8a87uhQ8gTIf26RSb,244053
0.594,0.527,-9.335,0.0335,0.121,0.0,0.234,0.692,172.712,23Lyy7ZXRvzfgH4JtDkKrX,194019
0.56,0.583,-4.713,0.0291,0.614,0.0,0.263,0.823,150.115,4KSBQ8YMajJPd7ParPBlV6,151600
0.724,0.588,-5.342,0.131,0.508,0.0,0.342,0.577,144.977,0smvBTED0Px0rqPf3tobpt,226340
0.793,0.78,-4.247,0.249,0.341,0.0,0.111,0.576,178.046,3Zyk5Vd9WNPNVWxvb0EZTk,203360
0.812,0.791,-3.704,0.0279,0.0474,9.08e-05,0.305,0.635,109.969,6Xj014IHwbLVjiVT6H89on,139146
0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
0.707,0.611,-5.798,0.0424,0.395,3.18e-06,0.11,0.416,93.004,6P7Baz3uteblV2zklm39BC,176222
0.935,0.532,-6.416,0.0396,0.403,0.0,0.089,0.844,110.013,0O0kmHHBUG4YCqrKvMnmQy,195273
0.465,0.327,-7.794,0.0626,0.868,0.0,0.0747,0.615,83.367,2bta5uOxojY072yAOSniu3,211765
0.709,0.472,-4.962,0.0295,0.218,0.0,0.223,0.849,95.073,6NyJ0XuEuryK0kpxgv0flT,160367
