danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.506,0.846,-3.705,0.0497,0.0189,0.0,0.0835,0.268,169.813,21JOYA45JFkrOjqNwI6g8E,151592
0.519,0.595,-5.001,0.0283,0.00151,0.0,0.0762,0.237,129.786,1Ame8XTX6QHY0l0ahqUhgv,247067
0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,4SI5jkfBClYmMWhWWH8f9p,221520
0.573,0.559,-5.007,0.0449,0.554,0.0,0.112,0.315,77.842,0GucRM0BPRGxuzYPN3tF6T,176688
0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455
0.64,0.845,-3.214,0.0356,0.00108,0.0,0.0686,0.478,120.052,7j1ZJAbcm4AMBf82jIrAH3,229436
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,76OGwb5RA9h4FxQPT33ekc,179551
0.545,0.552,-6.049,0.064,0.738,0.0,0.0814,0.276,134.8,1NwjfTd5fsvRFtYGERuKzA,212800
0.574,0.852,-1.248,0.0397,0.0529,0.0,0.161,0.501,123.038,4zrKN5Sv8JS5mqnbVcsul7,209027
0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,35ovElsgyAtQwYPYnZJECg,196520
0.661,0.425,-11.185,0.0372,0.2,0.0,0.104,0.252,115.923,3PqAQRlPl0yOnqqcB6Y5Cw,217413
0.662,0.64,-5.223,0.0742,0.0227,0.0,0.142,0.921,90.002,2ThaHV10xrAcL2WfqXyLnp,175833
0.618,0.66,-3.202,0.0664,0.116,0.0,0.0727,0.572,81.023,2RO4aPByijQUqBZhYm1apz,200370
0.637,0.715,-4.971,0.0455,0.148,0.0,0.0892,0.308,141.872,38T0tPVZHcPZyhtOcCP7pF,210576
0.669,0.742,-3.518,0.0441,0.296,0.0,0.355,0.716,101.982,5uSFGgIfHMT3osrAd9n9ym,203472
0.713,0.67,-6.447,0.305,0.113,0.0,0.52,0.457,120.76,6btgTbK2UslfSu0qjTEXQm,206273
0.668,0.802,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,6sZo5nJIsFWXefRCCexpx0,225789
0.372,0.627,-5.257,0.101,0.767,0.0,0.0856,0.545,200.674,7B6z0HrxAByztLfgzkoxBw,182040
0.552,0.531,-7.732,0.0421,0.241,1.21e-05,0.122,0.438,144.946,1I4dwH7C0jBAEtz5DjlJgQ,176859
0.592,0.717,-7.537,0.0504,0.00844,0.0,0.085,0.699,154.782,0ruriS7oaQE0j1NE0AAW3o,202303
0.721,0.769,-4.111,0.105,0.0922,0.0,0.0817,0.915,155.932,2rmwqU7yzTvzkiaRV53DpT,187108
0.869,0.614,-4.783,0.0443,0.206,8.35e-06,0.102,0.798,122.036,1D5609drY3JVyf48LhBDoh,175673
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.643,0.276,-8.481,0.0596,0.901,0.0,0.114,0.213,149.503,7dISpxgINJOQSuXUTEfB9x,191173
0.783,0.72,-4.496,0.0533,0.429,3.11e-05,0.0632,0.925,104.958,48xHszgl5GSK5nefCOiFov,171500
0.834,0.624,-8.565,0.0838,0.0729,0.0,0.106,0.831,115.981,63siBeZzxXVaY0uASns1V2,232373
0.662,0.848,-4.338,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,5Hp4xFihdOE2dmDzxWcBFb,171778
0.748,0.853,-4.468,0.0548,0.266,6.34e-06,0.095,0.562,128.099,5mNzJwI6K103A3I46l081D,164987
0.577,0.934,-3.227,0.0535,0.0441,9.35e-05,0.0862,0.836,151.923,4nTsYZHFfecWk7NPXqqVyD,163317
0.544,0.578,-9.49,0.18,0.216,1.92e-06,0.0949,0.219,169.973,5EWPzyWm0b9McPS5Qyaijp,165558
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
0.579,0.904,-3.489,0.153,0.0259,0.0,0.146,0.751,89.616,5LDUHtyFMHrH8VNNYNaEkU,215163
0.449,0.535,-5.766,0.0942,0.499,0.0,0.112,0.21,86.28,3WhRMxFOQS9SeL53lyt3ei,194667
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,3nqQXoyQOWXiESFLlDF1hG,156943
0.456,0.804,-5.922,0.0483,0.00764,0.000832,0.128,0.603,140.105,55110NSrtlLhX4wfdF1VEA,229040
0.628,0.967,-2.43,0.0538,0.0217,0.00157,0.336,0.349,125.982,5vlzH0ps6WDyb158oFTAb3,186689
0.679,0.745,-5.959,0.0692,0.0536,0.0,0.122,0.71,95.999,5hquKiRUsOh0079PvO7EJN,196507
0.927,0.642,-4.466,0.0657,0.00791,3.62e-05,0.279,0.901,123.969,0TyUOnU4H4GLqOcrH0auc8,190883
0.762,0.611,-7.71,0.0404,0.0746,6.77e-06,0.139,0.618,105.017,0HBmcorGWox3KmkT4d4SL6,193813
0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
