danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.657,0.741,-6.822,0.0825,0.663,0.494,0.222,0.908,175.949,6b37xrsNCWYIUphFBazqD6,239987
0.929,0.547,-8.762,0.392,0.763,0.0,0.0791,0.787,120.068,5FzFcSvmmcNkjvMiOiSR2B,228391
0.799,0.744,-4.902,0.0358,0.0801,0.000486,0.145,0.324,123.017,6nYW5D9TyWomuS9hW6wDuY,209947
0.7,0.493,-11.77,0.484,0.792,0.0,0.128,0.834,175.514,5CLE8nqBC2HLuFqLjoFzYw,168264
0.579,0.682,-5.94,0.369,0.194,0.00262,0.099,0.728,94.827,39yQagzLGEbc9hEud0Ivvz,151579
0.373,0.523,-9.111,0.041,0.228,0.0171,0.111,0.0398,104.959,1CxtymiucDK0AB9vgGZ6q2,283493
0.63,0.554,-6.547,0.0672,0.727,4.17e-06,0.11,0.616,101.999,2JBnBUqpC3hrhMZv1Z9JKO,172627
0.787,0.58,-10.086,0.364,0.431,0.0,0.0952,0.37,109.981,2bPfarWfGqXRr3JWg5Olv0,177973
0.925,0.526,-9.936,0.309,0.136,3.69e-05,0.0854,0.72,130.087,0WqcGZ1Qd1r1zIA1Os2l14,128498
0.707,0.778,-8.915,0.221,0.0853,0.00365,0.177,0.668,140.988,5UPpgOKi0UQMMMSzWWgJJe,182068
0.788,0.402,-12.022,0.289,0.489,0.000514,0.624,0.805,104.983,1VutwUjHPwEELxHkwdhMkz,145234
0.879,0.622,-7.161,0.1,0.474,2.87e-06,0.236,0.873,118.011,3x6n0IkVMIqTl7EE2j3R2g,162293
0.682,0.708,-5.597,0.165,0.611,0.0328,0.0955,0.594,122.053,63ZedTAVRCICh2CNLWnsPZ,211456
0.845,0.717,-6.771,0.211,0.666,0.0,0.11,0.686,122.491,0goer5e8B6SJaTV2B51k6f,160893
0.755,0.713,-8.895,0.436,0.137,3.43e-06,0.283,0.723,167.043,30d0q6kt1BIfwAQUCAfxVQ,94903
0.761,0.598,-12.236,0.0306,0.253,0.0,0.3,0.966,101.249,5Ve1Y2fzaoer0zG0FIZcwL,512067
0.657,0.538,-6.287,0.192,0.139,0.000215,0.12,0.189,133.758,4DRF0J8DUc5GPzcbOTD1gu,172467
0.903,0.525,-7.178,0.114,0.159,0.0,0.0866,0.619,140.022,7kqNjuzxoqi4QDLHkBp0mb,221120
0.86,0.625,-6.814,0.114,0.461,1.64e-05,0.151,0.691,120.096,5PNZdDZE07oJOnTrE53p7x,122972
0.753,0.458,-12.52,0.123,0.0812,0.00413,0.209,0.662,105.057,559SdaPI7mqy9IQiscuaMj,150054
0.844,0.683,-6.496,0.043,0.48,0.00778,0.0851,0.327,132.018,2bNtWTLdqUGhLZqWUGPNvK,219533
0.828,0.599,-1.624,0.149,0.381,0.0,0.0775,0.478,86.533,3Hb9kUdm4yf839Fle4RIdT,171692
