danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.913,0.584,-5.263,0.223,0.521,5.36e-05,0.307,0.627,119.873,2xVcCDRgG3TrH69TatsUxp,174370
0.681,0.711,-4.79,0.0846,0.0278,0.0,0.312,0.826,89.89,1PAvhqefivTNdxZ4u8RT1d,156319
0.677,0.627,-4.097,0.0957,0.207,6.82e-06,0.102,0.7,187.933,0rnZOspoTCAXfvAudOdRng,174894
0.825,0.769,-5.172,0.09,0.106,1.37e-05,0.0717,0.853,95.977,4eOGoAtYWRPQZ6mUwwgmuW,144800
0.839,0.694,-2.68,0.188,0.466,0.0,0.0599,0.83,109.943,63hQU0ll74dtGBDMcyvdEC,144545
0.801,0.633,-2.785,0.0777,0.414,0.0,0.27,0.676,92.025,7kYbxvrGXv8cmKjkqgqhrw,167674
0.703,0.643,-4.705,0.09,0.00807,0.0,0.0895,0.814,176.038,0AsWM30PAtdxvAph5aYXAW,159188
0.647,0.662,-2.955,0.125,0.305,0.0,0.359,0.693,113.28,1gYtMKmICjH8KQG3MheNJt,197647
0.582,0.382,-8.014,0.0471,0.71,0.0,0.303,0.28,142.093,3yeFTYLMz4nOtyPXWEMKsW,178310
0.781,0.662,-3.825,0.0336,0.355,0.0,0.161,0.686,91.999,40vzZFWG1h60TdZPuxuX3Y,197477
0.855,0.83,-2.815,0.106,0.0783,1.31e-06,0.08,0.775,90.009,3AbNNvo2OmyeDMvRBgf9vk,190667
0.523,0.691,-3.802,0.0833,0.133,0.0,0.327,0.677,94.148,0lJE8f0lx8mUSfMyxeYpiC,160213
0.781,0.866,-3.493,0.0867,0.216,0.0,0.101,0.864,95.993,1wNThvd9AUiHcKrEvnDd6o,165646
0.881,0.848,-3.747,0.0987,0.353,0.0,0.272,0.848,115.001,1txKMRTXE0Gh3aQVSHxmwY,205173
0.85,0.541,-4.522,0.0674,0.161,5.01e-06,0.286,0.916,92.003,0cOa970mzTWAxKtltpkpLc,165275
0.818,0.812,-4.425,0.0475,0.112,0.0,0.234,0.844,139.966,74znaWw1hmQBusGPSOuTFy,231708
0.567,0.708,-5.291,0.107,0.03,0.0,0.0667,0.409,165.97,1CnjZK9rneIrUzQP09LWJI,207400
0.683,0.511,-7.894,0.0641,0.448,0.0,0.175,0.256,95.087,6Jsfaw9b0hopNZ1SVHEXmW,173021
0.797,0.639,-4.317,0.387,0.114,0.0,0.0589,0.677,175.94,5cgXYVjt3tEaM8l3wZiSiV,200961
0.832,0.749,-3.704,0.316,0.191,0.0,0.109,0.509,126.079,63GTuNSVLynH3n3PdqObgd,158080
0.475,0.717,-6.712,0.102,0.194,0.0,0.101,0.646,83.869,7GrffUxvaKz4wKmyutin0P,199720
0.675,0.825,-4.028,0.0647,0.202,0.0,0.0789,0.765,172.029,4SbgqYgp77oQ2y7rJSjEMp,183900
0.743,0.674,-4.201,0.129,0.15,0.0,0.0986,0.932,174.024,4WkEH0PgystZUaN6QU6Z0B,190345
0.382,0.331,-9.096,0.0347,0.782,2.23e-06,0.302,0.277,112.821,3mCsFR4vkkg6az76rXMZu6,194836
0.378,0.619,-6.794,0.0767,0.305,0.0,0.413,0.349,87.387,351dqwRVsCDniedG9soXSf,144352
0.781,0.804,-4.407,0.173,0.11,0.0,0.275,0.722,176.104,1pXzi7SfPKaNVhpOU8Lill,127303
0.838,0.751,-2.864,0.0812,0.221,2.23e-06,0.133,0.706,91.982,4foIsT0s9Ime0OPxTpl6N6,161060
0.694,0.82,-4.859,0.12,0.228,0.0,0.268,0.502,178.043,4KWR9vxhs2Hrovjo0kGCT7,203520
0.707,0.876,-1.887,0.0787,0.173,9.36e-06,0.932,0.853,176.068,1g4cZvi0nLeeIycd0Rkljj,204414
0.668,0.351,-7.782,0.114,0.152,0.0,0.113,0.522,200.017,2HpbDdD3JLpAPMJFYCeC6o,244200
0.825,0.837,-5.087,0.128,0.193,2.79e-06,0.125,0.836,138.155,5elv0DQyIeFVgMnxQ43lRf,138013
0.619,0.584,-7.242,0.0494,0.0768,0.0,0.33,0.148,118.176,0JrpH1QLYRJWuGkKeGm4ho,188677
0.798,0.74,-4.165,0.119,0.212,0.0,0.0794,0.733,79.992,5iny7576bQLjbgHyefw9EM,147271
0.525,0.786,-4.98,0.0436,0.132,0.0,0.0612,0.566,146.025,1N1IdKUArn1vim8cntw4DT,218200
