danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.582,0.767,-11.38,0.0297,0.288,0.0789,0.0606,0.736,141.683,3EEd6ldsPat620GVYMEhOP,186038
0.743,0.836,-6.465,0.116,0.0804,0.0,0.384,0.82,113.375,39shmbIHICJ2Wxnk1fPSdz,188987
0.274,0.908,-5.419,0.0691,0.00103,0.00219,0.154,0.483,148.246,6ui6l3ZNvlrGQZArwo8195,200080
0.526,0.9,-6.815,0.0545,0.00539,4.12e-05,0.14,0.883,151.279,7lSDCrF11sdTVfjbAQVZE8,163240
0.56,0.965,-2.341,0.0409,0.121,6.23e-06,0.169,0.964,162.825,5NoQvINZLBV1wMYPdNmReL,149787
0.726,0.537,-8.896,0.114,0.316,0.0,0.0707,0.882,96.889,7jIAttgQTpLDoNtykIQXjH,145707
0.32,0.798,-7.078,0.124,0.00033,0.692,0.176,0.74,84.696,5fbQCQt91LsVgXusFS0CCD,209040
0.501,0.813,-8.192,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,7cdnq45E9aP2XDStHg5vd7,138707
0.604,0.573,-7.804,0.037,0.289,0.0406,0.133,0.581,107.862,4vsoWZcvtvSsE0OiVvDDvX,206947
0.651,0.801,-7.34,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,200480
0.266,0.831,-9.07,0.0453,0.000862,0.0,0.0555,0.778,175.514,5YUJMvTg4AWHKjqQidTsGK,163693
0.618,0.716,-8.224,0.0367,0.00473,0.822,0.179,0.545,92.174,2DBlfjL5chsdeULzhTp5K8,173267
0.442,0.922,-5.086,0.0655,0.0532,3.86e-06,0.0768,0.855,162.272,59CLe8stbcx4XYBWdsfbwK,217364
0.645,0.809,-6.12,0.0385,0.00921,0.00108,0.106,0.966,138.978,3oyc1mIdCBGaU55wX7otqM,196680
0.385,0.783,-2.533,0.233,0.000269,0.47,0.108,0.902,176.701,4KcH1ZRV2W1q7Flq0QqC76,134467
0.531,0.849,-10.754,0.111,0.0389,0.00763,0.186,0.305,119.516,0ElRzK07sc9eszyk1ea9Ab,136427
0.282,0.943,-7.746,0.121,0.741,0.414,0.178,0.15,182.381,5LgiqEgpK54OfXC6947wbU,128427
0.319,0.836,-6.706,0.113,0.00364,1.84e-05,0.1,0.94,180.56,6ALPLbDJ9eWVij9ep3Cgf4,174507
0.485,0.846,-7.63,0.0528,0.0157,0.0287,0.0766,0.743,144.246,0rcLhYRihks3t4lFPtHhQV,237013
0.527,0.871,-8.708,0.0354,0.0229,0.155,0.419,0.107,120.722,672N8DGGTOLCOgWe0koX5g,188560
0.358,0.804,-8.534,0.302,0.0404,0.0,0.111,0.625,91.842,7G83ZwD2msTtFaBQExc8QB,229960
0.49,0.536,-10.83,0.0382,0.0391,0.371,0.116,0.732,118.008,7Me0vOSlJfaPY7Pc4GeItd,638427
0.679,0.645,-9.765,0.0442,0.032,0.868,0.152,0.826,125.844,3fElupNRLRJ0tbUDahPrAb,279520
0.614,0.721,-8.962,0.0322,0.000642,0.0817,0.167,0.708,146.629,5bxBosfOC3upyOK9tjxZ35,175907
0.317,0.885,-4.768,0.144,0.176,0.000249,0.221,0.704,111.366,5szJ8SMwQVEvvdk65w6M6g,207040
0.272,0.909,-7.476,0.0529,0.00145,0.00221,0.207,0.947,166.453,7pADnbKBmN6bY2YfLXCIgU,89160
0.569,0.954,-4.82,0.126,0.35,0.000265,0.0768,0.574,91.205,4Pmo0mMgiyBCj1Zd7Axsi1,134027
0.412,0.601,-10.493,0.0536,0.000866,0.0466,0.321,0.49,114.537,3sEQf5AuiphddGXRIWBcO9,183867
0.503,0.983,-5.991,0.0809,0.0859,0.00197,0.12,0.549,155.823,0vNGbGK1pl5SrV6SHUh06H,85867
0.494,0.923,-7.69,0.182,0.0962,0.0,0.128,0.577,176.216,5E47rKJbS74jyLZaSgb0kS,113240
0.499,0.87,-4.431,0.126,0.0183,0.0,0.0512,0.893,188.853,4FzPIalyruWIiefI91qe4B,137400
0.543,0.705,-8.062,0.0465,0.0111,0.188,0.237,0.334,119.252,09LikVa6VgPYcsChqn1N0U,231707
0.439,0.971,-5.855,0.177,0.0148,1.34e-05,0.255,0.24,118.369,2yE3bwbhqypdsuhmv48Svn,163880
