danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.376,0.831,-6.543,0.0826,0.0417,0.00764,0.0678,0.289,168.026,0KmC4jFH8axcJqKvOTBXeX,175387
0.357,0.933,-6.3,0.0803,0.00353,0.58,0.121,0.193,127.091,1v1jlj1qT3oDjozh5rOlC6,261385
0.545,0.96,-3.248,0.0384,0.000293,2.51e-06,0.0754,0.806,102.989,6kyQGUWTewUuT5dlINrdLP,195754
0.524,0.631,-5.196,0.0328,0.000996,0.000779,0.291,0.243,98.054,49xISBZpODXRwd7vVxGL93,157705
0.601,0.873,-4.211,0.0595,0.000349,2.28e-05,0.339,0.238,109.981,3vTehy2tTrXyEeOieYFEAd,164827
0.332,0.938,-4.697,0.07,0.000115,0.183,0.162,0.68,133.585,51IU4G5kECZsUHX2kT1OU3,213920
0.419,0.95,-5.636,0.0793,0.0589,0.00705,0.282,0.494,174.328,5aa6n3VZmDediYoN2x9ayw,211765
0.575,0.971,-1.65,0.0561,0.0161,1.34e-06,0.205,0.893,159.94,1qXR66ok1P7wsTKsLwdf9b,182243
0.547,0.877,-4.561,0.0448,0.0102,0.0,0.0884,0.449,134.98,7fhoVNqC9nHGTz3VjlFV7A,241093
0.583,0.798,-4.443,0.0289,0.0511,0.00744,0.123,0.652,152.109,5IssEtH38Bs8vpGOoVnLlh,212080
0.591,0.897,-5.346,0.0771,0.00025,0.675,0.102,0.264,100.042,3FOxK4zKJp5yCVqZPFIm5a,115228
0.754,0.554,-5.16,0.0337,0.0204,0.0,0.0645,0.471,111.051,7uDPHQ8ZRfeqwmYGDGYAio,184240
0.747,0.824,-6.783,0.0536,0.044,0.817,0.19,0.745,130.0,7uECCWx2tz4T102b2QBS0p,180147
0.468,0.984,-4.083,0.0884,0.000267,0.0123,0.136,0.497,138.886,2oSpsk4KFihbnnqTKgLaLL,203455
0.724,0.737,-9.152,0.0801,0.00534,0.593,0.171,0.808,130.294,2odisK3KJX3mtLtilbWVt1,198973
0.414,0.911,-4.402,0.0944,0.00894,0.00323,0.388,0.449,157.444,0vNu5t0o0R57Xy1e10d5zI,263973
