danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.21,0.94,-3.427,0.123,0.00602,0.0,0.269,0.255,179.722,7lRlq939cDG4SzWOF4VAnd,186480
0.528,0.831,-3.607,0.0429,9.43e-05,0.0,0.141,0.632,131.094,1JdKrFyoU05abww0Zv0ayQ,220480
0.438,0.938,-5.611,0.094,0.00842,1.08e-06,0.806,0.584,160.212,61XspFITuKmAlYdQacNCbF,181493
0.541,0.904,-3.001,0.0435,0.00143,0.0,0.193,0.541,98.122,5jZ1Z2GFTf2gwmFc3qiUxs,208693
0.55,0.917,-3.159,0.0638,0.00428,0.0,0.197,0.601,126.115,6TfBA04WJ3X1d1wXhaCFVT,177827
0.597,0.931,-4.591,0.0984,0.127,0.0,0.0504,0.534,92.003,0DKNNR9iDjwfCEpMiFXMJq,235200
0.15,0.859,-2.827,0.0595,0.00201,0.194,0.387,0.354,170.527,0WSa1sucoNRcEeULlZVQXj,228147
0.459,0.891,-5.057,0.0623,0.00511,0.0,0.106,0.588,154.837,3Zwu2K0Qa5sT6teCCHPShP,203507
0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,165853
0.566,0.835,-6.87,0.0742,0.0356,0.0,0.241,0.606,170.066,23DHUWJ7iEieNPMPKvjzBV,244480
0.463,0.857,-3.063,0.0632,0.0506,0.0,0.184,0.856,111.647,7j31rVgGX9Q2blT92VBEA0,161920
0.403,0.965,-2.238,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,1IT0WQk5J8NsaeII8ktdlZ,236293
0.488,0.862,-7.595,0.0476,0.0204,0.0,0.359,0.706,104.56,1FkoVC85Ds3mFoK0fVqEqP,257827
0.322,0.914,-6.99,0.0484,0.00102,2.87e-05,0.0469,0.583,113.717,0uwM67BScty5fvQLUZneX5,156667
0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,2TfSHkHiFO4gRztVIkggkE,229093
0.554,0.932,-3.424,0.0485,0.00154,0.000142,0.425,0.478,112.49,1vcxF91pWs9uNwDROuiCPB,242280
0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,6SpLc7EXZIPpy0sVko0aoU,211520
0.545,0.932,-2.189,0.0399,0.000665,0.0,0.127,0.464,92.956,4wzjNqjKAKDU82e8uMhzmr,192000
