danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,6SpLc7EXZIPpy0sVko0aoU,211520
0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360
0.431,0.95,-4.918,0.26,0.00105,3.63e-05,0.272,0.56,191.936,2OMqSRS11ly56zg9u5za6c,158733
0.459,0.891,-5.057,0.0623,0.00511,0.0,0.106,0.588,154.837,3Zwu2K0Qa5sT6teCCHPShP,203507
0.491,0.966,-4.28,0.0538,5.59e-05,0.0,0.307,0.614,105.544,6hwQ69v7VbPhTTR2fOtYX7,202573
0.21,0.94,-3.427,0.123,0.00602,0.0,0.269,0.255,179.722,7lRlq939cDG4SzWOF4VAnd,186480
0.439,0.945,-2.21,0.138,0.00677,0.0,0.166,0.455,161.954,1eylM8qwVdD1AXDy3vjSgT,195680
0.527,0.834,-5.531,0.0447,0.00107,0.000102,0.0993,0.422,110.065,6otiaV2fagE3s8IvP6WkwG,198333
0.552,0.89,-3.409,0.0342,0.000143,0.0,0.888,0.716,146.525,4VgEM12OeaN3GyBV487Me7,232680
0.459,0.895,-3.126,0.0805,0.00725,0.0,0.206,0.572,181.04,0JJP0IS4w0fJx01EcrfkDe,182827
0.344,0.972,-3.675,0.116,8.48e-05,0.0,0.293,0.387,167.819,4XOZaPYeMn9hcbpyS90NnD,208187
0.416,0.967,-2.289,0.109,0.000367,0.0,0.0632,0.431,171.032,1VpTwecl7EbQiGyVsvwFQE,192787
0.545,0.932,-2.189,0.0399,0.000665,0.0,0.127,0.464,92.956,4wzjNqjKAKDU82e8uMhzmr,192000
0.404,0.98,-4.038,0.107,0.000193,0.0,0.0742,0.433,177.793,4pImG3RdbaGfanzQOTFgyr,220200
0.352,0.912,-4.253,0.0725,0.00197,0.0,0.193,0.351,166.795,0wVluBsVAVzBKrqspuCcwR,220147
0.54,0.833,-5.691,0.0391,0.0456,0.0,0.103,0.448,134.996,7w0gu9n8vp3sE0xZFCxcFu,180083
0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,167067
0.509,0.817,-5.472,0.0502,0.000439,5.56e-06,0.0947,0.597,155.199,5dJqHtAc4toOPTRX9xfOB6,237573
0.426,0.868,-3.702,0.047,6.54e-05,0.0,0.0723,0.402,149.042,05qCCJQJiOwvPQBb7akf1R,216000
0.423,0.94,-4.012,0.0635,0.00166,0.0,0.178,0.505,149.934,6GIrIt2M39wEGwjCQjGChX,206520
0.523,0.943,-4.203,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4EchqUKQ3qAQuRNKmeIpnf,180160
0.463,0.857,-3.063,0.0632,0.0506,0.0,0.184,0.856,111.647,7j31rVgGX9Q2blT92VBEA0,161920
0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,165853
0.602,0.923,-3.763,0.044,0.0098,0.0,0.0561,0.765,136.01,1yjY7rpaAQvKwpdUliHx0d,216013
0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,2TfSHkHiFO4gRztVIkggkE,229093
0.731,0.675,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,7kDUspsoYfLkWnZR7qwHZl,139461
0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,00Mb3DuaIH1kjrwOku9CGU,204000
0.531,0.909,-4.236,0.034,0.0175,0.0,0.231,0.814,97.546,1Dr1fXbc2IxaK1Mu8P8Khz,178000
0.217,0.905,-4.103,0.0752,0.000289,0.00011,0.222,0.236,96.95,5wQnmLuC1W7ATsArWACrgW,311107
0.579,0.928,-4.344,0.0411,0.000715,0.0,0.18,0.882,95.594,1fJFuvU2ldmeAm5nFIHcPP,171533
0.55,0.917,-3.159,0.0638,0.00428,0.0,0.197,0.601,126.115,6TfBA04WJ3X1d1wXhaCFVT,177827
0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452,0a7BloCiNzLDD9qSQHh5m7,180267
0.568,0.844,-5.875,0.0505,0.000189,0.0,0.0607,0.766,116.046,1HNE2PX70ztbEl6MLxrpNL,207093
