danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.452,0.928,-3.133,0.079,0.000706,0.000637,0.226,0.6,129.188,7rSERmjAT38lC5QhJ8hnQc,153600
0.509,0.982,-4.492,0.122,0.0133,0.000574,0.375,0.387,157.899,0cYC4yBogMCYktHDiHN9y5,265431
0.386,0.966,-4.258,0.0716,0.00152,0.0248,0.0791,0.862,155.994,7caiyAewYYoWu5rZZgQWgn,230640
0.43,0.887,-5.656,0.0435,0.00294,1.34e-06,0.0804,0.892,159.981,10UlU5E5RfydywnKmA1nFL,194453
0.498,0.806,-8.684,0.0661,0.00269,0.0,0.164,0.741,146.622,2779hybiMKwid1gcrFVMzH,165493
0.461,0.903,-6.124,0.0436,0.00538,0.00623,0.0825,0.828,149.881,35DtVain6n4J5hAb0wDNZz,167440
0.581,0.957,-2.324,0.04,0.119,3.68e-06,0.367,0.961,144.889,0E4tTwpmHQTXQbI9Ov7V2S,196667
0.521,0.937,-4.338,0.123,0.00334,5.79e-06,0.21,0.642,141.963,3tkXg3freIdvTxN58YUPaG,189560
0.546,0.958,-4.832,0.119,0.0149,0.000375,0.407,0.628,127.955,5wXGCPZNAuz0nOOQHGlvKp,191907
0.576,0.906,-5.483,0.0744,0.0507,0.0,0.393,0.801,89.963,1geM10YkSCzsCIFen0LQvW,151560
0.323,0.912,-2.059,0.0425,0.0219,0.0,0.373,0.609,108.084,4bLKGUkVRxIyrN1770DdDm,306520
0.652,0.798,-2.641,0.0341,0.102,0.000164,0.235,0.886,133.987,3rldsE7VbNG5jXv2LGNKF8,174747
0.47,0.917,-6.331,0.0538,0.0355,0.000582,0.0515,0.894,144.777,1QxiAWrrZ2uFrjyzsC5jFg,239653
0.405,0.973,-2.835,0.0485,0.00292,0.0495,0.157,0.81,151.18,34m9v482iwNV9QHWfzNFq0,287187
0.461,0.752,-8.738,0.0606,0.0211,0.00043,0.116,0.897,141.085,4CkIURmNRubxc12llcAiuh,158213
0.461,0.967,-3.396,0.0961,8.09e-05,0.0952,0.305,0.562,168.053,2n1gX9ahXB2bXJi1cUtwo9,155042
0.476,0.539,-5.308,0.0571,0.0649,0.0,0.243,0.732,174.589,6gXLYsEkqlhe41lWPdBKOx,248733
0.651,0.691,-7.991,0.0831,0.144,0.0,0.241,0.624,140.273,2ftkqHtPfuYkyy0oy76qBq,224732
0.454,0.986,-3.544,0.0915,0.000714,1.34e-05,0.276,0.735,159.974,66jfY0gvhfylkoocCEyhv0,170147
0.374,0.614,-8.025,0.0328,0.0576,2.41e-05,0.138,0.328,154.795,4FqRa2XKagduNRKn8qnmVc,275947
0.398,0.967,-3.232,0.0611,0.000945,5.71e-06,0.18,0.611,111.676,0kXpvPNNjjPsEGRg3SE0xW,232187
0.535,0.964,-4.105,0.0986,0.00568,5.2e-05,0.0885,0.589,138.098,1IN6dz9wbuszss9OIOoPjv,207040
0.559,0.906,-3.49,0.0364,0.565,1.91e-05,0.328,0.881,143.446,59sa6RabsXP6xXIPA2UAb6,160907
0.609,0.888,-3.417,0.0438,0.00206,0.181,0.109,0.909,134.986,5kHz0PMhxREjnD3rmulNbC,169893
0.478,0.904,-3.558,0.0525,0.000977,1.74e-06,0.0628,0.523,155.021,5His2KyaJt6tuKCdeXCtcn,271187
0.533,0.99,-1.962,0.0883,0.00393,0.00132,0.209,0.481,126.045,20ZPFGWFDdCehIlCRBSene,224453
0.383,0.869,-5.348,0.0991,0.0824,0.0,0.0806,0.785,170.094,5Z86P3a0reCE58nhDZDCgk,166827
0.237,0.953,-5.564,0.134,0.00208,0.0,0.109,0.233,107.862,5WWOVWXoOBa0IPUOSPiU7w,229102
0.588,0.96,-2.924,0.0775,0.00085,8.55e-05,0.34,0.525,107.062,254MGsp9Sj8JX1KMJHKJLN,215613
0.536,0.891,-8.193,0.0608,0.000466,0.00244,0.198,0.794,131.152,0EjrmUYfo0bo787mvveLLi,210787
0.448,0.967,-3.871,0.111,0.000821,0.00069,0.175,0.436,159.973,5vHsCIZgJLXjUPZHZddwMC,215976
0.518,0.938,-4.727,0.0584,0.0043,4.45e-06,0.327,0.801,146.017,7b1C6mz6egDlaZWavyKJv6,164367
0.185,0.941,-3.457,0.105,0.00108,0.0,0.33,0.505,150.983,47AK0542IdPkD4pMbynDxg,253376
0.206,0.979,-3.755,0.124,0.0093,0.0,0.325,0.454,140.936,5YDSdt8rLCiUmc2BbNtCLe,155643
0.489,0.943,-4.03,0.0778,4.53e-05,0.114,0.339,0.773,86.071,0FaTgXZvAq3vqRGWir79ew,218868
0.576,0.951,-2.795,0.0357,0.00104,0.000101,0.304,0.961,132.054,5EAEFB8usSqF2rCvwmjJbr,159539
0.468,0.788,-6.763,0.113,0.0994,0.0,0.0586,0.672,130.438,3Czlbc2EbEiaIjSrWY5zKA,173200
0.456,0.973,-3.712,0.0798,0.00116,0.000755,0.322,0.533,180.032,7h0ua2NID4KBYNjs401sxT,157876
0.535,0.791,-6.317,0.0347,0.0394,0.00437,0.191,0.895,161.792,7tPW4cLySo5f6WCVUxYvC4,204507
0.424,0.791,-7.837,0.0417,0.000209,0.00159,0.0535,0.964,155.971,0yqvEhELr8LocDUNJ0mtgr,203827
0.385,0.985,-5.955,0.135,0.00617,0.000228,0.689,0.57,154.059,0FDTn9eV0JeoRYBcVP0Pdp,217067
