danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.67,0.486,-7.456,0.0352,0.325,0.000363,0.0985,0.373,107.988,5flMoOfc914PhFtAD8e1gX,167459
0.877,0.827,-2.66,0.279,0.499,0.0,0.114,0.77,91.993,4gkjuwpDV79mAVqqyoeSsD,120067
0.625,0.274,-8.593,0.0281,0.834,0.0,0.11,0.081,134.9,7JGCzG4u3YNom3CTwz2kpr,184829
0.655,0.414,-9.996,0.041,0.526,0.261,0.329,0.254,143.889,1HmdMV6AP2ZA01JdgZFf44,169796
0.759,0.587,-9.692,0.0675,0.363,0.000459,0.134,0.573,113.02,1vbVS8vpaFQNjketow7tse,153723
0.805,0.565,-7.166,0.0513,0.623,2.42e-06,0.128,0.642,130.016,0GxUJLTF4RanPVwY1YpcZ3,182077
0.816,0.632,-8.868,0.0791,0.366,0.00111,0.0852,0.701,119.972,6eaupQfbjsvOsTCNqz4SQv,203013
0.775,0.41,-7.481,0.0464,0.724,2.62e-05,0.114,0.298,117.165,2NQtXwEgMkIeTiThSdbWPq,186733
0.553,0.501,-9.57,0.0319,0.935,0.147,0.106,0.213,96.031,2FZ2D3fVByioMCHTwXQEhB,140218
0.651,0.402,-9.103,0.0248,0.217,0.0162,0.119,0.173,100.006,0Ot8GnwG2tDkJ8R6dgNfbd,185633
0.722,0.699,-8.136,0.0384,0.0656,0.00279,0.0966,0.722,92.014,5PuJOlF0TlMzWCeXoRdThH,187826
0.676,0.865,-2.899,0.0412,0.0347,0.000476,0.117,0.394,121.99,5mlNLzIdl6Ae2a4YRphSI4,202647
0.885,0.563,-7.914,0.0529,0.566,2.99e-05,0.089,0.64,115.026,3XQDYyBoAeP7Agcx4YCwHS,169843
0.385,0.763,-7.148,0.041,0.102,0.278,0.34,0.244,203.794,0z87dq19ylNYib5WN0HVIn,69403
0.671,0.464,-7.279,0.225,0.193,0.0,0.172,0.52,129.982,7H8VxrYJR2sWWLBrtcmQgt,147923
0.819,0.655,-7.171,0.0487,0.00934,0.00016,0.292,0.681,120.01,23KRFSsLa3UQ8FMY6KQ63i,172718
0.899,0.613,-6.375,0.145,0.481,0.01,0.0397,0.861,147.112,1jzMvdYPdXJdaDyuPvFNxm,179388
0.793,0.538,-7.703,0.0362,0.168,0.000307,0.119,0.76,112.947,31woMxYB85YfABARqqJm7e,189558
0.76,0.509,-6.838,0.0354,0.0212,4.09e-05,0.0308,0.869,139.986,43ImePOfnaz2d4YH4mWwyi,193286
0.598,0.427,-8.767,0.0456,0.349,5.61e-05,0.19,0.28,93.004,4Sec4YoFHueidjEW8fQDSj,184111
0.638,0.705,-4.499,0.0406,0.0178,0.0,0.124,0.503,160.07,1G8nKybzD7qlBxfZYFSybv,195199
0.807,0.588,-7.916,0.0399,0.116,0.0,0.106,0.233,139.004,6ELwRYRmWonbkZWeVx55qV,152657
0.573,0.347,-8.18,0.0282,0.794,7.17e-05,0.11,0.344,80.016,1XUFRMGnLUjESmegODafq9,200438
0.346,0.15,-13.431,0.0367,0.958,1.89e-05,0.127,0.187,159.624,7b8IcOvAOdaYJEaLW5dv9C,135176
0.803,0.638,-6.137,0.0364,0.0357,0.608,0.232,0.594,108.026,59fIYH3h8H8ilm9ALt2NUl,234040
0.81,0.606,-6.034,0.17,0.036,0.0,0.173,0.713,97.949,0eAY1xwwdnFv7JcRmgcEkW,167320
0.623,0.359,-8.513,0.0565,0.618,0.000379,0.0299,0.293,152.189,2rtr3HuXDjajzmWTe2OUqD,245914
0.78,0.797,-5.527,0.0428,0.439,0.000115,0.112,0.95,147.968,5ZIU6eFkgCMiZX0ZdPtloV,149189
0.2,0.115,-19.622,0.0387,0.992,0.899,0.123,0.17,79.439,4scUgWRfSfKejgVgRfz8X7,60000
0.702,0.723,-5.196,0.0504,0.095,0.0029,0.328,0.746,88.99,7cHLutQTiJ5cMfVI5Bg7nQ,185491
0.693,0.649,-7.246,0.0257,0.157,0.0195,0.0783,0.835,105.984,5cVBkcYGi6aiG4cnTMfN6x,206233
0.643,0.407,-7.36,0.102,0.613,0.0,0.147,0.47,143.786,6Mb0OgMvbb7FYQejZ6rusz,187552
0.694,0.816,-6.698,0.0339,0.32,0.0391,0.213,0.658,98.017,3SDpBsvxo7R9wcDHULaIJV,187001
0.437,0.261,-14.182,0.0294,0.887,0.00348,0.0851,0.209,141.749,2rHwZH39RB1aCRQSQETOzf,226092
0.497,0.3,-9.913,0.0352,0.856,0.0,0.159,0.251,175.783,3ODy4Ut24h55doPIJylVkw,215625
0.78,0.729,-6.029,0.105,0.307,0.000236,0.349,0.69,112.838,46vZ6wZNAS60eaQRHhIKNK,181461
0.631,0.548,-7.157,0.379,0.522,0.0,0.0963,0.195,80.041,1ERZ1Y2Fgc54Rs09ZvgrNv,158431
0.773,0.608,-4.927,0.045,0.488,0.0,0.385,0.557,94.02,4PkEC6lj6GXgxDyjmG4obk,159825
0.624,0.368,-9.568,0.0315,0.446,0.00073,0.106,0.261,120.003,5ltE632wgkwfKTNeDjKeIA,201754
0.675,0.622,-6.251,0.0234,0.247,0.45,0.107,0.662,108.002,5DamCARBr1qv1aiPS2Hip9,202778
0.723,0.342,-9.573,0.0484,0.86,0.0,0.316,0.32,118.974,2UbWpVRTjpWBInJVD86Dgg,189832
0.403,0.342,-10.144,0.175,0.497,0.0,0.135,0.154,73.534,60jrv0KF1Uy5upBN8VTUZN,213820
0.543,0.184,-10.545,0.0397,0.952,3.98e-06,0.105,0.348,75.188,3I5ZwfMP7m6KOuA2JTchYs,177200
0.722,0.567,-8.881,0.0753,0.566,0.0,0.0994,0.598,87.972,3lVy9WnOeNofJwqIEv7Mx3,151001
0.61,0.395,-7.332,0.0279,0.577,0.126,0.0753,0.341,74.985,1rcbA9319YlOcjkzaRJbgb,211588
0.806,0.567,-7.165,0.0507,0.629,3.35e-06,0.128,0.643,130.005,6dquCx5KAW5jCgGgoTlghL,182077
0.638,0.74,-7.289,0.0402,0.0327,0.00785,0.083,0.211,107.051,5VcjWCrAVvsOUQrKDaDI6G,206003
0.529,0.593,-7.904,0.168,0.243,0.00389,0.185,0.355,119.964,5FQb4haunBEG5l3qVUDYOx,157333
0.672,0.543,-8.73,0.0649,0.599,0.051,0.172,0.612,79.991,0g34K1VMsymkjGyPpeuL0x,179526
0.723,0.663,-7.539,0.0463,0.731,0.000424,0.095,0.798,134.021,3yPLXJ8tLM2K8FCgCakpTq,146715
