danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.84,0.634,-7.464,0.12,0.0424,0.000256,0.293,0.504,95.02,6M1qcLBhSBIDMmC9wprnLK,154627
0.668,0.618,-4.639,0.0607,0.125,0.0,0.112,0.389,120.951,6Szgu8v7CAapag3XuuJX0b,156632
0.584,0.453,-6.682,0.0661,0.753,0.0,0.111,0.328,124.913,58cMDjQSUdWJUgFmHxRhjt,241624
0.771,0.452,-6.648,0.0679,0.0274,0.0,0.232,0.904,91.006,5FfgLIooERZ7rcNcwxAcdF,187049
0.542,0.729,-7.453,0.0881,0.0977,8.97e-06,0.488,0.337,120.879,6nStBZGqGgTR87MrBpNza0,124959
0.714,0.826,-3.118,0.0505,0.181,0.0,0.197,0.652,118.04,1IyDPcSWAjNe06JXqTxpWE,128896
0.689,0.504,-7.305,0.0442,0.377,0.0062,0.151,0.238,143.036,6DFxVrPvZGn0hdEwLPPapb,207109
0.405,0.733,-2.694,0.0523,0.0619,0.0,0.198,0.223,82.15,6RfuWRctUik5CiwnIajDVB,222530
0.571,0.541,-6.792,0.0331,0.664,0.0,0.114,0.336,124.954,6AvjNF9nwImqgq2PHe5hqz,215493
0.608,0.764,-5.773,0.0389,0.179,1.1e-05,0.0846,0.188,133.01,2OEKjBfuCdVPLLUgUf90ZM,188827
0.804,0.766,-7.788,0.0507,0.000605,0.897,0.0774,0.151,120.012,4OLhdPyYxmTCWJ2fLk7AYD,418250
0.708,0.48,-7.781,0.217,0.193,0.00796,0.109,0.381,89.052,5F6RAwXNcvQ8Y42YzP4ppU,312342
0.308,0.314,-9.959,0.043,0.715,0.000151,0.161,0.19,138.294,3W06q3LJ9wzSfYdWWDfWeQ,340030
0.646,0.719,-7.593,0.0473,0.135,1.48e-06,0.549,0.417,93.978,2UnIW0DQShzvsojtzGeF16,286171
0.509,0.905,-4.902,0.0708,0.00152,0.000613,0.654,0.656,165.068,2UMeGWmUri9RVpmckPV9Jt,159308
0.339,0.466,-7.252,0.0442,0.199,0.0,0.0836,0.256,75.539,1EYSzrOCc5qrDAu06iu2Px,187018
0.588,0.454,-6.91,0.0363,0.248,0.0,0.0925,0.253,119.908,2ZKXBim3pDX8WTHmyFFUO6,284800
0.797,0.942,-6.194,0.0656,0.00373,0.563,0.425,0.178,124.014,0UFJLWij7K8AXM5sVDFCLj,126774
0.806,0.542,-7.482,0.064,0.241,0.000494,0.113,0.14,142.881,4CCrZzRdeWYrWJ0DoN4XCa,194306
0.569,0.747,-6.484,0.05,0.00102,0.00174,0.0684,0.452,175.938,76S2bH0qzaMnxgx9GCJlo4,152727
0.57,0.618,-6.692,0.252,0.238,0.0,0.262,0.71,138.485,61Ph6Q4HYgWUVGulPszt9n,209707
0.743,0.711,-5.953,0.0353,0.0198,5.75e-05,0.0893,0.842,97.992,1yGzzCuLd5vH5gSb1Ii6jU,231533
