danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.819,0.384,-9.115,0.0685,0.631,5.22e-05,0.111,0.32,95.017,5F7imvl6nIRWoMCejdR4Sk,181546
0.747,0.665,-7.073,0.0363,0.0289,0.000153,0.102,0.554,104.959,3IQT2MM49GkXfHF9eemaw5,148000
0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1rrqJ9QkOBYJlsZgqqwxgB,185093
0.748,0.692,-10.197,0.04,0.244,0.224,0.196,0.47,112.019,0YWnzJDkaCAuNgE74ktZD1,471479
0.798,0.556,-8.985,0.0471,0.364,8.31e-06,0.163,0.901,113.994,2woGTVY8Vx46aYuXfMmwwE,155861
0.64,0.552,-7.327,0.354,0.0764,0.0,0.107,0.318,135.241,7pXNFEzqeZB8rIbcFtYTop,185365
0.843,0.725,-7.282,0.0539,0.165,0.00357,0.0948,0.556,120.0,5F4OfeowSReF93KcH2eUcG,150000
0.61,0.484,-7.064,0.353,0.805,0.000327,0.0978,0.417,111.937,1echqVmMoUZE22trTEqfL5,136800
0.891,0.679,-7.998,0.0515,0.084,0.0,0.0324,0.472,112.015,4X4NsxuVdB1ygIMbHuctBz,396434
0.845,0.718,-7.934,0.238,0.0821,0.0,0.0937,0.454,149.989,7xLP9GqWARDKSoGPsU3126,179201
0.819,0.817,-8.221,0.0698,0.0593,0.201,0.275,0.77,120.039,5UwxpuGHkwiojKDaPC5ZNu,148000
0.818,0.513,-11.382,0.0574,0.106,0.00105,0.0408,0.583,115.01,7tZMF9Hn5uGsfC7zGXbSKM,186000
0.595,0.672,-6.646,0.139,0.431,0.000196,0.131,0.455,103.069,17uovpjxgRlZOAriKRsgfE,134964
0.583,0.689,-5.19,0.132,0.251,0.0,0.0791,0.932,139.284,574QNMkQGedluLOgr275s9,194864
0.835,0.787,-6.184,0.0407,0.0696,0.000727,0.0371,0.563,114.016,6u333HFOmt5OTEqNg5qkEJ,206316
0.808,0.639,-7.244,0.147,0.621,0.0281,0.231,0.612,105.016,4vHy2IHzf3EabEa7oMpUZB,162286
0.893,0.653,-8.748,0.44,0.17,3.51e-06,0.101,0.571,144.136,5vhSfPxnK4ldS5ZMmrfZnc,175073
0.703,0.571,-8.252,0.276,0.435,0.0,0.0996,0.551,100.21,0hW02S9ACVYANz1ica10jH,147600
0.549,0.646,-5.092,0.0967,0.454,0.0,0.109,0.76,126.774,77eZIuMTB9HrQ86L4ljqEX,190677
0.859,0.551,-7.916,0.149,0.559,0.0,0.194,0.777,102.049,4Gasn91fsCefnN8zM5GjA8,155293
0.665,0.698,-6.852,0.226,0.193,1.02e-06,0.11,0.643,98.603,3DfHEgzFDF893oP7lZTGbb,175255
0.777,0.531,-7.689,0.0644,0.481,8.62e-06,0.0997,0.58,107.004,1s2FsIDYlX6nhQ6UXF4V2w,188411
0.694,0.568,-6.422,0.134,0.676,0.000159,0.338,0.482,123.71,4nwtkUjULEbhp5VJItUWbV,190621
0.649,0.655,-5.534,0.0652,0.307,0.0,0.22,0.793,92.9,2WigMwGJysIh9fRnSJvpjn,147581
0.466,0.232,-16.56,0.2,0.385,0.00141,0.111,0.0381,159.738,7I384J2xogr4UpOYbE93FJ,180278
0.818,0.605,-7.121,0.038,0.293,0.0116,0.0696,0.366,104.931,5CTQCPv51aLWpwTbqo8mEL,178225
0.978,0.558,-7.848,0.0717,0.0103,0.0,0.17,0.492,112.021,1uQqjEsdd6LEKpfZxAeIIl,155005
0.772,0.725,-6.835,0.141,0.133,1.19e-06,0.151,0.604,139.93,2BesSwK9iYOTFMQytlf79Q,209144
0.782,0.691,-8.577,0.103,0.142,0.001,0.297,0.561,114.999,6DxaRdAjfbhMk4Hn3bdFqz,169043
0.796,0.719,-7.018,0.138,0.036,0.0,0.0718,0.242,105.027,1OoPhcM78evXIxjmSzCnmf,187000
0.788,0.913,-4.495,0.0671,0.243,0.0689,0.272,0.672,99.994,4MzOppXoeKvDsVaNMeOK3C,196800
0.838,0.706,-5.533,0.0444,0.346,2.85e-05,0.113,0.633,100.979,3jWAkZ9nUbGzPDapyrAIw2,251147
0.67,0.555,-8.797,0.304,0.413,0.0,0.151,0.72,144.122,16czimzBLTAXTC8l4tdaMQ,200833
0.849,0.528,-11.402,0.0538,0.627,0.115,0.111,0.424,112.986,3AZY6NZ1R8GI9003EEFPeu,288850
0.682,0.633,-6.213,0.239,0.307,0.0328,0.112,0.601,123.259,65v99AWZyNz3aRmfrT2I7N,153946
0.823,0.717,-3.879,0.0704,0.0356,0.0,0.102,0.489,110.998,6McBvfxgkVfREmQPwTKBUn,132913
0.781,0.569,-6.897,0.0918,0.294,0.0241,0.113,0.595,95.049,3kqE7QmylUIJV3QXC6arrR,197000
0.821,0.611,-8.967,0.0535,0.0131,0.00393,0.0395,0.431,113.006,16vqEDaCZpq5zdgop8U9uM,327080
0.861,0.656,-7.386,0.154,0.00792,0.0,0.0707,0.785,111.965,3KO1322zrWwGa8TWQDBFvg,190792
0.555,0.674,-7.81,0.132,0.334,1.28e-06,0.0586,0.854,158.829,1Cg51Jk6EoXBQ0KiwzWJfm,207475
0.829,0.703,-5.683,0.0444,0.217,0.00123,0.118,0.6,115.961,1OGZU2zmK6x0UnM3yeZ4lR,170000
0.589,0.595,-11.415,0.0703,0.000508,0.584,0.0479,0.231,112.006,1b4kqxvf4kFuB7ACj9Lvve,430714
0.88,0.779,-5.032,0.2,0.238,1.54e-06,0.187,0.797,102.025,4xIFdWcoMb9MqLYpvS8uCy,143687
0.644,0.707,-5.368,0.0701,0.556,0.0,0.112,0.216,67.322,3Q78lDuzWs50Gry1eQA7NX,192475
0.882,0.86,-4.854,0.0597,0.456,0.00204,0.0766,0.766,119.018,3aDnVO9Omzz4EytKraWg9o,206281
0.876,0.507,-11.035,0.0482,0.0172,0.00117,0.0746,0.583,112.003,0Ek5bneviajgSzZGonWfds,480000
0.916,0.741,-6.88,0.0836,0.00667,3.06e-06,0.246,0.892,114.018,0z0hrjBtCLS8WnQXWtKOWP,166263
0.75,0.539,-6.704,0.215,0.164,0.0226,0.0633,0.809,196.054,6nLdg1lpE3dHLmNam1aoA6,220526
0.508,0.467,-9.133,0.363,0.623,0.0,0.224,0.766,140.53,0GXGxkfMYquJOWGfG5bC8N,146522
0.913,0.711,-7.756,0.0435,0.0861,0.000164,0.14,0.625,112.036,2oOr7XZmuqYTdmCnC5qQsC,167143
