danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.463,0.214,-8.959,0.0392,0.843,0.0,0.14,0.452,141.865,57i3tg8kJYRL13vZqoq0kC,277675
0.652,0.652,-9.351,0.0531,0.124,0.0,0.0882,0.632,130.045,13oGKDy4OSNNW8PvpDOoxb,299192
0.395,0.761,-7.823,0.0942,0.00579,0.0,0.135,0.579,99.94,2Fc0wy51lDMnxcEcli7UNK,204000
0.795,0.625,-6.966,0.0751,0.151,0.0,0.128,0.715,99.991,0bhWW1Bve1Ng6kEm8WjiQA,194840
0.913,0.445,-5.722,0.25,0.037,0.0,0.0672,0.457,93.011,6oRyIk7U3jWGFH6zRKOT5T,151427
0.791,0.19,-18.993,0.056,0.567,0.0,0.111,0.544,116.1,6szg6z5MWZKiojwcu5hRNX,168000
0.84,0.14,-12.776,0.0404,0.864,0.0,0.147,0.514,111.926,5B3NOiIZkfykH0dk5YekiM,229944
0.737,0.81,-6.225,0.0906,0.0911,0.0,0.0717,0.632,109.001,1kWyLA4DXvtvfK0OynG0hB,151927
0.667,0.964,-4.318,0.054,0.0223,6.69e-05,0.177,0.38,92.015,51E9Lc9uBPFO3Q87bI2KxJ,142205
0.682,0.65,-8.823,0.0347,0.205,0.000501,0.366,0.452,100.007,2Qqaf2keyqm5IHbWVsVFjq,178256
0.782,0.765,-3.504,0.0993,0.115,7.79e-05,0.0964,0.896,99.955,0g0iuKNmWk63IYELr60zZg,155409
0.753,0.536,-7.739,0.193,0.402,1.15e-06,0.0926,0.287,105.093,3rDclQGRZehjHBpmOWgF5H,187060
0.652,0.689,-6.079,0.12,0.159,0.0,0.157,0.53,174.22,5k9BQy4WkF51faNL3UD71I,161617
0.706,0.68,-7.621,0.235,0.025,0.000199,0.0966,0.571,92.022,5uKWEd2V4M8ELUpQR01ttX,165000
0.911,0.466,-7.841,0.037,0.775,0.00453,0.103,0.856,108.014,2BB4nJnuMJnFy3jKGUWPni,183889
0.65,0.525,-6.197,0.123,0.507,0.000985,0.15,0.38,179.945,71g3EFe70MppNw01mlyQa6,165272
0.861,0.786,-4.934,0.164,0.289,0.0,0.601,0.907,92.031,40w8JmvwYUP2HUiXPxjy99,232000
0.568,0.528,-5.935,0.293,0.401,0.0,0.117,0.406,151.927,4tFglUmIjJtN0ViGNNv4mi,240773
0.484,0.796,-2.863,0.421,0.243,0.0,0.065,0.571,179.887,7pwuuN72iIc3F671PuxErU,161639
0.686,0.827,-5.952,0.0317,0.0172,0.00168,0.0842,0.836,106.879,3CDkhVrRUR1REPKi7Kft6B,218172
0.819,0.761,-5.819,0.0444,0.721,0.276,0.315,0.719,117.022,6SryqFcrWrgjgKrUeZQ6NE,151839
0.762,0.622,-5.158,0.218,0.097,4.34e-06,0.0831,0.796,83.822,5ns6ZTpvqVlWXrJvuT23AB,223267
0.692,0.7,-3.473,0.0683,0.406,0.00113,0.111,0.631,159.969,7MIdTXBR5xOjxl8SOV4XAf,223625
0.749,0.532,-8.539,0.104,0.446,0.0,0.142,0.652,155.012,69FdDBCt7D7LFJrupeujMz,179387
0.467,0.564,-6.685,0.0943,0.69,6.97e-06,0.1,0.414,113.469,2b5FtKZKGmcd5WVS2qJIVn,228828
0.717,0.894,-4.265,0.0592,0.0376,0.0128,0.0798,0.904,158.047,5DCMmMGHptS0nOmN97kIAV,193093
0.467,0.568,-12.917,0.0383,0.482,0.793,0.132,0.415,140.04,6aKDevkHNVtAXRUVC5aiu3,244091
0.46,0.371,-11.901,0.141,0.67,1.35e-06,0.0994,0.22,86.818,1fBiySiu1fTmiFyPc4R8DD,162486
0.76,0.259,-12.13,0.0533,0.42,0.0,0.113,0.64,144.009,0qdcKORnomK1GVPwdTFfZp,170000
0.952,0.501,-8.718,0.274,0.206,0.0,0.0568,0.784,130.016,3RCxWl2N0lPx83c7PPRmxW,190154
0.725,0.688,-6.941,0.0786,0.264,0.0,0.26,0.71,102.996,1hnVWXdhW9P17SpfnaN60C,216219
0.476,0.702,-7.034,0.0455,0.447,2.3e-06,0.0878,0.637,170.047,54TITTIjdmIbHH0eZM0uRi,206885
0.499,0.735,-8.368,0.0672,0.0291,0.531,0.334,0.666,84.997,2hLYw0CXY5uTXk5jwFOdYI,182489
0.604,0.607,-5.999,0.245,0.0918,0.0,0.156,0.601,126.222,0gb9JwHmyqfpMDMt1kCcZF,165563
