danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.626,0.569,-7.971,0.0457,0.365,0.0,0.151,0.419,76.992,5bOWPM362XpMa8zn6UR9te,172394
0.692,0.628,-9.325,0.0361,0.017,0.000447,0.357,0.445,139.97,4R1mhxy6AmZOtkAjQWfK1w,192091
0.466,0.584,-7.862,0.0329,0.689,0.0,0.099,0.322,140.014,22SOANeAcevq3OGpQEOtoG,231009
0.533,0.632,-6.502,0.0264,0.481,1.65e-06,0.0973,0.183,80.972,0DHoexkvdWyCrBo2oNrW88,214930
0.686,0.476,-7.372,0.099,0.572,0.0,0.111,0.463,86.984,0QuuKwSGf1MWO1zCpKbUO9,177249
0.502,0.628,-7.253,0.0964,0.274,0.0,0.0914,0.414,98.576,5IkhK3skflNraOBVS5OE8u,211528
0.568,0.516,-9.492,0.0427,0.142,0.0,0.114,0.137,112.005,34Rt1kRR1cznsK9wByOUeB,208940
0.375,0.584,-7.553,0.0344,0.0483,0.0,0.224,0.0961,95.21,6qOFShy9hk5hQjFHU5hszF,229895
0.504,0.629,-7.343,0.0532,0.736,0.0,0.104,0.115,139.791,36ygrsa6gnUlYB2K0MUAXc,229732
0.413,0.549,-7.941,0.0449,0.617,0.0,0.375,0.183,72.28,1xUJqu1kRrIecuapcniJLs,151755
0.645,0.471,-9.558,0.0996,0.259,0.0,0.104,0.399,145.966,1jynb4razl0Xwfm5evpner,163480
0.538,0.562,-8.446,0.0362,0.0626,0.000607,0.103,0.366,77.97,4DLFjWDEcpP8Q8yFm0zKQ1,225379
0.68,0.611,-7.719,0.0686,0.0897,0.0,0.0861,0.141,124.028,1cvxAzymsxVe8sXaibvC0m,213881
0.599,0.678,-10.011,0.279,0.362,1.08e-06,0.433,0.153,134.967,13Q4JuYA6mTQlXX1SsIysi,131569
0.571,0.591,-7.699,0.153,0.273,2.02e-06,0.105,0.305,87.98,5NmpaGSgRxn1t0ssBxVh6F,186473
0.468,0.532,-7.163,0.0395,0.575,0.0,0.126,0.183,74.871,5O90ppRHYngbbGWOCfxhrt,248000
0.571,0.797,-6.763,0.0974,0.108,0.0,0.138,0.461,151.021,1CGuP8VXsV1CTp8lxEphJU,161863
0.717,0.762,-5.97,0.0716,0.145,0.0,0.306,0.307,127.979,5cmWOxnaEFdvUQAVDDHjzy,175420
0.551,0.618,-8.021,0.0888,0.182,0.0,0.103,0.277,82.902,6ACUqtxTcTBkQHeYXr3GLl,200025
0.776,0.66,-7.158,0.108,0.166,0.0,0.37,0.559,132.976,0qkSE63WtOBv47B97CUfNP,219225
0.678,0.661,-8.369,0.316,0.0308,0.0,0.117,0.397,83.003,0sttpFz25jCkQf6OdOfJN2,203878
0.514,0.599,-7.705,0.054,0.739,0.0,0.127,0.345,140.137,4e4j9LvOufZ9IljDugT7AD,178393
0.607,0.757,-7.334,0.129,0.0183,0.0,0.194,0.349,159.959,54OPC2ilfHKfWKAWPPuLfM,156004
0.669,0.648,-8.149,0.0559,0.0526,0.0,0.148,0.165,96.962,5l2qpn5jmIRMlPgx4Rcd2e,198000
0.679,0.651,-9.456,0.0387,0.654,0.0101,0.127,0.546,136.014,2TXT1ZPY0wC8CfiqgaJO8V,189559
0.572,0.482,-9.584,0.206,0.0198,0.0,0.147,0.0981,173.904,6iBxax0i0BCfqWeWi1tzgb,161027
0.617,0.755,-7.676,0.106,0.067,0.0,0.211,0.316,140.037,1XORWfjHdJW2bHlgY6QNdi,183446
0.494,0.464,-8.338,0.0261,0.186,0.0,0.15,0.184,94.022,327eIJLPwhcJqhs0XwdSsu,156070
0.411,0.73,-6.381,0.0634,0.00319,0.0,0.179,0.253,174.107,2HvFbRfiNJXH4L016hDDmx,154605
0.484,0.646,-8.62,0.275,0.23,0.0,0.188,0.403,127.36,5WhT7m5zRYMiQ2vhcJeJrA,152515
0.551,0.676,-6.611,0.0565,0.00316,0.0,0.0974,0.338,147.821,08luuHBVMisjlOxgvyvWIN,152741
0.696,0.71,-7.603,0.121,0.145,0.0,0.175,0.519,130.037,5CeUYMM359BWfzOole0Uul,162000
0.342,0.793,-6.234,0.0875,0.126,0.0,0.244,0.42,150.153,1LkFFOkMXTnD60ya2dfMAk,163300
0.44,0.624,-6.938,0.0386,0.575,0.000273,0.129,0.507,135.845,3p97s7Bxq0SV5p4fip7aKf,204706
0.607,0.782,-7.398,0.0509,0.0733,0.0,0.615,0.478,123.044,1Gz1B4IXbKyx7PazpczN4e,188384
0.501,0.803,-6.356,0.319,0.221,0.0,0.327,0.605,134.973,1Dgg46kLFi3oWofYmKLm38,159306
0.585,0.596,-9.294,0.0423,0.22,2.68e-06,0.116,0.33,97.489,6QugG7ACsARhzXP1GFt65N,184625
0.599,0.629,-7.28,0.0457,0.00957,0.0,0.174,0.189,123.967,5ZXmnKefqZ7pcZEY8w9cvN,173231
0.493,0.655,-8.403,0.191,0.0422,0.0,0.39,0.238,159.997,4rlpGOcR1WdvsEi6DYGOgl,231742
0.493,0.897,-5.894,0.298,0.0312,0.0,0.152,0.585,87.948,0C0tOcLbOfoTsYlsSxKj08,215455
0.544,0.646,-8.036,0.0337,0.149,0.0,0.105,0.558,140.023,2rr8U03pPLHttrPtwoO91j,213835
