danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.917,0.524,-10.813,0.299,0.0276,0.0,0.131,0.857,117.982,3MdbKq8mWOW0TB76PbcjnD,115067
0.7,0.411,-11.127,0.353,0.273,0.0,0.136,0.183,140.076,2ockgk7zENjkCbrNlZ5H4K,99760
0.962,0.54,-9.823,0.264,0.634,0.372,0.105,0.214,116.052,2Bj1aOo1mosWTWHAx0qBgL,177147
0.749,0.491,-8.991,0.449,0.0187,1.32e-06,0.108,0.457,170.081,4WCgX7CXrUp9VjjVQXkxZR,148684
0.623,0.415,-15.974,0.199,0.387,0.0,0.495,0.149,98.061,544LhLqG8SKItgdTcePqu4,176571
0.732,0.463,-12.389,0.367,0.672,9.17e-06,0.107,0.184,136.951,7wZnwgGkwpJ8EYJ6VEJD2A,144867
0.677,0.886,-6.897,0.493,0.417,0.0,0.0978,0.214,71.959,0BR8LPKRNvuubCf0QzLDQw,108293
0.794,0.603,-10.687,0.281,0.146,0.0,0.0976,0.574,130.05,1INzmCkygHDbpX9detM2mh,181779
0.793,0.5,-8.925,0.259,0.272,0.00105,0.108,0.252,150.096,0iBivqtT4vcn6scocYuq3X,132829
0.906,0.495,-9.623,0.1,0.179,0.0,0.0928,0.342,113.997,2as3ywrcdGXSHtsyttwYGP,155693
0.77,0.725,-11.403,0.306,0.0368,7.29e-05,0.108,0.248,77.506,072YxXjlCC07vJJRYsZnv8,154843
0.707,0.502,-11.204,0.321,0.385,0.0,0.13,0.543,78.035,2NH9BRA6ybAXYR9nj39j1q,150432
0.663,0.391,-12.451,0.329,0.39,1.67e-05,0.109,0.201,150.078,0FI8BDPeqA9ykp9VUxnA5E,201629
0.802,0.481,-8.644,0.41,0.212,0.0,0.101,0.365,136.894,3bvAmJOfhcfoAsUYFcqe2c,185440
0.807,0.787,-9.99,0.253,0.634,0.000209,0.076,0.274,160.089,1STTWUeJlfseNqP5etOv5X,108008
0.851,0.417,-11.746,0.339,0.142,0.0,0.0962,0.643,114.977,1sYqRfiMSeYlIK8UnRnoT4,259060
0.771,0.522,-10.733,0.379,0.276,0.0,0.145,0.639,50.805,7tC7te6Lc8ZD0iS4ufVG1b,126546
0.689,0.577,-7.586,0.103,0.386,0.0,0.0924,0.664,150.167,2EriWBuBVODGuSF5PMO29I,140707
0.687,0.517,-13.005,0.21,0.11,0.000616,0.192,0.412,126.919,0cyujFmSGgYOzitZka9SIX,164414
0.825,0.634,-8.401,0.323,0.391,0.0,0.0842,0.444,129.98,6RMU4GKDlNRKSOErIEJMgo,212000
0.743,0.499,-9.563,0.455,0.508,0.0,0.155,0.382,139.975,36vysI0V8fcjJTZ0mU95lH,123607
0.796,0.709,-8.129,0.0657,0.0718,1.33e-05,0.0777,0.406,102.005,46Prt8cubCmoavHaFXBBix,188467
0.851,0.511,-8.129,0.353,0.124,0.0,0.0969,0.449,134.987,3YTiyaUlDHWFXDQPolcSUa,176005
0.79,0.369,-10.1,0.279,0.0532,0.00124,0.0976,0.648,153.982,32lffyUnAXcnF7Ku9DmY8J,95093
0.904,0.35,-10.675,0.176,0.125,0.00028,0.0905,0.565,140.991,3s3yBLHecYiRjcoYWSsQpF,197616
0.703,0.548,-10.643,0.65,0.119,0.0,0.0911,0.444,170.056,0sC2VnAdZsCWd4qVTw7CvB,136618
