danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.781,0.728,-4.981,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,0NTMtAO2BV4tnGvw9EgBVq,219306
0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,5IgjP7X4th6nMNDh4akUHb,184613
0.582,0.525,-7.163,0.0627,0.111,0.0,0.134,0.51,133.249,2Ch7LmS7r2Gy2kc64wv3Bz,260253
0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4k6Uh1HXdhtusDW5y8Gbvy,232067
0.563,0.75,-4.496,0.127,0.113,0.0,0.0788,0.812,173.906,60jzFy6Nn4M0iD1d94oteF,222920
0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,0.549,159.94,3xKsf9qdS1CyvXSMEid6g8,184516
0.745,0.353,-10.614,0.0983,0.174,0.00662,0.118,0.598,160.111,0WtDGnWL2KrMCk0mI1Gpwz,326933
0.418,0.31,-9.869,0.0625,0.095,0.0,0.216,0.131,139.614,22I3h5AOENlH4CqXJsEbFR,260170
0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,0.189,96.991,3pXF1nA74528Edde4of9CC,198293
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,195373
0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,5oO3drDxtziYU2H1X23ZIp,224000
0.586,0.616,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088,02VBYrHfVwfEWXk5DXyf0T,242096
0.595,0.678,-5.18,0.0335,0.0199,0.00389,0.418,0.259,117.067,5fEB6ZmVkg63GZg9qO86jh,99213
0.617,0.378,-8.54,0.0315,0.428,9.16e-05,0.11,0.22,141.967,3XgGQ1wjo5khvq2UImjyNF,216063
0.542,0.487,-9.53,0.0286,0.0544,0.000885,0.0872,0.119,111.307,3JEJwjqLkg2Jbau5922CAb,216631
0.671,0.314,-8.091,0.244,0.11,0.0,0.0825,0.296,110.898,4pAl7FkDMNBsjykPXo91B3,191600
0.913,0.603,-4.892,0.226,0.0272,0.000503,0.167,0.497,123.061,3GZD6HmiNUhxXYf8Gch723,234093
0.749,0.463,-8.433,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf,226987
0.372,0.239,-11.314,0.0296,0.856,0.000175,0.168,0.127,113.451,1eUGmzzvahJjOSWgDHuRlv,102813
0.603,0.784,-4.023,0.062,0.446,8.32e-06,0.119,0.769,172.041,3EaJDYHA0KnX88JvDhL9oa,173104
0.653,0.524,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B,160191
0.649,0.655,-5.534,0.0652,0.307,0.0,0.22,0.793,92.9,2WigMwGJysIh9fRnSJvpjn,147581
0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,3YJJjQPAbDT7mGpX3WtQ9A,279204
0.658,0.294,-8.533,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,7zFXmv6vqI4qOt4yGf3jYZ,278180
0.696,0.454,-6.756,0.153,0.123,0.0,0.155,0.136,92.928,6XHVuErjQ4XNm6nDPVCxVX,260640
0.656,0.432,-9.481,0.217,0.443,0.0,0.132,0.0897,97.022,14SaZBTjxlorHJQxXh01Hu,222374
0.764,0.394,-8.559,0.152,0.231,9.37e-05,0.117,0.465,92.009,0oufSLnKQDoBFX5mgkDCgR,158421
0.525,0.433,-10.598,0.185,0.107,0.0,0.135,0.276,160.108,43PuMrRfbyyuz4QpZ3oAwN,194613
0.641,0.355,-10.599,0.0906,0.831,0.000855,0.11,0.453,120.032,6qL5UWxRSQYml9O99ozoLv,148640
0.721,0.339,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83,7DfFc7a6Rwfi3YQMRbDMau,200747
0.533,0.417,-8.665,0.148,0.514,0.0,0.114,0.376,106.534,2aJnyNu4PQxQ2lyj5boiMG,173907
0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp,198371
0.45,0.352,-11.733,0.267,0.649,3.8e-06,0.249,0.408,102.679,6oEVnWKgPqIEPc53OYDNqG,252747
0.826,0.299,-7.721,0.0446,0.31,0.0952,0.0758,0.215,97.012,0f8eRy9A0n6zXpKSHSCAEp,178328
0.736,0.449,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,152lZdxL1OR0ZMW6KquMif,219080
0.557,0.16,-16.302,0.0315,0.922,0.000756,0.0996,0.133,136.01,4PEGwWH4tL6H7dGl4uVSPg,218000
0.755,0.578,-8.932,0.145,0.316,0.0,0.25,0.581,94.148,1IIKrJVP1C9N7iPtG6eOsK,176960
0.726,0.408,-6.606,0.0614,0.603,0.0,0.225,0.459,115.918,2xyx0o4xNOLLjBSbOOdcbA,143227
0.61,0.725,-5.131,0.15,0.367,0.0,0.154,0.291,146.163,6ZRuF2n1CQxyxxAAWsKJOy,201788
0.795,0.594,-6.2,0.0748,0.112,0.0,0.162,0.409,135.002,0q75NwOoFiARAVp4EXU4Bs,275080
0.52,0.546,-4.991,0.213,0.579,0.0,0.112,0.634,137.419,3ncmoWTwJgx63LwMTyBCXf,204317
0.741,0.61,-7.34,0.0511,0.316,0.0,0.534,0.72,125.99,2pg2TiYo9Rb8KeB5JjP7jS,276960
0.418,0.724,-3.724,0.0964,0.213,0.0,0.112,0.604,78.521,0PJIbOdMs3bd5AT8liULMQ,238320
0.651,0.703,-8.958,0.0816,0.0297,0.0,0.0608,0.647,140.051,6jGAh1bFnXt1Muj9zeHveZ,249444
0.621,0.411,-8.261,0.0333,0.0553,0.0,0.0816,0.357,110.113,4MbzauKV2ydtZZjLsPcuTF,202520
0.593,0.294,-10.072,0.0499,0.345,2.03e-05,0.287,0.152,113.847,2Fyjjpg03fn7n5cj0Qm380,188907
0.602,0.5,-9.377,0.298,0.477,5.69e-05,0.295,0.395,132.798,5PvVkf1Yuq3XyMqqjPiKPd,223630
0.776,0.603,-5.696,0.0343,0.0728,6.25e-05,0.111,0.921,96.888,5VA4Ispp52EA1sOqzMz3Av,295920
0.4,0.366,-9.405,0.0597,0.242,0.0,0.126,0.161,73.313,6gU9OKjOE7ghfEd55oRO57,272187
0.704,0.487,-6.407,0.0604,0.669,8.64e-05,0.111,0.313,121.726,51rPRW8NjxZoWPPjnRGzHw,301893
0.61,0.458,-11.336,0.36,0.696,0.000103,0.0852,0.246,192.099,4at3d5QWnlibMVN75ECDrp,240342
0.799,0.301,-11.361,0.185,0.195,0.0,0.0816,0.511,100.026,4CMrdHWqic0usIZfTrKoI3,186587
0.562,0.463,-7.478,0.0787,0.442,0.000145,0.157,0.416,125.15,2mzM4Y0Rnx2BDZqRnhQ5Q6,247579
0.849,0.707,-6.002,0.113,0.0266,8.58e-06,0.618,0.602,104.027,5FG7Tl93LdH117jEKYl3Cm,248040
0.477,0.61,-5.628,0.144,0.225,0.0,0.107,0.358,79.882,6CTWathupIiDs7U4InHnDA,213993
0.77,0.347,-10.265,0.0623,0.0511,2.57e-06,0.087,0.0583,84.957,6cEguiQecbXrFlsnMi2ysr,235477
0.65,0.555,-5.971,0.0719,0.502,0.0,0.104,0.352,103.081,23CKxEwKWsLs6LD5poGOLM,207413
0.626,0.357,-7.166,0.0631,0.354,0.0,0.0552,0.401,179.869,0SgbP5ZZOsUiHlE8EfeHma,238867
0.609,0.581,-10.854,0.277,0.509,0.0,0.283,0.528,102.964,2QdSb68BzZGMgCbsrFmSLc,196204
