danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.874,0.63,-3.585,0.298,0.0578,0.00479,0.0582,0.717,95.0,4AE7Lj39VnSZNOmGH2iZaq,281600
0.535,0.505,-8.926,0.245,0.0393,0.0,0.0923,0.495,99.935,0uEp9E98JB5awlA084uaIg,320267
0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,94.948,0I3q5fE6wg7LIfHGngUTnV,270507
0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,1KGi9sZVMeszgZOWivFpxs,214400
0.79,0.656,-11.131,0.301,0.00914,0.0,0.13,0.498,95.585,1ThcZNydst6znxeeREAHro,206240
0.607,0.422,-13.364,0.499,0.209,0.0,0.0839,0.563,130.47,3vZO25GdYuqFrR1kzZADnp,226987
0.648,0.759,-4.315,0.306,0.0142,0.0,0.648,0.518,85.996,0YImOCkIJ2PWhCXaURCZnY,324307
0.765,0.671,-5.249,0.278,0.344,0.0,0.0506,0.798,84.5,63BcfK6YAzJYeISaTPr6IO,249867
0.66,0.526,-6.435,0.319,0.0254,4.63e-06,0.344,0.492,86.804,1HLd5AyNXsnBNpXCsZfH66,258693
0.677,0.531,-7.683,0.0327,0.219,0.0,0.173,0.57,91.104,0ceeRNqbOzRiGE42KWSrRa,294093
0.656,0.578,-8.97,0.0922,0.235,0.0,0.118,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,256733
0.776,0.603,-5.696,0.0343,0.0728,6.25e-05,0.111,0.921,96.888,5VA4Ispp52EA1sOqzMz3Av,295920
0.833,0.44,-8.173,0.0497,0.123,4.38e-05,0.131,0.424,97.01,28KdK3DzO2WOUwPLkR0qsR,256013
0.713,0.471,-7.392,0.483,0.421,0.0,0.0308,0.779,199.764,6Wt5QBzHp9vdSLAFlvdnDQ,285587
0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,0.189,96.991,3pXF1nA74528Edde4of9CC,198293
0.646,0.6,-6.569,0.458,0.231,0.0,0.0794,0.811,192.082,6lrRIfQDcikJ5y5DtyZPuJ,223973
0.764,0.525,-5.969,0.048,0.0296,0.0,0.0993,0.787,95.813,6zOg9gP62RJSsKFeOBAgvH,289413
0.637,0.725,-5.073,0.0333,0.0702,0.00438,0.203,0.415,92.99,0qvlhVNm7L5IWabWF5hlEL,274733
0.725,0.68,-6.037,0.224,0.149,0.0,0.127,0.695,90.964,7fXhkARAtS66kxexMIAx8O,268707
0.701,0.692,-4.67,0.115,0.699,0.0,0.177,0.688,90.193,6dZ6qWl1e9GsMndBG7vqB9,194160
0.831,0.79,-4.714,0.165,0.0024,0.0,0.0515,0.791,93.14,0OvwzS8FX73Bw7ykMRmffU,262827
0.792,0.79,-9.033,0.407,0.249,0.0,0.0705,0.411,97.517,47w8ZDr5nBClBgMS92FBDQ,244333
0.906,0.623,-6.711,0.303,0.00864,4.19e-06,0.0753,0.715,99.498,1NHwvBmrUje4L1dxfWnXCH,194293
0.879,0.681,-8.951,0.24,0.017,0.0,0.0669,0.817,99.974,5d8woPn6sHRA6yPnnHnqSt,221160
0.838,0.72,-6.593,0.384,0.0312,1.11e-05,0.422,0.845,93.76,6hxn98poTu1O4YZfafvC18,242947
0.781,0.746,-2.686,0.17,0.364,0.0,0.098,0.786,89.43,5ahFyKndeg1hqfmNumL3WF,229800
0.748,0.693,-7.832,0.278,0.282,0.0,0.123,0.768,88.802,2LP2uDQQ7eLMcUVE4aOpAV,275947
0.739,0.947,-1.916,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,7f1Dmr246cJ9uQYdbplTbh,261933
0.264,0.663,-8.264,0.187,0.59,0.00443,0.342,0.249,167.078,6LGwYMXXgURfaequXipzHx,366733
0.618,0.552,-6.863,0.0981,0.176,0.0,0.252,0.586,81.975,6BIcjFZIVDZxNAcofRFPx4,242773
0.75,0.592,-2.266,0.0443,0.0217,1.45e-05,0.178,0.688,164.036,1TMoF9LBoN1FJ5VJUnDAcv,215440
0.699,0.668,-5.305,0.106,0.265,0.0,0.141,0.472,83.074,3kgutGd839IOYRl6ekeq6V,254467
0.509,0.952,-4.444,0.336,0.144,0.0,0.135,0.7,83.068,0vzb8Ii9B2fP9c0POFGPOZ,275373
0.545,0.64,-3.529,0.308,0.368,0.0,0.111,0.574,181.733,1wI3UvluGGKUeFeVFsP9do,254493
