danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,49FYlytm3dAAraYgpoJZux,275987
0.626,0.357,-7.166,0.0631,0.354,0.0,0.0552,0.401,179.869,0SgbP5ZZOsUiHlE8EfeHma,238867
0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,118.402,3XVBdLihbNbxUwZosxcGuJ,228707
0.688,0.519,-4.285,0.0283,0.064,0.0,0.1,0.318,116.714,0W4NhJhcqKCqEP2GIpDCDq,255333
0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,3aw9iWUQ3VrPQltgwvN9Xu,265867
0.693,0.549,-8.141,0.119,0.0109,0.0,0.0677,0.605,80.028,1tkMs9wDPknQ3ZHcKDw1ES,227960
0.589,0.655,-8.138,0.0488,0.057,0.000353,0.372,0.675,105.272,4v5kAh2wWyCSuKuhMJK8u6,220640
0.624,0.654,-6.582,0.183,0.577,0.0,0.104,0.564,73.898,7Lf7oSEVdzZqTA0kEDSlS5,288333
0.656,0.578,-8.97,0.0922,0.235,0.0,0.118,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,256733
0.837,0.462,-7.89,0.0601,0.0339,0.0,0.09,0.762,139.986,3LmvfNUQtglbTrydsdIqFU,201400
0.665,0.695,-5.763,0.0532,0.347,0.0,0.106,0.707,90.119,6zMUIb4uce1CzpbjR3vMdN,227387
0.536,0.612,-5.847,0.272,0.119,0.0,0.209,0.57,86.768,7DFnq8FYhHMCylykf6ZCxA,229040
0.412,0.876,-6.008,0.47,0.102,0.0,0.297,0.703,130.159,5Y77SQxEr1eiofPeUTPHxM,273133
0.657,0.629,-4.938,0.0782,0.194,0.0,0.254,0.726,93.985,2QsZVnbWVSjKMXK6K3uRBL,266893
0.569,0.596,-6.486,0.172,0.452,7.92e-05,0.205,0.754,93.135,4iuNZTcvT9diFySSzVsnVS,217347
0.653,0.429,-10.473,0.0297,0.0849,0.00371,0.0693,0.627,146.073,7H3ojI1BsVy0dEJENqMt1k,274933
0.833,0.515,-5.0,0.0462,0.347,0.00156,0.116,0.4,97.007,2yr2HnFYl7XvqJk4fXoQBt,257333
0.652,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,95.986,0KQx6HOpJueiSkztcS0r7D,210200
0.684,0.455,-8.216,0.0307,0.215,1.08e-06,0.263,0.487,97.956,174rZBKJAqD10VBnOjlQQ3,216893
0.706,0.685,-3.669,0.0837,0.56,0.0,0.22,0.444,117.448,1AZXNAVDD9ZFIEKySgflFz,288533
0.71,0.797,-3.006,0.0582,0.408,0.0,0.16,0.849,94.998,6pWzCKTrKrwbUPzY8RLCoP,209120
0.637,0.725,-5.073,0.0333,0.0702,0.00438,0.203,0.415,92.99,0qvlhVNm7L5IWabWF5hlEL,274733
0.739,0.947,-1.916,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,7f1Dmr246cJ9uQYdbplTbh,261933
0.796,0.477,-7.161,0.108,0.314,0.0,0.12,0.685,119.928,7z3N2W7Xz1t2G2sAO8wFVH,231933
0.726,0.7,-5.881,0.0998,0.0717,0.0,0.262,0.673,146.559,6Y3WvyUG9iE5bQYg38SPtQ,246333
0.753,0.472,-9.761,0.121,0.48,0.0133,0.284,0.816,135.277,7pv80uUHfocFqfTytu1MVi,238733
0.894,0.404,-5.913,0.13,0.453,1.57e-06,0.0801,0.759,102.009,0iFOG4Ki9aDmJUYUFHQlPG,236507
0.562,0.594,-4.578,0.0558,0.318,0.0,0.311,0.423,62.876,0Uyh92tLyb9JawG8lmWCzJ,265533
0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,136.086,1m2xMsxbtxv21Brome189p,296693
0.816,0.5,-4.551,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,7J41dYQolQJEtj3UmKLu5r,247840
0.387,0.64,-5.817,0.081,0.107,0.0,0.319,0.617,59.989,1vwUsp52io0AGQ5yv470IC,245933
0.673,0.614,-5.426,0.103,0.0782,0.0,0.139,0.362,176.052,08uGhvS5MfBk7crUCpnjva,289747
0.699,0.699,-5.564,0.0737,0.358,0.0,0.0912,0.611,94.977,5k3VjTwIsOjQ2woGz3Yx71,206413
0.806,0.721,-5.167,0.215,0.197,0.0,0.209,0.781,94.967,2RqZFOLOnzVmHUX7ZMcaES,238333
0.826,0.67,-5.559,0.169,0.00798,0.0,0.495,0.794,74.007,6MBEjJlXQYXr8dfxDvZuoA,226293
0.568,0.732,-4.896,0.103,0.179,4.92e-06,0.401,0.626,186.048,4Ilen0VxPEsVRLpnePji8P,258667
0.596,0.505,-7.892,0.0619,0.732,1.97e-05,0.106,0.335,86.097,4JOP8ELK6AaeySe7sKe996,249240
0.684,0.606,-7.268,0.0504,0.17,0.0,0.058,0.723,127.901,6TlRNJaezOdzdECnQeRuMM,275107
0.845,0.467,-7.674,0.138,0.0586,0.0,0.0694,0.702,138.007,7wBThXx7BGZHJJ3aN3OPvv,211200
0.723,0.322,-9.702,0.0341,0.014,0.0,0.119,0.0406,90.063,3wkNK8tJZ2stygNJm8RCRD,267867
0.856,0.755,-5.691,0.0331,0.355,0.000621,0.145,0.842,123.883,3tZm76otWH20xzJC7icHCk,270893
0.7,0.538,-5.952,0.045,0.000204,0.0,0.105,0.189,136.518,3B7i9OKRRmIsSBHEbJz58Y,237733
0.677,0.52,-6.255,0.334,0.00277,0.0,0.0532,0.768,203.862,2SLZ2rX5773RS16mcqBxG7,193093
0.618,0.552,-6.863,0.0981,0.176,0.0,0.252,0.586,81.975,6BIcjFZIVDZxNAcofRFPx4,242773
0.822,0.905,-4.032,0.241,0.123,0.0,0.0496,0.674,128.014,2a03afRiyAbNAleOByVju4,209533
0.264,0.663,-8.264,0.187,0.59,0.00443,0.342,0.249,167.078,6LGwYMXXgURfaequXipzHx,366733
0.664,0.351,-12.136,0.118,0.226,2.38e-06,0.106,0.816,113.204,4V2F0DZrAXOWq9hkwMMG3x,254147
0.75,0.458,-9.092,0.0803,0.226,3.25e-05,0.137,0.536,83.61,6XsT5UGfpaFeHQf5LRIy4W,301133
0.673,0.592,-5.196,0.0537,0.127,0.0,0.336,0.705,142.222,18JosZY3HzD3lMy6iOOSAY,191573
0.672,0.62,-4.865,0.0422,0.123,0.0,0.362,0.627,78.005,3RBGG1be9aBaSvjnw6ABkh,221920
0.697,0.629,-5.757,0.0425,0.409,3.8e-06,0.0819,0.439,123.279,1pLdjo3lOBbMaoR4ZpybFH,267413
0.683,0.664,-4.233,0.0332,0.538,0.0,0.0671,0.866,106.991,56z2qI0gKcPthQF6l8AW3E,266307
0.733,0.521,-3.657,0.0457,0.107,0.0,0.0692,0.525,112.913,3OUApyz3jDB3syGUNGqB1d,294693
0.56,0.372,-6.58,0.0446,0.271,0.0,0.195,0.473,119.384,2wZTnl0pPFr3HBcyXfOaVJ,322093
0.785,0.479,-4.956,0.044,0.083,0.0,0.0937,0.364,75.889,5RC9YDHON0nXKmcQrL6WV6,262773
0.878,0.417,-6.799,0.361,0.0444,0.0,0.0833,0.904,77.49,4FTOpNYcGxnQdGNWSxIcio,325573
0.787,0.425,-5.692,0.0641,0.00637,0.00169,0.196,0.711,99.225,1TwVcKR6JojvPwBGbWZT36,221280
0.724,0.87,-3.614,0.113,0.00453,0.0,0.833,0.81,93.01,2fQ6sBFWaLv2Gxos4igHLy,207547
0.727,0.515,-6.553,0.0289,0.241,3.74e-06,0.124,0.695,89.488,6CbcdeTQKj0qTaZTt0xkdk,262227
0.735,0.679,-5.588,0.0431,0.18,0.000198,0.0766,0.264,140.858,4Cv5dkUBqepa0siwGREihD,231173
0.688,0.404,-9.481,0.0818,0.377,0.0,0.0813,0.448,75.007,7lurcq2Yw96B1K0KOJAHxg,277840
0.8,0.496,-7.135,0.0506,0.000298,0.0,0.0697,0.357,128.29,7i7UIbm5E0DD7aSOYvwp2v,256347
0.66,0.536,-8.786,0.29,0.233,0.00669,0.111,0.775,159.963,5Y0E3dOeynKuLDAXu0t0Bg,237800
0.701,0.677,-6.591,0.147,0.0737,0.000162,0.187,0.367,99.271,36jSIOSE72neBbKntCthqw,226440
0.655,0.649,-5.653,0.089,0.0793,0.000393,0.117,0.759,86.968,4x2YdtTppdbL4kHPOjaunq,229867
0.754,0.376,-7.561,0.204,0.404,0.0,0.358,0.554,95.018,5jgEJXjECdlhzNgfITSTVm,251427
0.567,0.747,-6.019,0.105,0.31,0.0,0.04,0.556,89.036,3s2MyU2YCwNNwcSokt0jXD,224147
0.777,0.493,-6.516,0.126,0.181,0.0,0.108,0.82,134.086,4VKnkoNNM6yTb4cXXX3wqD,232840
0.563,0.402,-10.496,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,22NLm3IIR9NLG0cUYtmHMW,310520
0.747,0.398,-12.932,0.0743,0.211,1.42e-06,0.113,0.428,117.901,2fE4MbwX3QGMzNaMjGVhtw,268373
0.412,0.77,-6.057,0.18,0.462,1.5e-06,0.0485,0.418,101.955,3oXNIpoUMdk8qGkwCeXqGv,254493
0.697,0.925,-4.209,0.216,0.0614,0.0,0.095,0.678,96.951,0xikWgPgYN9BEes0ieZ8Co,295827
0.708,0.655,-2.69,0.0883,0.0583,2.1e-06,0.11,0.545,89.99,0rT9f5BSZrZ6DvzfBEckG0,279160
0.707,0.724,-3.887,0.051,0.0448,0.0,0.072,0.659,108.984,02QQXgeAghpU4smdM7l7We,250107
