danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.58,0.755,-6.829,0.134,0.349,0.0,0.124,0.692,87.239,3cBpa9HYqtxLaGyLDQzbr6,190379
0.666,0.677,-5.829,0.194,0.113,0.055,0.122,0.766,181.916,1X0N8oqu5d6K7gTxdPwIBO,201382
0.73,0.723,-4.802,0.0752,0.288,0.0,0.111,0.453,149.945,0DMQwNGCiSzLB2HsfHNAtb,208813
0.833,0.49,-8.892,0.0877,0.408,0.0,0.0887,0.665,130.007,1oXn8nhl44cH6HXqGQnOgY,214613
0.694,0.571,-6.477,0.0582,0.368,0.0,0.151,0.408,152.058,0wzYG3c6CaroEAz4wTPNVD,182427
0.505,0.55,-7.066,0.223,0.736,0.0022,0.194,0.69,118.409,7LIdkzgw9GofNXPnc6IbV1,236662
0.699,0.304,-12.694,0.0506,0.834,0.0,0.148,0.3,122.939,6nSP9koY7i80mhkyCtjzJj,195250
0.715,0.836,-5.034,0.161,0.221,8.35e-05,0.0975,0.425,82.01,1NFS8awse8TQhKZO0ilJXp,185729
0.6,0.393,-8.139,0.263,0.551,0.000718,0.109,0.479,128.015,3lFku3uFAQlxhI6HQs2orW,168760
0.703,0.423,-11.003,0.349,0.475,0.0,0.0845,0.477,113.38,7JfGZhzQUeZMHMVVHkhNbc,139096
0.513,0.489,-7.829,0.152,0.279,0.0108,0.0871,0.453,96.8,3vxS3k5siCY0mFfGGTx4pk,223073
0.64,0.419,-7.235,0.252,0.325,0.0,0.0787,0.508,175.886,1U13A13YafzmqthKXiul91,137230
0.709,0.555,-8.495,0.0747,0.411,0.0,0.139,0.603,123.912,4HeyVHtQvE1ZXme8oQLUPD,103468
0.736,0.457,-6.755,0.0423,0.61,0.0,0.146,0.722,124.922,2yK1M21AlQ3RLalAmM59Oi,189660
0.632,0.687,-5.15,0.426,0.574,0.0,0.0746,0.748,179.836,6iT9J2d5vY4buhYcNgFUeT,178733
0.71,0.587,-6.138,0.345,0.337,0.0,0.105,0.767,108.033,11R3OU6DbqqqKPyXuPD9qM,173333
0.748,0.641,-6.258,0.0689,0.252,0.0,0.153,0.462,100.037,1TE1TZ7qOLVAcbKh15sxOi,179093
0.369,0.669,-5.443,0.333,0.246,0.0,0.149,0.294,178.653,3qUp2s94OKNATynGWVRxAP,169289
0.766,0.715,-4.581,0.039,0.297,0.000306,0.127,0.376,109.932,5nspOXY1J4WLcqUJ1q9fwO,159840
0.53,0.446,-12.722,0.226,0.929,0.000218,0.23,0.643,85.966,55kqm5pv3oQcZpClUEHo1C,146066
0.726,0.471,-7.211,0.0497,0.201,0.0,0.104,0.217,125.038,32ZKmrDdhJKMV8Hb9ij303,155000
0.608,0.578,-9.194,0.47,0.469,0.0,0.0896,0.665,131.205,0H5UXo3J6LWUtsNwIgdQr8,167293
0.544,0.625,-4.833,0.19,0.559,0.0544,0.117,0.388,131.981,3uuSSAMq7Otspek5jPLVU3,170013
0.643,0.553,-8.831,0.0494,0.546,0.0,0.193,0.679,85.941,7lKWxwj3OoCcRrt6jc4ISE,150347
0.574,0.315,-9.47,0.0692,0.577,0.000129,0.136,0.125,125.755,2la1EtoLdOUr8S5S3lEMv5,154286
0.545,0.555,-6.811,0.224,0.571,0.0,0.121,0.36,88.774,37ESM3vFbqd9AufCc2Lo8E,183683
0.587,0.401,-8.551,0.0297,0.727,1.93e-06,0.172,0.503,98.053,0yajebaRJVcOQGdh4giqZy,179652
0.814,0.747,-7.2,0.136,0.4,3.88e-05,0.105,0.105,111.971,29XzUe8f0kgyi2a1a6RIZb,177870
0.537,0.567,-4.262,0.0859,0.511,3.17e-06,0.0875,0.561,169.975,38sPQGVoRnzlF4VBr71fln,200471
0.592,0.712,-4.898,0.111,0.391,0.0,0.135,0.645,99.094,35N2xWSkn7wio2V7ti8Xse,180694
0.552,0.359,-9.754,0.0356,0.632,1.37e-06,0.0967,0.192,121.465,74tVwfr4Hb5Ca6pQQHjg5q,177861
0.505,0.491,-7.943,0.0693,0.0851,0.0,0.0988,0.727,159.173,7eB8T5wFiukyKGw3gtWyJJ,221050
0.501,0.348,-11.981,0.0709,0.859,0.0,0.0744,0.364,118.295,23rJ3HBSrfti4np2beqIQj,180805
0.666,0.527,-6.916,0.144,0.31,0.0,0.0956,0.651,91.413,2kwPIIXZX9ZcnbeXtTTFsZ,185576
0.558,0.296,-8.916,0.0416,0.725,0.0,0.119,0.668,107.168,025Li5fBx9Pjyc07Q2w6D4,202991
0.342,0.28,-9.846,0.0468,0.906,0.0,0.103,0.447,86.605,2Rckl4cG3BpVNor01Dp1OQ,179107
0.688,0.162,-18.14,0.254,0.514,0.0,0.0989,0.654,63.483,2oDiYffqlWKYwLtKdDmKqD,186667
0.498,0.599,-7.028,0.163,0.735,0.0,0.118,0.563,99.905,37HNgVH6BvqjlfC7HLiqjD,199111
0.553,0.442,-10.937,0.0753,0.507,0.0,0.0979,0.315,68.475,0gMwNsAiKcJ2r73M4l8E2T,160694
0.549,0.642,-4.986,0.2,0.164,9.19e-05,0.0924,0.528,179.906,1Xbhl1jCBvOP8APtVW3Qlp,137808
