danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.66,0.688,-6.34,0.0564,0.434,0.0,0.489,0.65,118.05,7eQpbVg3tjHmtdOlAHxaTr,249407
0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,4iZ4pt7kvcaH6Yo8UoZ4s2,201800
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,195373
0.731,0.423,-10.147,0.0784,0.473,0.000413,0.129,0.78,76.964,0wOtc2nY3NOohp4xSwOyTN,90111
0.62,0.396,-15.498,0.206,0.735,0.000985,0.0976,0.774,87.865,3MlQPB0wJuopo3NTZGlMpI,201027
0.695,0.526,-7.486,0.043,0.0635,0.0,0.215,0.534,121.939,0XdwIG7p28SeTam3DVdMX6,283314
0.483,0.492,-6.734,0.157,0.221,0.0,0.0907,0.328,168.79,2zuDMKJ2rSgCMtJknUJBZ9,206429
0.738,0.613,-6.81,0.0649,0.309,0.0,0.139,0.637,90.012,1muiS9jrDUTADqIE7yKuYV,167592
0.702,0.472,-7.282,0.0967,0.389,0.0,0.112,0.39,122.083,47ssddfj7Ug6hO9Ol2AXGu,281013
0.611,0.626,-5.087,0.0778,0.337,0.0,0.115,0.48,100.129,06dQ2rcBkq7z3AEZ4jhvc2,156073
0.65,0.662,-7.555,0.0618,0.0287,0.0,0.34,0.628,77.011,6Vt2v8xwxcGqAOcTKlBeWo,163701
0.618,0.712,-8.246,0.114,0.14,4.53e-06,0.575,0.305,97.057,6ufcuVInt0ocHrUimDjGlb,254319
0.467,0.624,-8.511,0.0508,0.143,0.000899,0.145,0.31,141.889,6BQrmjAgPfPTwILoFEK3Hd,225947
0.601,0.481,-8.366,0.0634,0.689,0.0033,0.109,0.484,152.994,4AwJSk491AvHk2AAJReGzZ,216524
0.584,0.453,-6.682,0.0661,0.753,0.0,0.111,0.328,124.913,58cMDjQSUdWJUgFmHxRhjt,241624
0.507,0.538,-7.454,0.0643,0.4,1.9e-05,0.161,0.239,111.458,2Eg5fW5yInLRGszS4s9eN6,293571
0.707,0.261,-10.139,0.0784,0.853,0.0,0.127,0.545,65.038,1eIXYZWEfJO3Na2LCCnIJE,183893
0.521,0.565,-9.596,0.0681,0.136,1.65e-06,0.134,0.261,114.562,2rZQC2Hwy4sClylYHg2MXI,202756
0.703,0.537,-8.69,0.0311,0.0114,0.0013,0.274,0.148,101.959,5VRVc5Cq5MbKJG5llJ8XvH,192787
0.545,0.768,-5.249,0.269,0.46,0.0,0.118,0.557,115.052,1pJsmr01tzKnFfjeCvzcdc,219130
0.8,0.614,-6.255,0.0668,0.174,0.000176,0.0849,0.548,135.018,2dOUErBzFZJ8l7MbV6FcYW,230841
0.783,0.504,-5.349,0.124,0.202,0.0,0.854,0.334,126.009,2JIY6nN5kkkfNz0TckPqYu,242150
0.914,0.643,-3.862,0.134,0.0498,0.0,0.0618,0.764,105.033,1DA2ADZs6O28y2rmdmpekw,187907
0.884,0.658,-5.94,0.134,0.19,0.00164,0.103,0.502,112.978,1xTYy3K3hiTcoZfoD7culn,196495
0.805,0.616,-4.866,0.313,0.0495,0.0,0.0632,0.764,84.978,3ED40EjXiD4plW6UMteKGx,195579
0.731,0.493,-4.96,0.0581,0.116,8.32e-06,0.0619,0.852,127.03,1CcorUngVSo7k2GX8GLB53,201622
0.617,0.378,-8.54,0.0315,0.428,9.16e-05,0.11,0.22,141.967,3XgGQ1wjo5khvq2UImjyNF,216063
0.848,0.512,-7.72,0.102,0.228,0.00232,0.0879,0.572,120.009,2wSTnntOPRi7aQneobFtU4,181840
0.714,0.407,-6.806,0.0422,0.522,0.00618,0.128,0.358,76.978,6q4yusLwjDYEcF6jXHdt7J,227664
0.363,0.498,-11.249,0.155,0.367,0.00213,0.638,0.251,75.885,5ipyh2SML7XT0dfj38ln2w,265723
0.658,0.644,-9.268,0.398,0.455,9.71e-06,0.0955,0.37,89.779,2z7L8jakEq0POyRdufZCT9,194067
0.745,0.622,-6.892,0.128,0.0992,0.0,0.0832,0.557,140.082,3noiPAHonb3coH4jSVM09i,153365
0.836,0.411,-9.084,0.0325,0.42,0.382,0.0913,0.845,90.876,1LPQheJpIsG8rlUkCmZx2D,297717
0.557,0.455,-6.469,0.0444,0.594,0.0,0.122,0.584,123.842,2prgEUNls0vlOlZoDzTw5m,178720
0.766,0.518,-6.527,0.0835,0.744,2.23e-05,0.109,0.494,119.906,2L85gIDzIGLTmHCRUW2pHR,240048
0.815,0.606,-4.496,0.0586,0.543,2.03e-05,0.114,0.484,114.009,2lVYLiHGIX6GajMqYXF1Un,223160
0.582,0.525,-7.163,0.0627,0.111,0.0,0.134,0.51,133.249,2Ch7LmS7r2Gy2kc64wv3Bz,260253
