danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.644,0.735,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,1Qrg8KqiBpW07V7PNxwwwL,153947
0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,0.189,96.991,3pXF1nA74528Edde4of9CC,198293
0.599,0.45,-7.431,0.0519,0.166,3.29e-05,0.112,0.144,157.969,53Nwlr3hxsGsu9eWU5EYjq,205116
0.749,0.463,-8.433,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf,226987
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,195373
0.582,0.525,-7.163,0.0627,0.111,0.0,0.134,0.51,133.249,2Ch7LmS7r2Gy2kc64wv3Bz,260253
0.621,0.411,-8.261,0.0333,0.0553,0.0,0.0816,0.357,110.113,4MbzauKV2ydtZZjLsPcuTF,202520
0.497,0.477,-7.285,0.116,0.373,0.0,0.114,0.389,121.524,2cue4DdCwO7himRLESpWk5,281013
0.766,0.283,-10.33,0.0846,0.111,0.0172,0.115,0.144,97.04,6n3HGiq4v35D6eFOSwqYuo,219692
0.556,0.538,-5.408,0.0382,0.0689,0.0,0.196,0.291,143.95,75ZvA4QfFiZvzhj2xkaWAh,223347
0.524,0.364,-10.209,0.0367,0.808,0.0,0.1,0.436,75.24,1RMJOxR6GRPsBHL8qeC2ux,209831
0.739,0.491,-9.726,0.413,0.626,0.0,0.126,0.448,94.391,0GaBIpyHvytM1UBYmqXu08,322160
0.762,0.508,-9.112,0.0919,0.0584,0.00126,0.16,0.37,93.51,4osgfFTICMkcGbbigdsa53,302347
0.8,0.585,-7.343,0.0924,0.264,0.0,0.153,0.779,126.058,6PGoSes0D9eUDeeAafB2As,213400
0.466,0.676,-8.097,0.38,0.241,0.00318,0.224,0.333,81.227,4jTs7ny5eSRnKTzxdrFv5I,83827
0.45,0.352,-11.733,0.267,0.649,3.8e-06,0.249,0.408,102.679,6oEVnWKgPqIEPc53OYDNqG,252747
0.736,0.449,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,152lZdxL1OR0ZMW6KquMif,219080
0.726,0.408,-6.606,0.0614,0.603,0.0,0.225,0.459,115.918,2xyx0o4xNOLLjBSbOOdcbA,143227
0.689,0.394,-10.102,0.065,0.711,0.000905,0.0859,0.382,117.489,5NijSs5dAwaIybq1GaRTIe,212992
0.61,0.725,-5.131,0.15,0.367,0.0,0.154,0.291,146.163,6ZRuF2n1CQxyxxAAWsKJOy,201788
0.759,0.245,-6.545,0.138,0.515,0.000154,0.102,0.209,96.992,4cxMGhkinTocPSVVKWIw0d,237507
0.418,0.724,-3.724,0.0964,0.213,0.0,0.112,0.604,78.521,0PJIbOdMs3bd5AT8liULMQ,238320
0.721,0.339,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83,7DfFc7a6Rwfi3YQMRbDMau,200747
0.535,0.388,-9.805,0.155,0.507,0.0,0.11,0.412,106.703,5dXWFMwD7I7zXsInONVl0H,174000
0.658,0.591,-5.197,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,6VwBbL8CzPiC4QV66ay7oR,323747
0.543,0.449,-8.065,0.0463,0.345,0.0,0.157,0.29,132.609,5rgrBsAFYMun6yhtnLKRPz,249320
0.582,0.677,-7.081,0.172,0.0312,6.6e-06,0.122,0.205,193.818,3cjF2OFRmip8spwZYQRKxP,240653
0.61,0.458,-11.336,0.36,0.696,0.000103,0.0852,0.246,192.099,4at3d5QWnlibMVN75ECDrp,240342
0.656,0.578,-8.97,0.0922,0.235,0.0,0.118,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,256733
0.477,0.61,-5.628,0.144,0.225,0.0,0.107,0.358,79.882,6CTWathupIiDs7U4InHnDA,213993
0.464,0.126,-16.383,0.0647,0.816,3.67e-06,0.559,0.181,103.176,6pPLhloHxLWiMlAT5Xn1gw,139806
0.789,0.435,-7.042,0.0599,0.447,0.0,0.135,0.456,72.973,0TYhf0MgEj4YJaKwo5c4Km,181267
0.773,0.256,-8.545,0.0481,0.491,0.00612,0.144,0.357,118.893,0RnxpSzxzwZgFQ0NahQr9K,210240
0.441,0.219,-14.586,0.0419,0.935,0.0,0.115,0.244,94.021,39KG4kom3enSx4GTThuDGt,199120
0.697,0.235,-8.651,0.0534,0.62,0.000144,0.107,0.378,99.947,7JXZq0JgG2zTrSOAgY8VMC,320400
0.649,0.791,-6.013,0.193,0.104,1.97e-06,0.108,0.811,128.023,4mL59LVbKgOpEACxraGYdr,236160
0.701,0.591,-6.646,0.0301,0.0979,2.53e-05,0.551,0.423,98.056,6YuFv5d7iGeNnFMu6xphZl,252013
0.637,0.299,-11.314,0.0366,0.742,0.0,0.359,0.364,83.872,6VFKuuqSbA1GpMEosUgTwQ,213214
0.611,0.626,-5.087,0.0778,0.337,0.0,0.115,0.48,100.129,06dQ2rcBkq7z3AEZ4jhvc2,156073
0.768,0.428,-8.156,0.0459,0.0489,0.000491,0.105,0.147,110.478,2SWbnWSe1onmbllRAU46uo,174307
0.574,0.791,-3.752,0.11,0.419,0.0,0.0982,0.612,119.537,0uDdI4fAXCuNhQbmxENdsO,167810
0.716,0.729,-6.313,0.117,0.0991,0.0,0.0842,0.276,131.975,4ve2uzqdwnHr20G5YgMMqr,226693
0.67,0.41,-13.444,0.0381,0.241,8.55e-06,0.167,0.46,127.972,5uXO1sjZ7VbNKexKaFRna3,240938
0.576,0.36,-9.321,0.0352,0.406,0.000103,0.161,0.166,126.836,2OTRqsDes7OYRRwbF2JXsa,182440
0.539,0.414,-9.156,0.0601,0.253,1.3e-06,0.143,0.123,94.895,2wBCrtJS3E3TimRZ5MElTI,254493
0.66,0.139,-16.339,0.0323,0.964,1.1e-05,0.105,0.312,79.975,19gCnDoMbugHhF7eMpLpe1,189000
0.397,0.172,-15.698,0.0445,0.841,6.78e-05,0.108,0.123,101.275,4eSGSqP2TZvvX0kadZZttM,265120
0.569,0.325,-9.66,0.0376,0.67,0.0,0.141,0.274,122.051,4qgMPzf9QOETWQFUcFkHD4,207547
0.677,0.541,-6.057,0.0571,0.48,0.0,0.125,0.379,103.369,1DOgkaR5Gqa8JtPEIbQORC,205276
0.624,0.424,-8.237,0.24,0.286,0.0,0.173,0.584,76.671,1oGdVdYjeQvojGKDddxLQQ,206013
0.692,0.57,-8.077,0.185,0.666,0.0,0.107,0.309,91.917,1It1TxBK3xIQAB4xJkPevn,250454
0.739,0.371,-8.152,0.0511,0.358,4.27e-05,0.139,0.207,122.033,3REQkt60mafExNVnJehMdL,172131
0.722,0.282,-7.484,0.106,0.373,0.00557,0.147,0.217,91.367,58dSdjfEYNSxte1aNVxuNf,314358
0.712,0.469,-5.616,0.0405,0.593,0.0,0.125,0.383,93.04,4pqYf5eVYFpesyKlrFGNTE,188839
0.509,0.514,-11.283,0.123,0.121,0.00144,0.104,0.476,188.019,38EhHqsV5NX9JrC2D2qXNI,199179
0.865,0.792,-4.207,0.0677,0.168,1.46e-05,0.107,0.562,101.985,3MEruRteiUZXkStfTlZqRn,189496
0.703,0.573,-9.032,0.0724,0.565,3.13e-06,0.0987,0.491,147.038,3Vj8RQkFwOmDvUrwu6MtQZ,143830
0.535,0.409,-9.517,0.0855,0.777,0.0,0.129,0.138,170.123,4rHIfYRQw6ittRQXAlurk0,172907
0.462,0.438,-8.227,0.0953,0.563,0.0,0.181,0.342,107.364,54Yappwod1fELR5zb2gDBn,206080
0.659,0.295,-8.528,0.0322,0.426,6.95e-05,0.0795,0.36,74.037,6N3qHjcwly8ZuhE4bPYJAX,277297
0.505,0.397,-9.349,0.324,0.716,0.0,0.0853,0.558,95.063,3eze1OsZ1rqeXkKStNfTmi,219683
0.498,0.705,-8.088,0.392,0.321,0.000441,0.414,0.571,156.519,0ycIrEpkyb4lrqE7M1emju,171173
0.622,0.584,-7.891,0.122,0.0628,0.000152,0.119,0.545,158.276,5LKzqs734Xs528hqK8bGS1,174947
0.5,0.638,-4.007,0.0756,0.66,0.0,0.366,0.698,81.145,2sXydP9vPEYUH4uAWotuGu,224880
0.69,0.494,-7.41,0.0378,0.572,0.00068,0.129,0.283,79.955,2GoXtcbzgBUrvYv6ac7zA9,134627
0.662,0.516,-5.143,0.0375,0.0167,0.0003,0.134,0.181,87.099,37S1u9dpiGeBO80Lk9msLy,222096
0.571,0.443,-6.76,0.0451,0.3,6.95e-06,0.101,0.621,143.923,5vprsDWNcHMEMH95sbJkH2,247720
0.595,0.18,-12.516,0.0659,0.576,4.56e-05,0.097,0.119,75.067,7dQeS4ErW1iWvnKdrtKwKr,183022
0.346,0.571,-5.724,0.0762,0.00718,0.0,0.135,0.463,82.67,5Gp0BMl8A4obJTIpd0qWox,173106
0.874,0.348,-9.643,0.0767,0.339,8.6e-06,0.116,0.151,111.98,3WSBP6JEf4Y2aKD2swQ8AG,225000
0.537,0.349,-7.818,0.0358,0.79,0.0,0.094,0.388,99.762,6PFyd6Gmp2LZHI1IpkZGgy,206720
0.658,0.619,-7.316,0.0772,0.788,0.0667,0.0951,0.354,136.077,1VAKnb1btGrQXcVZVSRkPe,204706
0.66,0.648,-6.339,0.0854,0.444,0.0,0.164,0.309,145.909,2Dc1QaoJm4RXo4QZXKGIK6,154702
0.849,0.19,-9.628,0.0447,0.549,0.00229,0.102,0.203,113.955,1K1b1rPjbbam1NXUPg4VrK,200880
0.632,0.495,-8.335,0.143,0.333,0.0,0.0941,0.233,77.083,2aSM4sbNN7cSmpYOG0sf46,213933
0.765,0.398,-8.993,0.037,0.0681,8.48e-06,0.14,0.348,95.976,3J6I2S9sTNVStKhkrPp3yd,246294
0.453,0.461,-6.387,0.0533,0.0319,0.0,0.142,0.414,98.172,4rvzmiYWfzfQ3tnXEt1KQv,190056
0.591,0.597,-6.769,0.141,0.186,0.0,0.1,0.552,143.948,20jLHaXVhMFjwHs1JPjL4S,200639
0.445,0.468,-8.106,0.0702,0.524,0.000849,0.112,0.444,87.803,26aJMMLBSOQmiC4JenVjjl,177720
0.676,0.5,-6.603,0.0513,0.00371,0.00278,0.114,0.0742,90.03,4Wfe2jloKo95eFVnJEr5N1,300729
0.668,0.743,-4.524,0.339,0.185,0.0,0.151,0.365,126.68,72kPNXZLozQAg0jfviWd0K,153227
0.549,0.294,-10.2,0.048,0.0606,0.792,0.0933,0.11,105.03,2WUGnxLyK24CbGCcTIjEBY,246240
0.62,0.282,-10.533,0.0464,0.694,0.0,0.119,0.193,124.609,6fbYL76UWbHdYq4B91TPQi,211205
0.441,0.31,-13.487,0.257,0.355,0.000433,0.108,0.145,172.677,20E9JE3J8dHNDj9saOeNgu,225773
0.738,0.379,-11.644,0.084,0.201,1.1e-05,0.0806,0.598,122.042,02nZeTbm2dRHisH6qsUM5E,200215
0.451,0.586,-7.975,0.193,0.0665,0.0,0.171,0.337,171.842,4iMDkH8t3Sooaj3uCzpYP2,220373
0.497,0.489,-7.849,0.0413,0.111,0.00167,0.0912,0.0348,163.814,3BymIH6QBGllSijMm3sQiR,269268
0.664,0.61,-6.432,0.339,0.145,0.0,0.097,0.472,76.024,4nw0S8MtvcLSpXCS9M8ciL,284040
0.648,0.531,-5.886,0.0345,0.26,0.000897,0.12,0.253,143.008,1NjQZi2ajwmJsfnimLr41I,151462
0.657,0.655,-4.048,0.0465,0.34,0.0,0.0285,0.651,132.153,3draIIDdWX6FpZCc5D9WXA,219729
0.583,0.766,-4.743,0.405,0.502,1.79e-06,0.159,0.203,131.374,2KkNkv6ciB6bt2hvHtOrin,215329
0.793,0.538,-6.308,0.0343,0.511,1.57e-06,0.104,0.412,115.001,1hUhr4K3DD2iva88RMVAyY,167020
0.642,0.383,-8.416,0.189,0.389,0.0,0.0916,0.412,81.158,5jT6jENoyDH8YwvKT2NlnC,159231
0.58,0.317,-10.769,0.137,0.489,3.45e-06,0.112,0.338,176.959,1NsoJ2lSWD61hD4hRY5Qby,130882
0.401,0.485,-10.787,0.216,0.831,0.000292,0.0907,0.54,169.949,0t2q2c43AATY4z1GI883Be,196000
0.636,0.567,-7.344,0.0745,0.568,1.4e-05,0.131,0.282,125.457,1VI7GQmBBgdslV3tQRvsRD,228562
0.666,0.535,-9.033,0.112,0.827,0.0228,0.202,0.259,127.029,2ENxOXbxhfJ3lfItO0MFDv,214438
0.813,0.6,-6.769,0.0602,0.115,1.34e-05,0.159,0.622,125.981,3p2HpO3ZgvFs97L15hGZOn,156944
0.734,0.591,-2.495,0.12,0.214,9.46e-06,0.379,0.429,159.797,3wY2Adin3oA1aIF9VgZ0Kr,243072
0.807,0.347,-10.275,0.0613,0.0548,2.55e-06,0.087,0.0606,84.982,3cOA7edqrdRc9FXSJ0iXzY,235477
