danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.531,0.877,-6.604,0.877,0.49,0.0,0.306,0.346,75.137,0C9qil6cXEEJ8AzrMUEHv6,360120
0.686,0.673,-5.918,0.0684,0.0453,1.17e-05,0.0539,0.963,175.903,7HkAJlrDqGvFA880bbgFlJ,229280
0.756,0.571,-6.613,0.22,0.107,5.52e-05,0.106,0.728,91.977,1wthYeOSBWfUYeCqhYcGt0,232933
0.93,0.376,-6.666,0.0732,0.00342,0.0,0.0582,0.883,94.999,15RB3lFt2Mhc16m5fTTYkh,211760
0.875,0.594,-4.8,0.11,0.371,0.0,0.0548,0.891,120.062,5068IJEz3vdwLFRH5iWlmW,252227
0.621,0.703,-6.54,0.0378,0.218,0.0,0.0737,0.62,85.964,1ulV7wgYNWhulcnMrgwOuG,227027
0.894,0.781,-4.622,0.0625,0.143,0.0644,0.0576,0.923,107.969,24GZDmP7Nl1KwrCk3baYng,232067
0.746,0.591,-5.109,0.0325,0.0427,3.11e-06,0.0692,0.877,110.979,6PTxyxvHiIbgQRMA5IdnAO,213693
0.462,0.202,-14.34,0.0427,0.829,0.0,0.0973,0.248,132.953,0i7cDSYYTqUWQIcswtRFWA,258947
0.79,0.548,-8.135,0.164,0.104,0.0,0.115,0.544,148.992,6Qku7tQdLiYsh31kFbTtId,225653
0.726,0.676,-8.224,0.134,0.102,0.00211,0.151,0.773,174.053,2UtoiQC20KmUEEyW4gg5eo,217413
0.577,0.776,-5.473,0.117,0.404,0.0,0.137,0.631,140.024,3Q76RJ43ot3GrOSW8tE2MQ,288093
0.592,0.724,-5.274,0.0409,0.242,0.0,0.0922,0.595,81.751,22INAzPLnauFoKjjiuB8Je,218000
0.748,0.867,-5.051,0.135,0.287,0.0,0.0868,0.798,108.105,5cPoCPV5O1wlKlqYDyMcax,232751
0.755,0.625,-7.358,0.302,0.469,0.0,0.109,0.687,87.987,3GPhcKCppVSPQzMYQLkNLs,284560
0.968,0.689,-5.18,0.153,0.0147,0.0,0.386,0.74,110.042,77pB3BxEgaSZIbJ4uQflS8,244360
0.857,0.804,-4.518,0.149,0.138,0.00426,0.0336,0.915,94.994,3wIoQubsIhvsIBHskw6u0w,216973
0.789,0.656,-6.735,0.0758,0.0105,0.00103,0.132,0.74,98.014,4vhPC6yiqkeQG1aF8WSn8r,227733
0.874,0.798,-4.807,0.278,0.0571,0.0,0.149,0.785,98.37,42apdJFDH65Ew9RVuldbrb,250920
0.833,0.693,-5.136,0.12,0.0465,0.0,0.0952,0.859,102.965,4Z2n1ZH4KVUPzhLkOh8SEx,193200
0.554,0.783,-6.08,0.109,0.491,0.0,0.121,0.39,125.959,2mT0YKSgM8ie4Irf0gkuPA,261093
0.765,0.416,-7.094,0.186,0.349,0.0,0.0534,0.773,78.267,3Z1dOVkyrqTh6CuDluKDcc,262533
0.334,0.382,-8.77,0.076,0.431,2.43e-06,0.0867,0.179,173.81,3Rn1QZKn8ekyQJpWv0W2XR,277453
0.418,0.738,-5.915,0.0592,0.512,5.54e-05,0.119,0.404,200.428,17QDL48po5jRgWNx7FWykG,335987
0.72,0.411,-9.375,0.157,0.457,2.06e-06,0.119,0.494,90.029,3ZjAOQELyXtvdBWkdAJlrL,216266
0.735,0.518,-9.181,0.0407,0.292,0.00584,0.0766,0.816,156.002,2qN73X60U6A2IodLyIzTfM,427733
0.752,0.724,-3.591,0.114,0.205,0.0,0.124,0.45,100.01,1HOtCYTuOCISpTn9cW6fcz,203227
0.669,0.809,-2.407,0.0308,0.0278,0.0,0.192,0.325,95.969,0q0u9ScX1UHmiFSuBZf8t0,251360
0.585,0.606,-10.059,0.231,0.282,0.0,0.253,0.465,176.881,5SteThTPwFkssBFVBLfKc4,222160
0.761,0.972,-1.185,0.27,0.482,0.0,0.236,0.466,97.965,1zwJikF2MYUwqcVnqtGxVj,230880
0.923,0.502,-5.517,0.0406,0.0376,1.62e-05,0.0771,0.974,110.015,6lwk7C5xK5cdmKupE8lU7U,239667
0.724,0.574,-4.849,0.145,0.122,9.72e-05,0.0482,0.652,174.08,3kqcuCxwH2wySUtEh7E9Eh,277293
0.521,0.572,-5.876,0.355,0.156,8.45e-06,0.213,0.933,168.851,0IhTN6Ns8uPjEfMGGRjwkZ,221760
0.775,0.683,-6.402,0.0771,0.202,1.72e-06,0.165,0.315,106.994,38k9TH0Icrc4L68iICmWgd,226400
0.754,0.728,-5.509,0.0646,0.123,2.55e-05,0.0833,0.722,90.016,3N9kk5QuVfxc43UywvQ2aN,208667
0.627,0.815,-4.745,0.0887,0.53,0.0,0.102,0.724,73.437,5bjVNFYusiKlc0cXTi6LoV,216440
0.844,0.507,-6.218,0.0353,0.195,0.0,0.123,0.817,104.012,0hXFVSnDswuALbiR7mFIzB,258213
0.743,0.54,-8.045,0.0673,0.457,0.0,0.0475,0.672,104.031,7nKdiQqIvS9C0LtjRkADCh,242026
0.866,0.637,-5.05,0.0482,0.106,0.0,0.102,0.788,118.036,2ZtvlVEk6ue5loEfT1epnX,224107
0.692,0.66,-5.174,0.286,0.187,0.0,0.0489,0.852,96.987,45pvOVHOrFER2YW4sK1NkS,270266
