danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.703,0.336,-15.422,0.334,0.0937,0.0258,0.0447,0.712,73.911,5MKYnizdhDDik45mEncVXu,310707
0.83,0.467,-10.936,0.0953,0.0551,1.64e-05,0.0662,0.837,140.569,2C7V873vI6fomP10lVwcfm,198440
0.777,0.402,-9.378,0.156,0.00953,0.000848,0.0973,0.634,73.412,21BiCaMzG9Lfs0Pj5ItwX0,200800
0.637,0.612,-7.298,0.0661,0.0314,0.000326,0.155,0.711,76.295,6O4FoKdYi42CFjfd0MM04n,191160
0.664,0.687,-6.172,0.173,0.00659,0.0,0.135,0.525,86.348,4o6ZuLYr04LqFQNiSGVK4u,258653
0.758,0.786,-4.897,0.108,0.156,0.0,0.0658,0.786,83.495,5Wwr2S7QZTR5PVJn6jhgdk,234587
0.683,0.724,-4.436,0.0988,0.0909,0.0,0.339,0.741,80.932,43CAMHDrAVA3nJP2zgKJDI,208467
0.935,0.479,-10.981,0.306,0.107,5.25e-05,0.118,0.773,123.644,5LyfiK6iXEIBNEtcaGKohl,211000
0.605,0.641,-8.291,0.0446,0.0503,0.0,0.121,0.972,146.84,1QtWWUzwEGwpJlDRmpOSEg,177440
0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,75FYqcxt1YEAtqDLrOeIJn,180267
0.711,0.433,-12.042,0.0611,0.471,0.00426,0.12,0.934,87.527,389R9arpxdfl0JA450Qn9m,201267
0.587,0.446,-9.388,0.0648,0.547,0.0,0.09,0.753,177.943,452CB7U24P2K6HiBS4PRY4,187107
0.775,0.652,-7.881,0.0583,0.149,0.18,0.0458,0.671,137.866,155vJ1VsYZ87Gldi1gNss8,255800
0.825,0.433,-13.085,0.337,0.0585,0.0,0.0618,0.687,127.686,0GGPUysb8GpCG76dQH63te,200960
0.846,0.543,-8.244,0.188,0.113,1.49e-05,0.0849,0.772,80.812,1TBjuwSsm731S048oMDehz,166213
0.782,0.386,-15.443,0.0302,0.0184,0.0,0.0525,0.904,105.849,7vCEPLGrLHqBHyRPPsweYY,195558
0.703,0.355,-7.761,0.16,0.204,9.82e-06,0.0642,0.638,159.104,36aH0Y3Zy5jCRpVLvbXBL7,190760
0.738,0.717,-8.788,0.0458,0.543,0.0275,0.136,0.961,104.525,7w995RX3iGe8h2wmvDEa8u,166480
0.743,0.443,-11.808,0.0878,0.049,1.25e-05,0.131,0.467,84.159,41Z1gnggllzvu7qOWTaSTE,175027
0.82,0.487,-7.968,0.0519,0.0647,0.00112,0.104,0.713,98.141,1LQaNLmuB7CoCw4AbSIK54,136347
0.958,0.569,-7.895,0.0713,0.104,0.169,0.0778,0.966,122.08,5uxBt9ZluGjgdVGj8oXkiX,232667
0.852,0.44,-11.456,0.0747,0.761,0.157,0.102,0.964,135.399,29E5CC1KBt7BwBFCN7hVqH,155387
0.772,0.406,-6.347,0.24,0.81,0.00966,0.075,0.497,88.14,20y4i5i8JBwrlre86Om8W9,109947
0.816,0.522,-7.697,0.219,0.756,0.0,0.205,0.869,98.703,7gYWCaKeuAJKhGiauRrFsj,234080
0.731,0.621,-8.026,0.0519,0.0379,0.000777,0.119,0.936,76.124,5tn8ftoAruutNf8AqoSWHv,150253
0.851,0.267,-16.025,0.0847,0.676,0.00828,0.0442,0.824,83.444,5HiTmpnvgLnofi31wuG0EA,188414
0.87,0.449,-9.106,0.0501,0.304,0.0,0.11,0.934,89.662,7p5t7svNy4ER18lmLd47gt,151253
0.937,0.512,-8.431,0.0986,0.569,0.0134,0.24,0.965,115.18,6UP58GoB80kzAX6eowFj3M,189760
0.946,0.557,-7.522,0.0544,0.212,5.58e-05,0.0246,0.968,111.721,3r1b96elp29kgVq4fHCsC2,118387
0.673,0.665,-6.794,0.101,0.194,4.17e-06,0.355,0.908,101.86,5lIIQj7ZGpqa6qaZ5Pgc5O,137427
