danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,1KGi9sZVMeszgZOWivFpxs,214400
0.839,0.706,-6.104,0.199,0.208,0.0,0.242,0.839,96.673,4hrae8atte6cRlSC9a7VCO,245133
0.85,0.7,-6.49,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,3Gf5nttwcX9aaSQXRWidEZ,291782
0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,7H6ev70Weq6DdpZyyTmUXk,271333
0.637,0.725,-5.073,0.0333,0.0702,0.00438,0.203,0.415,92.99,0qvlhVNm7L5IWabWF5hlEL,274733
0.749,0.605,-9.359,0.086,0.00186,0.0381,0.115,0.966,142.024,6mz1fBdKATx6qP4oP1I65G,251733
0.677,0.684,-4.377,0.0428,0.149,0.0,0.0451,0.783,113.996,3a0Qs1ZqkjTVne2XJuSGQw,228787
0.659,0.812,-7.499,0.0487,0.23,0.0,0.0951,0.888,83.014,0gPQTLaqHDgdupKEok7J2x,235133
0.829,0.688,-7.652,0.0978,0.0142,2.05e-06,0.0461,0.869,93.857,2eSJflipjhSKLExuSwuFrO,230400
0.867,0.646,-4.674,0.288,0.303,0.0,0.279,0.67,88.634,6MdqqkQ8sSC0WB4i8PyRuQ,304600
0.767,0.551,-7.328,0.0616,0.00364,0.0,0.0451,0.796,100.904,7MQywXGHEev7JmwwIzMcao,275707
0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,5rb9QrpfcKFHM1EUbSIurX,250373
0.765,0.29,-17.117,0.139,0.0279,0.0,0.571,0.506,92.409,0Q0IVlqMV64kNLlwjPj0Hl,298773
0.665,0.695,-5.763,0.0532,0.347,0.0,0.106,0.707,90.119,6zMUIb4uce1CzpbjR3vMdN,227387
0.912,0.511,-6.365,0.203,0.0259,0.0,0.0442,0.611,101.628,6uRH1qMz30ZBwwUG0IYE5s,231800
0.563,0.75,-4.496,0.127,0.113,0.0,0.0788,0.812,173.906,60jzFy6Nn4M0iD1d94oteF,222920
0.794,0.662,-4.913,0.249,0.0789,0.0,0.0937,0.683,93.053,6Wnlq1Pu3I0BajLvxn05Vr,284640
0.706,0.888,-6.959,0.0654,0.119,9.64e-05,0.07,0.714,121.549,5Mmk2ii6laakqfeCT7OnVD,253733
0.596,0.661,-6.239,0.226,0.31,0.0,0.0847,0.86,129.491,5mNV8Mz59bzyuQ53gTw0c0,232573
0.629,0.511,-8.651,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,5GorFaKkP2mLREQvhSblIg,331240
0.741,0.478,-7.06,0.0359,0.0779,0.0,0.15,0.479,97.037,2lLbW1PLYdcg7pWK8vRVIu,239987
0.524,0.816,-5.872,0.37,0.383,0.0,0.349,0.789,200.031,0jsANwwkkHyyeNyuTFq2XO,285707
0.704,0.707,-6.537,0.0391,0.539,0.00106,0.318,0.761,93.145,6sHsXIJoEN5JpdkGMQDJxt,294787
0.624,0.654,-6.582,0.183,0.577,0.0,0.104,0.564,73.898,7Lf7oSEVdzZqTA0kEDSlS5,288333
0.588,0.461,-8.686,0.161,0.237,1.54e-05,0.0913,0.659,200.053,0YGQ3hZcRLC5YX7o0hdmHg,208573
0.833,0.698,-5.23,0.0821,0.134,0.000231,0.0871,0.92,126.159,7K4AUODt2GjZdizNkJkJ1c,257267
0.729,0.434,-9.111,0.079,0.0473,1.23e-05,0.314,0.743,94.411,60NvAO9lx0KmBNAVHIlWN6,243360
0.693,0.516,-6.446,0.0413,0.297,0.000127,0.0604,0.494,94.02,10aWGOqSDBqvNzJ9NeKDbK,220853
0.441,0.904,-2.636,0.359,0.102,0.0,0.196,0.529,161.74,1PWnjvzT5Jhpfnh96DRNDh,258800
0.853,0.606,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759,3WkibOpDF7cQ5xntM1epyf,227600
0.902,0.614,-6.529,0.289,0.184,0.000742,0.0867,0.862,94.069,5PG3h38oiQLEJlOuOvIs80,236907
0.799,0.623,-9.374,0.0812,0.0141,0.0,0.43,0.773,103.649,6uQKuonTU8VKBz5SHZuQXD,238800
0.74,0.567,-5.283,0.0702,0.0327,0.0,0.402,0.916,90.094,6B5vBKtJPOPrS2kMOZPKey,238933
0.847,0.402,-9.952,0.0641,0.0118,0.0,0.283,0.752,99.693,5IFCyWplye09HytIP80RCF,259440
0.862,0.606,-8.136,0.276,0.000331,4.87e-06,0.0706,0.485,105.972,7Jc0l11j0Ehx6smWHqDXtX,244733
0.834,0.685,-5.862,0.225,0.0998,0.0,0.0514,0.877,95.507,6FTJuZtQZvmPPRFmrcno9J,278573
0.679,0.509,-7.31,0.0617,0.0856,0.0,0.438,0.534,144.29,0WccCTWCY2Jtlh1ddAUZxT,223547
0.781,0.746,-2.686,0.17,0.364,0.0,0.098,0.786,89.43,5ahFyKndeg1hqfmNumL3WF,229800
0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4INDiWSKvqSKDEu7mh8HFz,257400
0.789,0.71,-5.728,0.0569,0.39,0.0,0.119,0.945,88.974,0sZvsIxF71s6FCtWUFBim5,217987
0.772,0.705,-6.255,0.0411,0.247,0.0,0.23,0.834,124.908,46q5BtHso0ECuTKeq70ZhW,225700
0.667,0.773,-4.983,0.0586,0.201,0.0,0.404,0.667,89.976,4zYTZvtcww7OWKie7fxA9E,250707
0.757,0.544,-10.722,0.219,0.154,6.07e-05,0.226,0.921,173.208,7sJN693sYKEIEMu7fc5VnJ,308360
0.576,0.807,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,41bIQPBE1lFN0mmw6Lmssz,224427
0.703,0.7,-6.789,0.0693,0.302,0.471,0.0718,0.582,97.675,29rQJydAlO0uMyWvRIZxQg,265107
0.66,0.536,-8.786,0.29,0.233,0.00669,0.111,0.775,159.963,5Y0E3dOeynKuLDAXu0t0Bg,237800
0.743,0.59,-12.662,0.0852,0.000877,0.0,0.342,0.726,100.015,4KKS2W54dyq5flTmdLpF7z,228075
0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,2yPoXCs7BSIUrucMdK5PzV,275987
0.849,0.521,-12.999,0.216,0.304,1.65e-06,0.115,0.763,95.265,7nYvUtkQMx1v80S2FH2s9J,248867
0.761,0.639,-7.577,0.0539,0.0359,0.0,0.0945,0.922,164.088,47TqCCnEliDp8NRDyIQoQq,219120
0.939,0.742,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978,2kQuhkFX7uSVepCD3h29g5,212360
0.717,0.386,-7.052,0.13,0.0554,5.16e-06,0.0353,0.863,205.006,4TqAoRSW8kOKfO4y5R0GLy,242507
0.817,0.664,-7.612,0.0387,0.124,0.00378,0.173,0.729,107.805,6IwTZB5S5s2nAlfd8WpLFx,246173
0.634,0.716,-6.502,0.128,0.0341,0.0,0.0877,0.619,91.039,3dhvQUA0NyrAea4vQ7X6Gn,248107
0.779,0.834,-2.773,0.162,0.0343,0.0,0.0886,0.8,100.46,7JKEA8xYDoFp4q0QBW2PGg,198347
0.774,0.684,-4.721,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,1ak0S3NhwWrUgNlQhJ1412,236827
0.483,0.914,-3.735,0.38,0.0202,0.0,0.124,0.362,172.024,2HAk4odx3V0xWcGsfnNZlX,224973
0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,3aw9iWUQ3VrPQltgwvN9Xu,265867
0.877,0.637,-3.493,0.101,0.00516,2.5e-06,0.0959,0.569,119.988,1gZ7i4qxXkHZb1r6eioaAP,272080
0.894,0.404,-5.913,0.13,0.453,1.57e-06,0.0801,0.759,102.009,0iFOG4Ki9aDmJUYUFHQlPG,236507
0.651,0.814,-4.108,0.307,0.151,0.0,0.368,0.924,199.97,3oOLUDZhHEb6VcxgvWZ0bO,232853
0.731,0.807,-6.492,0.1,0.181,0.751,0.319,0.765,114.759,2bLqfJjuC5syrsgDsZfGmn,179120
0.801,0.645,-6.93,0.0356,0.046,0.0,0.0357,0.824,110.011,5u5MpBnvJejW9dHPrfWEXZ,215480
0.622,0.593,-8.352,0.0916,0.163,0.0,0.0979,0.607,94.364,5WphWTUIfRe7x8NZss79cY,249093
0.865,0.557,-8.018,0.0612,0.0221,0.00353,0.0973,0.859,101.295,6eB35pgMXdfhz5Z0WjwF1O,252400
0.592,0.562,-6.869,0.0239,0.00373,3.23e-05,0.223,0.208,90.16,1AM1o0mKbgAK5oMpY8B3Z7,250173
0.762,0.661,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009,1hGy2eLcmC8eKx7qr1tOqx,225373
0.457,0.915,-2.232,0.238,0.117,2.65e-06,0.339,0.551,101.654,5AQ5px3n4yZHwtCyoo5kQD,205613
0.891,0.77,-6.124,0.0439,0.00862,0.0315,0.155,0.819,112.997,2s0ouHqJebHfiQ6C1GUFJd,182627
0.662,0.748,-3.041,0.268,0.688,8.43e-06,0.0841,0.535,82.331,6Nq5lE0CeOAAAqN4qhkbZU,239027
0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036,67T6l4q3zVjC5nZZPXByU8,221253
0.487,0.4,-6.2,0.118,0.0676,0.0,0.181,0.538,84.801,2i8s0XiKcSNBkGfiSns6wc,214693
0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,0KKkJNfGyhkQ5aFogxQAPU,206693
0.375,0.862,-3.363,0.255,0.071,0.0,0.211,0.478,159.841,3jlbL2OTD5YmIunYzgQTAN,338853
0.814,0.713,-5.06,0.142,0.327,0.0,0.104,0.731,98.527,4TvugnXc76DHnzKzZoTDkP,210173
0.7,0.787,-5.176,0.0327,0.00666,3.68e-05,0.0724,0.556,102.043,7rBzAkopTL4baeJGCFU7M4,271627
0.693,0.729,-2.99,0.378,0.171,0.0,0.07,0.521,117.848,6etwirSInfuJrSOlogS6Sh,284733
0.693,0.549,-8.141,0.119,0.0109,0.0,0.0677,0.605,80.028,1tkMs9wDPknQ3ZHcKDw1ES,227960
0.612,0.961,-3.078,0.333,0.107,4.17e-05,0.0413,0.867,129.873,1mnqraQ8oV8MX92rdOFLWW,238760
0.862,0.479,-9.199,0.0645,0.0523,0.00126,0.589,0.924,109.877,3QHONiXGMGU3z68mQInncF,301520
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,5vlEg2fT4cFWAqU5QptIpQ,182307
0.551,0.591,-8.404,0.12,0.00549,6.55e-06,0.0416,0.474,201.81,1kPBHRXyXdrtYfUfeRwBko,236947
0.904,0.655,-5.102,0.087,0.111,0.000167,0.0779,0.83,106.005,2J2hVpwVV25EK8Bvd3OgCK,217667
0.754,0.86,-6.73,0.0382,0.0521,0.000945,0.372,0.848,102.808,1foEfzZaWdicH22pCxx52P,191027
0.842,0.703,-8.043,0.206,0.229,0.0,0.112,0.811,95.019,1DPMqbabMHKm8bN04arwK8,286533
0.765,0.821,-5.926,0.183,0.0918,0.0,0.217,0.962,162.519,0UNTBB02C1aB55Fu4H63qd,276800
0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862,0.743,103.993,59dLtGBS26x7kc0rHbaPrq,268320
0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,0.795,149.998,2q4rjDy9WhaN3o9MvDbO21,193387
0.726,0.568,-8.358,0.0298,0.179,0.0,0.0488,0.631,91.906,450vazRH94IB21mom5FkN9,274333
0.588,0.877,-4.78,0.16,0.00952,0.0,0.171,0.645,155.165,58FUwmyGUqkt53YPUcm7cJ,326187
0.625,0.576,-5.693,0.175,0.0543,4.07e-05,0.187,0.235,179.063,25cUhiAod71TIQSNicOaW3,193147
0.714,0.825,-5.447,0.0751,0.0128,0.000569,0.049,0.751,94.074,3ldG6XCLDXxWg1N6XhrSKo,258560
0.422,0.52,-10.231,0.343,0.00204,0.00413,0.411,0.184,189.63,1w6kG4Rc29m5EherbvpkF5,245253
0.859,0.622,-8.196,0.0445,0.0661,0.0,0.0394,0.433,134.007,487Dyzs7Xbbk4hIWYyYT80,243533
0.832,0.43,-9.39,0.0826,0.0606,0.00323,0.124,0.462,148.074,1pm7lQGl6mvKWDxesZTVFp,299333
0.8,0.362,-10.849,0.0634,0.035,3.99e-06,0.0667,0.888,93.059,2lp8xjq0WTm3HZKHuDEweg,236067
0.601,0.74,-5.043,0.0573,0.0299,0.332,0.0937,0.672,94.013,5u3FywQOPJ5O7ZAjm31cnq,226800
0.721,0.723,-7.08,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,5zn1hpm9N0ylKB7kOtpCw2,263440
0.66,0.88,-5.338,0.0375,0.0808,3.48e-06,0.15,0.862,103.395,4oX4WNqPhgKQrl5W4tdt7V,213360
0.64,0.427,-9.29,0.0241,0.0664,0.0,0.0579,0.529,149.703,3l3xTXsUXeWlkPqzMs7mPD,351467
