danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.534,0.621,-5.205,0.0449,0.00124,1.39e-05,0.0596,0.186,91.845,7jHJ2MzIKO1kIMxGamKRKn,278656
0.58,0.593,-9.087,0.109,0.0924,0.0,0.134,0.603,130.174,2RS61Gj0jmu70MOA6iQtiL,184164
0.518,0.744,-6.312,0.0428,1.65e-05,2.38e-05,0.147,0.679,102.887,1POl67wsGLRP5e0oeZHUgh,208240
0.715,0.468,-7.664,0.147,0.0994,0.0,0.125,0.673,194.902,7L3YDa0Fd8pmzpAyu6EKOS,236373
0.713,0.471,-7.392,0.483,0.421,0.0,0.0308,0.779,199.764,6Wt5QBzHp9vdSLAFlvdnDQ,285587
0.731,0.368,-10.38,0.0688,0.00544,0.0,0.193,0.512,145.171,1lih9AUGlOI2qbAkptdBsr,265333
0.675,0.394,-8.539,0.133,0.0611,0.0,0.214,0.405,104.987,5kxddRG1RZaZROadk7iC4D,238800
0.451,0.55,-8.137,0.262,0.0108,0.0,0.0737,0.594,80.001,2aIdVb8v9KTpEZnftkz2mD,227960
0.215,0.911,-4.715,0.0394,6.07e-05,3.47e-06,0.183,0.47,183.535,36QG29bbGuJkxNgzY6o9Mu,315453
0.722,0.329,-11.617,0.108,0.088,0.0,0.081,0.166,99.991,0F7rEdewJ6cSLylOZZpDu7,230713
0.665,0.695,-5.763,0.0532,0.347,0.0,0.106,0.707,90.119,6zMUIb4uce1CzpbjR3vMdN,227387
0.803,0.454,-4.802,0.0294,0.352,0.0,0.0655,0.739,99.99,7k6IzwMGpxnRghE7YosnXT,192213
0.806,0.721,-5.167,0.215,0.197,0.0,0.209,0.781,94.967,2RqZFOLOnzVmHUX7ZMcaES,238333
0.826,0.67,-5.559,0.169,0.00798,0.0,0.495,0.794,74.007,6MBEjJlXQYXr8dfxDvZuoA,226293
0.878,0.417,-6.799,0.361,0.0444,0.0,0.0833,0.904,77.49,4FTOpNYcGxnQdGNWSxIcio,325573
0.867,0.871,-5.95,0.135,0.00755,0.0,0.0773,0.832,115.167,2FBGPURQBpjyyKwEwdpvcW,203627
0.705,0.725,-7.435,0.0506,0.0352,0.0149,0.194,0.76,92.186,4VSyH8AkIt3kaR5xIPFVVi,166693
0.434,0.556,-6.905,0.0344,0.139,1.07e-05,0.113,0.251,111.987,0AySNcxAWo6RKotzZgvm96,239520
0.466,0.842,-5.657,0.114,0.00185,3.66e-05,0.107,0.669,154.348,4BdPYaw5KvboXSej5XZpAW,193267
0.59,0.973,-3.764,0.141,0.000877,0.0281,0.0485,0.459,143.042,7rAEUdstP2ZU8MOPGbHug6,194840
0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96,4vp2J1l5RD4gMZwGFLfRAu,289133
0.834,0.696,-3.224,0.197,0.11,0.0,0.13,0.804,94.09,3CNqo3gYrfexdrtjFmC9he,272533
0.649,0.931,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,6btyEL6NwUa97Nex9cZFvo,213067
0.591,0.963,-6.489,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,6Nm8h73ycDG2saCnZV8poF,222827
0.518,0.948,-5.58,0.0683,0.00504,0.104,0.228,0.55,103.025,10V8XpuyMoEcSMfM79WDET,201400
0.518,0.975,-4.425,0.0575,0.000136,0.827,0.42,0.32,154.059,4eNnMvUrSu2TRpySjVC0Pv,220267
0.617,0.85,-4.543,0.0325,6.39e-05,2.93e-05,0.481,0.589,125.03,4P4V9JQhiQEP9hr4U33lEY,189133
0.575,0.845,-3.838,0.035,0.0282,0.0,0.0814,0.376,127.997,0H04yVa3DJxoXbLBpAb7iV,197280
0.447,0.281,-5.888,0.0359,0.753,0.0,0.138,0.443,134.423,1gWe7FzGbbI7nozOWLHzPK,221820
