danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.742,0.67,-5.258,0.153,0.232,0.0,0.0473,0.771,139.962,2LNMlbbn8RQpZoRnGDiq6m,316929
0.725,0.661,-7.713,0.0468,0.0789,0.0,0.0958,0.747,173.011,1S6wOu6dSfEC6CAhFqLkhz,253873
0.802,0.537,-8.143,0.3,0.372,0.0,0.0858,0.853,75.011,5neopiXhkOOHXr5ARF6ttL,234338
0.842,0.706,-3.638,0.0525,0.0401,0.0,0.297,0.716,109.97,5uucrekwTFabEfsIECSVHS,181627
0.806,0.589,-5.547,0.0517,0.108,0.0,0.0661,0.785,140.001,064K18TMBVzV48ZxZsyqmt,283128
0.879,0.597,-5.653,0.0372,0.0496,0.165,0.0697,0.738,127.975,0VIJgUm56Ppby1Csyl9onR,228984
0.767,0.628,-4.672,0.159,0.00929,0.0,0.224,0.776,81.997,3NAmUpcUjhJ0z2MAR0dSY5,225366
0.767,0.532,-6.591,0.104,0.429,0.0,0.249,0.955,82.976,2T0ZKEwCC7Fli5TPRnikLy,215720
0.802,0.551,-6.511,0.153,0.0758,0.0,0.0722,0.578,90.046,3Ym8BMMZVguvIOygd2W2rQ,245205
0.723,0.444,-11.126,0.34,0.0119,0.00131,0.131,0.206,77.002,41YDlchUm6Hr6TNXNQeuiJ,235000
0.806,0.459,-9.225,0.504,0.00551,0.0,0.117,0.62,85.917,61rzaIWxkKFJKzXMtTxG8m,192000
0.75,0.616,-7.503,0.0448,0.134,0.0,0.271,0.921,123.918,723nixbTAOHQvLW08krid4,236000
0.759,0.658,-6.01,0.0585,0.0986,0.0,0.0856,0.697,89.014,4dU35mQMnqMJXUF2pTm6DU,268753
0.608,0.641,-6.916,0.0863,0.0736,0.000119,0.349,0.437,173.887,3yWzMaLEFlnXF1TnOp39Kx,202014
0.615,0.783,-5.817,0.0486,0.0436,0.00132,0.0987,0.765,93.007,7ausGw45HLhaNWvlH4zRY3,190495
0.601,0.726,-3.818,0.296,0.144,0.0,0.141,0.708,164.037,0sa7RnK1Coeu4VDRhkocYO,164879
0.72,0.63,-4.667,0.18,0.165,0.0,0.0742,0.864,80.09,0TumRrJfF2BRv5JXxC9xKw,229390
0.874,0.522,-6.506,0.0556,0.22,0.0,0.134,0.605,125.965,6SxVjWpYrs3ONAiT2zEN38,202000
0.638,0.525,-3.519,0.0601,0.491,1.41e-05,0.101,0.782,171.069,4k5yRSlbjqLE5KARh9dzOr,252707
0.677,0.773,-6.866,0.261,0.433,0.000213,0.117,0.601,152.077,5A6mHdKHowaitCRTSEHriS,221611
0.873,0.672,-7.833,0.269,0.414,0.0,0.416,0.765,85.991,74rAvfK0OjCQeV7LVX8Fel,186800
0.799,0.647,-4.931,0.239,0.0221,8.69e-06,0.066,0.79,80.016,2UY4Y4TOUp0FP4srzqlfNr,181767
0.732,0.736,-5.003,0.0473,0.0586,0.0,0.323,0.518,87.041,2JtJQ3xnNb3T5wLuSJi7XO,223854
0.795,0.826,-4.607,0.169,0.374,1.8e-06,0.165,0.845,135.067,5oTI3LzqLOLDUonek30hE8,223866
0.804,0.682,-4.321,0.274,0.265,0.0,0.154,0.877,139.993,6nTL5veNPyj0xuXxUuBTAm,210043
0.867,0.506,-7.558,0.0903,0.0675,0.0,0.109,0.721,130.026,18eYt3FZHusiZZvyNSqTw5,237287
0.816,0.581,-7.9,0.0916,0.579,0.000156,0.0916,0.898,99.98,1KCBWmRuJSfaryNzm8iLM0,190067
0.701,0.611,-10.708,0.261,0.0293,0.0,0.333,0.772,143.891,3C48hziIsKxYGBmcthUfNH,241000
0.781,0.622,-5.934,0.123,0.0385,0.864,0.0806,0.885,78.797,3aAqWbA9CHAPYqDbfk5xaN,205364
0.533,0.721,-6.815,0.304,0.0421,0.0,0.371,0.714,165.95,642SPyn8Vd3Pfv64v8cZZX,219890
0.741,0.686,-6.192,0.174,0.233,0.0,0.336,0.623,144.013,2LbLKCQOf5m76eBmc2EzLD,253972
0.54,0.294,-6.75,0.0303,0.877,0.0,0.135,0.434,90.169,3em7ybNGFk1auwVmfcH782,205441
0.614,0.864,-5.258,0.0915,0.0233,0.0,0.312,0.47,172.05,3V7SeeKCp2BFi4hnYZciuO,184186
0.906,0.474,-11.963,0.0598,0.0142,0.000904,0.173,0.896,129.977,7q9WseFMQsK731WRRRVpAD,226650
0.747,0.627,-6.005,0.0818,0.0129,0.0,0.197,0.517,141.937,5AmIOaFhzYvLh2zuyFI5NN,223773
0.676,0.854,-6.846,0.0493,0.0571,0.00884,0.478,0.964,168.008,7ilPcIoyPrNwBRLBZOtpmy,219932
0.73,0.671,-4.11,0.121,0.213,1.13e-05,0.0729,0.645,81.837,4hZEIq4qKq03URrVFa18p7,223057
0.825,0.591,-7.567,0.093,0.131,0.0,0.0967,0.742,90.024,7CgedTnm0Ehh8O1Iaa8OwM,150320
0.884,0.636,-5.834,0.0477,0.0287,0.0,0.073,0.97,137.927,3sj1XIHQwhHxtnUiIHAjPq,213077
0.671,0.491,-4.668,0.0303,0.171,1.73e-06,0.365,0.923,74.017,27RAZKSDzCpLCSaLBK8BNg,247757
