danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.651,0.747,-7.269,0.0699,0.0528,0.0,0.207,0.776,147.518,1Rvl8qsKJurfFTyWLBI9ib,249520
0.763,0.449,-7.751,0.223,0.462,0.0,0.219,0.879,169.879,6LgjN2jxrDE77W7vMjeW7S,227294
0.68,0.914,-7.392,0.0418,0.0529,0.00493,0.226,0.879,97.055,2gJEYvp4QkpOgpOGj8y5ZD,303133
0.843,0.626,-7.313,0.0357,0.17,0.000767,0.0834,0.779,96.416,4FhhsUPiNSxZmBsjdzzYo6,240067
0.701,0.68,-9.269,0.0907,0.162,0.00101,0.0647,0.965,170.257,1gAiiQ1NKftNNGavLI6k1q,278600
0.867,0.506,-7.558,0.0903,0.0675,0.0,0.109,0.721,130.026,18eYt3FZHusiZZvyNSqTw5,237287
0.691,0.81,-5.336,0.145,0.021,3.09e-06,0.181,0.665,170.016,3dhSQB8rGgNix3d82H7GLc,273207
0.719,0.569,-6.24,0.0529,0.0282,1.86e-06,0.137,0.432,75.07,1RE05z5joWkIFEl64YvTIm,182987
0.451,0.151,-14.392,0.0369,0.85,0.0,0.109,0.205,144.648,500Qfmx5C1ojwmPNiJ2OvR,255400
0.641,0.652,-8.549,0.0824,0.228,2.56e-06,0.106,0.674,75.066,6mxhxLDlNXPpjT3Uzk8FP8,339806
0.614,0.812,-5.05,0.285,0.0606,0.0,0.439,0.937,90.973,0fgvQVewoczohSo7ZxnhUM,263736
0.76,0.778,-7.353,0.0944,0.411,0.000545,0.132,0.7,81.999,2ORAFTM8CvUtoI2eRoiBFY,286867
0.678,0.816,-6.877,0.0663,0.0516,3.41e-06,0.0867,0.785,148.042,2ksQcwlvYi0eAOQTkA1QDh,277290
0.712,0.822,-4.929,0.0333,0.255,0.0,0.0579,0.932,90.007,0fIckdt1dYgrKo0Tk7NCKP,305973
0.568,0.816,-6.319,0.148,0.0965,0.00485,0.058,0.805,173.905,6fYrcILR5hdVlAAdcg4G4N,305173
0.59,0.873,-4.117,0.0421,0.0235,4.23e-06,0.65,0.829,95.978,0syNE29vw8uqoR9nOwwaG2,247250
0.622,0.607,-8.191,0.0441,0.293,0.0,0.292,0.501,141.964,3Qj2T54mqHEnpj6CTiFvce,218768
0.635,0.69,-5.21,0.0401,0.499,3.11e-05,0.0354,0.736,164.044,7pu0sRqq0HWhpS0aoX22aw,246760
0.843,0.693,-4.712,0.0704,0.0863,0.0,0.0891,0.96,136.036,1W82gbsSE1yMHtOMyfoW5J,214133
0.56,0.714,-6.372,0.0991,0.0159,0.0,0.305,0.837,141.379,3axYuYvWtLD8QwH07mGeLe,236107
0.612,0.589,-6.502,0.0534,0.0619,0.0,0.662,0.423,77.025,0IbbqSb9OLs7ilUa5twWx5,224449
0.568,0.657,-8.83,0.0552,0.00543,0.000445,0.159,0.5,149.639,4JfwY47pEF4y5BJDCPoVGP,280933
0.665,0.825,-6.614,0.0529,0.175,0.00116,0.122,0.963,166.056,4HpfBWw86oJKwFjLprrOJb,236904
0.654,0.835,-6.522,0.0656,0.0905,0.0,0.0588,0.965,82.023,1WEAP2NGD5Nf7SLMFvItXt,226293
0.605,0.788,-6.386,0.057,0.399,1.5e-05,0.025,0.92,152.686,4ViHznP11MCjMtJkASY578,194400
0.664,0.899,-6.831,0.0488,0.052,0.00103,0.06,0.963,93.399,5JIyslsaEa4zIZumBugEq0,250693
