danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.671,0.736,-6.705,0.0344,0.0547,0.00381,0.111,0.89,141.967,2Xl9SgLTp16bHEVdmUuJPi,246707
0.427,0.835,-7.607,0.0341,0.000499,0.663,0.198,0.406,153.998,5n4mNEN0wnFOvoob4VVx4W,285000
0.512,0.538,-8.302,0.0269,0.0513,0.774,0.122,0.516,156.048,4sJdtjJ0KOldz8UYNdbEiq,336557
0.7,0.686,-6.888,0.0343,0.00606,0.000345,0.447,0.302,111.021,4XRvI0XtqdOGYeC36VkbwA,263080
0.534,0.96,-3.707,0.081,0.000478,3.7e-06,0.322,0.724,124.045,56kvCYeCBppVYIGxmG6kB1,222573
0.413,0.722,-5.875,0.036,0.00342,3.13e-06,0.0626,0.0803,109.948,0JX23XA8E7aN1Chj32kgVn,257747
0.52,0.885,-5.861,0.0337,0.000651,0.244,0.094,0.706,157.02,0HLUNrbWZdyUDWVKy3X9JH,295055
0.721,0.701,-5.941,0.0306,0.000927,0.026,0.234,0.892,130.091,260Ub1Yuj4CobdISTOBvM9,140080
0.496,0.802,-7.503,0.0495,0.00402,0.024,0.149,0.375,74.96,7lBcwHvUVvJ53EqlqyzoNG,277921
0.589,0.748,-4.767,0.0259,0.000438,0.0349,0.16,0.334,115.01,3TiVl5igD6Z5Pw6R5sp8YV,238946
0.539,0.879,-3.472,0.0566,0.0123,0.0363,0.149,0.857,159.961,2MHkpE8EdENJyhsW80MVXf,196593
0.442,0.887,-5.943,0.1,0.0259,4.57e-06,0.0655,0.637,146.358,46gSk82duJtX3TTA182ruG,218080
0.58,0.84,-6.102,0.0388,0.000152,0.000124,0.419,0.562,141.241,1RKP6D6QvUStrPP5TvPnXA,174258
0.573,0.639,-7.824,0.0348,0.284,0.0707,0.104,0.472,95.012,08nEmepzYghncoGtHyjwzA,206920
0.641,0.853,-4.017,0.0516,0.00253,4.54e-06,0.18,0.667,120.027,00yPQxPinyr2Ofvuvu2jXs,221840
0.565,0.818,-6.739,0.0308,0.0307,0.0123,0.0947,0.719,144.028,6TZ6vaiyYeMZzPef9hvnZL,309400
0.506,0.967,-4.464,0.0635,6.05e-05,0.195,0.0921,0.592,95.354,1YYK8zYkBKxVaANQ7CkgYu,183467
0.661,0.699,-5.548,0.0286,0.00977,0.000427,0.106,0.717,126.001,7MbVZOLSUloG4J3nH3Tnos,241194
0.416,0.762,-7.385,0.0279,0.312,0.804,0.0559,0.461,95.967,1fDFHXcykq4iw8Gg7s5hG9,326491
0.568,0.871,-4.198,0.113,0.143,2.24e-06,0.236,0.733,170.343,7D8lO8l8QLSKahYnuKK9ls,197520
0.679,0.769,-6.758,0.0424,0.186,0.0,0.202,0.939,128.996,4BaX0wDUFPhBAoCpkOUCaX,174811
0.535,0.57,-8.215,0.0281,0.0208,0.000144,0.114,0.219,92.512,0WyxeS2eRKQeO5BB5g2g8e,269875
0.472,0.882,-5.756,0.065,0.00227,0.0,0.331,0.607,157.983,0pnyP6O4khd5szq7H4Q2KU,214067
0.672,0.777,-6.7,0.051,0.159,0.00368,0.0855,0.641,147.949,5mKhfuj8pEPFDUwnStFHKN,197333
0.553,0.356,-9.022,0.0282,0.83,0.31,0.14,0.382,125.677,5gTCp2dIRTLgJ8ZZllw0bR,217464
0.563,0.727,-4.531,0.0767,0.0558,1.43e-05,0.0521,0.584,155.003,1pxLVdC8sjLDA2DF3uOEuW,235093
0.727,0.686,-4.155,0.0692,0.08,2.98e-06,0.094,0.961,204.182,7jByqm6en8id0GM0NbVth9,177359
0.517,0.788,-5.906,0.0326,0.00491,1.12e-05,0.164,0.536,135.054,0yOVr5YYjVlMZRtaoFBaMO,226720
0.503,0.965,-4.344,0.0674,0.0181,0.0994,0.157,0.233,110.024,5erfAVR10gZUx3t1u4UbEm,287960
0.663,0.495,-7.085,0.0271,0.1,4.11e-05,0.158,0.519,95.924,3rghzWiJzh59FHeec1hcfK,213531
0.473,0.81,-4.559,0.0358,1.5e-05,0.0545,0.335,0.47,122.942,7qBXFdv7Q6FMWhsHt2OawM,260347
0.599,0.854,0.829,0.0373,0.648,0.0,0.098,0.449,139.995,5L1WMbYfNFkmlyG407ke6S,142286
0.756,0.555,-7.406,0.0355,0.0317,2.02e-06,0.295,0.513,119.974,4fNtMdGY2dYp2ODClA9CB4,228533
0.45,0.817,-4.13,0.0299,0.012,0.0,0.382,0.735,163.977,4mst70zkYNCTyNqoeoxzDP,229693
0.252,0.87,-4.662,0.0383,0.000233,0.00197,0.151,0.557,178.23,0bFOsNsyf7PozWCyRfuMpz,245454
0.573,0.852,-4.923,0.0774,0.341,0.0253,0.162,0.683,84.941,6Q6aBwbKLh3SBbFiQce1YK,225733
0.738,0.598,-8.174,0.0276,0.204,0.909,0.074,0.768,100.008,5vM3lY16JDdkHtF3AYkZkM,267995
0.472,0.943,-2.81,0.108,0.00305,0.0,0.505,0.561,149.953,36GQWaICkYgxYD8I9gJOYJ,134252
0.548,0.71,-8.29,0.0327,0.331,0.615,0.363,0.351,120.96,2OMmR7z317VmvoVAP2dq2i,210893
0.522,0.515,-5.906,0.0273,0.00176,0.00231,0.0696,0.0943,135.934,1sykjjK9zNsQMof272cHHj,276480
0.503,0.932,-5.584,0.104,0.00616,1.44e-06,0.058,0.294,133.983,03COlVqn5cuG51u2txqzGt,212760
0.627,0.862,-6.697,0.0809,0.0206,0.0821,0.106,0.926,160.045,4GBIZMasDFztSQfK0IrNh6,170538
0.588,0.898,-6.362,0.0492,5.99e-05,6.04e-05,0.186,0.593,155.989,37Q6kTk6hb3nqMCo6KaFln,124769
0.48,0.933,-4.173,0.048,0.0127,0.127,0.0809,0.592,144.051,3JJv1LcAO8G2Q19p5GVRlm,200147
0.464,0.774,-7.761,0.0406,0.253,0.00377,0.181,0.419,146.202,2NS5hylxl4QNQcD6Vjmtpj,296333
0.437,0.666,-5.784,0.0329,9.44e-05,0.854,0.111,0.0343,128.008,2hFlY5xuAXrjY24v3a1mpZ,271656
0.519,0.885,-7.729,0.0425,0.0069,0.185,0.147,0.424,157.985,1IEulXF7S08dapSxx8L0z2,269016
0.349,0.818,-7.929,0.0794,0.00053,0.0,0.342,0.171,165.94,7hbvq2vHYcYTgRs2tJgiel,165640
0.468,0.859,-6.479,0.044,0.00217,4.5e-05,0.147,0.301,165.028,105fEjEgDVFrp4gAtyNJLY,184069
