danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.747,0.824,-6.783,0.0536,0.044,0.817,0.19,0.745,130.0,7uECCWx2tz4T102b2QBS0p,180147
0.563,0.727,-4.531,0.0767,0.0558,1.43e-05,0.0521,0.584,155.003,3Cy088VMsvC4xsIQd30UnX,235093
0.455,0.949,-5.383,0.23,0.00318,0.000203,0.116,0.269,160.041,2IY9lQ8pD2uVzAoIxJUPK8,215987
0.55,0.755,-11.428,0.0492,0.0652,0.0,0.106,0.698,142.034,2OdRGWLkvSccWOrYFlbIFF,184905
0.761,0.668,-7.698,0.123,0.0939,1.92e-06,0.0935,0.611,93.195,2d9UdLMMe80RNfuQcGmuIe,199089
0.436,0.631,-7.261,0.0524,0.0395,0.00646,0.053,0.41,127.824,1wmx1Icz0XuAfyU8Dgio74,229518
0.562,0.896,-5.006,0.0337,0.000251,0.356,0.532,0.447,109.604,3Ym2LEWrSJyvxjfYTmshCS,212707
0.509,0.905,-4.902,0.0708,0.00152,0.000613,0.654,0.656,165.068,2UMeGWmUri9RVpmckPV9Jt,159308
0.483,0.88,-5.334,0.119,0.0156,4.64e-05,0.0898,0.53,165.052,7LVck898vegWlmM0Rwc81Z,175180
0.504,0.794,-4.631,0.198,0.457,0.0,0.107,0.524,164.986,4itBuIySoAuWR1gVk1xA1S,141091
0.545,0.847,-5.882,0.108,0.000459,0.00153,0.436,0.573,130.051,6tL8gSH1BWB5noSIac3uGZ,135467
0.483,0.744,-5.935,0.0598,1.85e-05,0.000482,0.279,0.328,122.061,2KkglYERoV6dGi9ME4iYsw,181448
0.836,0.901,-3.351,0.321,0.0372,0.000387,0.136,0.728,140.031,0d3pSVPhCfuzAJLyMUZYjT,140571
0.61,0.864,-3.792,0.0445,0.000652,0.0,0.16,0.579,130.073,6W9CY1yt4FoAi2vKiqQLz0,178263
0.491,0.842,-5.941,0.117,0.0288,0.0,0.128,0.397,155.145,4RUGYWQDRkJhRTvTcP3DAW,111484
0.599,0.854,0.829,0.0373,0.648,0.0,0.098,0.449,139.995,2JxPgHghyuG0SKNy8htBWg,142286
0.468,0.984,-4.083,0.0884,0.000267,0.0123,0.136,0.497,138.886,2JrozyGS7r75L39rt3xoGx,203455
0.451,0.849,-5.429,0.159,0.000421,0.372,0.211,0.669,175.109,08KjCNJAIG6Y41ssp19yTn,136507
0.362,0.913,-5.639,0.213,0.0247,0.000678,0.0667,0.299,173.908,23CIjjRFiqwaAGHmF1p5oX,156431
0.638,0.705,-6.353,0.0284,0.464,0.0432,0.253,0.446,119.991,6RYRFuYDMyJIzmzLprp9rZ,179000
0.408,0.937,-6.198,0.0878,0.00286,0.0129,0.356,0.29,125.593,2nz67XVT2Ir9Y4YT8QM8sZ,231203
0.633,0.806,-4.201,0.0553,0.00472,0.000394,0.0871,0.436,140.096,6uw93PQ8gHcceraxPfCFUp,144857
0.68,0.76,-3.925,0.0414,0.00288,2.25e-06,0.221,0.505,105.025,0nQivvsZFERbPwGO6gp4KL,202098
0.341,0.891,-4.96,0.068,0.00707,0.000119,0.182,0.519,177.152,1FjenYfXVnQprQ0X5OWofT,78733
0.576,0.816,-4.638,0.103,0.19,0.0,0.397,0.671,94.057,4RWbO2RDo6yyA12R3TNVsx,240003
0.53,0.804,-4.835,0.0351,0.00118,0.000179,0.117,0.4,145.052,45t5U9tRXXYjp40w4PZpgU,247660
0.693,0.54,-6.491,0.0402,0.0305,0.019,0.277,0.48,121.931,2PzygCxvCYzsIyc50VStxD,187869
0.238,0.903,-6.393,0.0778,0.0048,3.44e-06,0.408,0.417,164.064,1YUKuWqXXMDoIWMxeTHPDf,237814
0.499,0.846,-6.531,0.305,0.244,0.0,0.0946,0.581,139.746,5rWy99nNNONycsObYOMzHx,153963
0.586,0.823,-9.268,0.0368,0.000104,0.389,0.198,0.46,96.054,4xgO0AFVemVCeykCtnMclo,100032
0.645,0.863,-5.0,0.0977,0.00291,0.000934,0.202,0.243,134.984,5lBXXaxSVZl5p1a5yRxoW9,88921
0.491,0.852,-4.041,0.0736,0.000877,0.0,0.103,0.34,149.995,1DtlyZk7uxrg5T29zQls44,157000
0.424,0.895,-4.16,0.118,0.0102,0.000911,0.0839,0.42,93.823,0sRAH3UW1W7jUo3CZq0OAH,190444
0.345,0.973,-3.933,0.0619,2.17e-06,0.92,0.134,0.396,182.051,6gWUB6hS6SuyvaKzYAltn8,282676
0.18,0.979,-1.169,0.134,2.54e-05,0.0108,0.329,0.519,93.852,4PFn8XOYbV4zlWr4Jhu7XX,185319
0.408,0.993,-0.574,0.161,0.00525,1.22e-06,0.225,0.386,169.969,32FxL1gNFABVzfK4gK2Ate,215294
0.606,0.349,-10.032,0.198,0.0762,0.0711,0.1,0.239,180.055,5b6zjsBrZCqe6RFycLz2tc,80190
0.31,0.857,-5.427,0.24,0.051,0.0,0.292,0.537,92.974,1irb49XkVPBjDpy0pckq5M,150834
0.819,0.624,-7.523,0.0665,0.239,0.000461,0.104,0.752,110.001,0lfKHiSPfnNOazjUCyjR8a,157090
0.539,0.832,-6.53,0.256,0.0101,0.00437,0.638,0.287,76.503,5hQZDntIU1PbXhmH94kZoM,188238
0.475,0.885,-4.735,0.0533,2.24e-05,9.93e-05,0.279,0.413,133.951,66bLKGXOk3kPWWHP7Tbrki,159651
0.685,0.576,-6.852,0.0576,0.544,2.54e-05,0.11,0.362,113.797,3GkZwRXM2Dsd8c25qYSmGU,236536
0.772,0.637,-6.881,0.114,0.00459,0.0,0.0778,0.54,149.906,6qNB2ChCVPepl5ZjVJJTUW,167317
0.669,0.707,-4.607,0.0668,0.00311,1.07e-06,0.0784,0.529,159.982,3I3O8aazwBKkXN6RNjY06L,130118
0.587,0.614,-6.344,0.0435,0.0306,0.0,0.399,0.451,160.075,1CfuBY3BDdKpooQ9L5zgUc,227527
0.782,0.794,-5.789,0.291,0.0416,0.0,0.199,0.755,138.965,75tFBhZ34HNOiPder8VFYt,186473
0.418,0.888,-5.22,0.165,0.017,0.0,0.218,0.384,175.924,3zCnua0vS5z5znRZANOdPD,147273
0.732,0.73,-5.478,0.0365,0.308,0.0023,0.683,0.933,139.01,1Kma7Z2DAv6tI7beez0Jqo,194773
0.584,0.652,-8.885,0.0468,0.00214,0.000291,0.309,0.448,119.887,3yuUo3VJreRdasr1erzGJM,220000
0.634,0.812,-7.057,0.083,0.0293,2.57e-05,0.281,0.294,145.996,1ud2gKMwBIK5XkePiIr16r,134640
0.188,0.692,-3.989,0.0406,4.01e-05,0.0,0.215,0.484,143.394,3NSmfa5DmtEy27GgSPScdl,160472
0.392,0.897,-6.445,0.0558,0.000105,0.000961,0.237,0.385,82.492,3GEhHEU3nkK2vGFqmKWKc3,227836
