danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.486,0.635,-6.085,0.0315,0.00247,2.08e-05,0.0881,0.189,89.715,5Fe9Bj6scJb9GDXbpyCb7q,289220
0.556,0.851,-6.481,0.0453,0.000125,0.00826,0.0897,0.435,104.943,1L2I2u02iJkQMUalrOYI19,227429
0.569,0.794,-6.521,0.0245,0.000872,0.00824,0.122,0.36,99.987,2FSV48YfUnv3veNV6Q8i7s,283225
0.554,0.697,-5.975,0.0354,0.0205,7.11e-05,0.0807,0.113,156.037,53CZ1AmFTNPQnLrzGAlw2j,140628
0.536,0.664,-4.588,0.0568,0.0333,3.3e-06,0.183,0.526,77.497,2Wyac2L7JvGA2bcDYnuVuG,215453
0.288,0.648,-8.368,0.0586,0.00263,9.24e-06,0.373,0.262,75.203,2ED9DbiSwA0Ribyu7V7SJQ,231187
0.502,0.735,-4.685,0.0314,0.00612,4.25e-05,0.0924,0.418,89.999,73tqtULumqSsGZ9wpTDTmK,218466
0.589,0.707,-4.835,0.026,0.0116,6.79e-06,0.0814,0.425,135.042,0DwURnKTWq5H52cQ9Ozavv,219606
0.575,0.893,-5.812,0.0771,0.00729,0.011,0.282,0.652,98.857,1ZhWyrGN1Sla0G79cjC0PU,120529
0.551,0.866,-6.303,0.0311,0.0729,0.0,0.278,0.89,100.016,0EXz7HFiSl396eJ4kuDqxC,191173
0.523,0.857,-4.954,0.0609,0.000789,0.0,0.135,0.689,127.923,0pZ1FgCHUAqp96352YaHNW,136067
0.487,0.884,-6.764,0.0484,0.00391,0.00408,0.0623,0.569,120.009,1QZbd8GGBMrTDjmqY7vvrn,160206
0.434,0.783,-4.316,0.075,0.00125,0.306,0.62,0.444,158.238,6KqXfrBfYfGu8rR7wfVVyV,222734
0.524,0.902,-5.754,0.0494,0.00109,0.00421,0.0649,0.635,162.297,5h9bEMs8nxLAnjn8Nk7Nxt,215573
0.597,0.854,-6.734,0.0583,0.000373,3.74e-05,0.386,0.466,140.041,4DS5aXb22EZCfFzNZV2Mdv,251983
0.513,0.908,-5.328,0.0381,0.000325,0.538,0.21,0.618,165.962,3bA5hwXnmbf7ZfleTkQ4cn,172427
0.292,0.81,-5.669,0.0422,2.8e-05,1.64e-05,0.0742,0.416,157.699,4Sh7D3tMPMy2gBDb3FeyGS,194511
0.551,0.905,-2.772,0.0459,0.000233,0.522,0.0912,0.531,116.016,0QYhsHnG4PNrx104D2Gavz,157759
0.53,0.718,-5.861,0.0314,0.00601,1.69e-05,0.0864,0.415,144.959,5yZVWUfM9QX0s3HfJ55SWl,322389
0.499,0.943,-4.607,0.047,0.00178,0.000254,0.11,0.659,129.985,7aPQS2Rk7fhBOJ8fQKGcdq,267692
0.44,0.973,-6.317,0.103,0.000195,0.0471,0.381,0.467,77.505,591M3gxvS0gc4JdZZqn6oy,255484
0.474,0.921,-6.114,0.0578,8.07e-06,2.19e-06,0.0977,0.162,130.03,6zKyrQWNFaXHwASHWxiVxO,310370
0.442,0.945,-3.587,0.0722,0.00631,0.0,0.145,0.601,93.028,3lM0Wu9V9XRrWpVEfgDEmo,198064
