danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.671,0.41,-8.192,0.183,0.921,0.00181,0.102,0.51,165.955,0zzrAsIPYKENTWOwZqYjYp,178886
0.78,0.59,-7.77,0.132,0.487,1.07e-05,0.115,0.66,104.977,5kdlxZ5skOYY3VK8RlfEIZ,206113
0.468,0.544,-6.755,0.0413,0.554,0.0,0.0864,0.296,72.957,46Q0bzrsZyD2dzZCuLq5R2,272560
0.623,0.781,-9.651,0.0373,0.121,2.77e-05,0.101,0.346,167.874,6TYFcqqQVQPb3YsgfRhvqs,269232
0.695,0.391,-9.77,0.0441,0.734,0.0,0.14,0.355,117.948,5kQCI3faUHASM28R91ksUY,209851
0.826,0.71,-7.547,0.0389,0.362,3.39e-06,0.0392,0.647,117.999,0uxTfF35vomzEtb7sHlP1N,275228
0.741,0.819,-5.189,0.0708,0.104,0.0051,0.427,0.86,92.332,0Kb87SCKl8pFyKm0yD9TYf,163122
0.663,0.412,-9.155,0.03,0.0771,1.32e-05,0.0814,0.451,84.012,40BMID1JwcJZYeTS1t6stp,248242
0.798,0.742,-5.588,0.0467,0.0256,3.68e-05,0.0749,0.934,139.996,4ZU4yHDLZcMcy8BF6Y89fu,198857
0.538,0.307,-11.741,0.0302,0.701,3.52e-05,0.239,0.586,184.089,7yZc2gKENILqeJWofabYNF,257657
0.518,0.713,-7.644,0.0565,0.393,1.03e-05,0.118,0.487,87.807,7I2GzEUE2hADoq9uuAvYh7,267611
0.624,0.526,-7.066,0.0316,0.631,9.55e-05,0.26,0.642,153.953,7ygixJ8FptOv80Ot2KadAN,299259
0.791,0.761,-5.76,0.0392,0.231,0.000626,0.367,0.797,111.663,29KS7kBSU77PrYGB6RVR5O,139294
0.756,0.821,-5.514,0.0415,0.0796,4.14e-06,0.0427,0.873,95.007,5ZsSIC9ea0OEi7gMMv7b1t,228853
0.736,0.874,-9.341,0.0741,0.179,8.71e-06,0.0694,0.665,97.019,6DdXM6uwl9XuGIVwP7bXOx,203016
0.516,0.675,-4.517,0.0287,0.137,0.0,0.178,0.443,129.963,6yVGUtmHwDsqqXs1Lak423,196651
0.479,0.488,-8.249,0.167,0.795,0.0,0.116,0.267,96.958,3qRGs7H1bPfshHh19syRKQ,231735
0.566,0.552,-9.276,0.0497,0.0522,0.0,0.0696,0.508,84.01,2VHp98YYcFKrAy09IaiXN2,356653
0.541,0.517,-11.619,0.0891,0.123,0.0,0.0817,0.427,149.939,05nDuLXu5ejNOM05LNbS8a,279458
0.808,0.589,-6.492,0.115,0.102,0.000694,0.107,0.463,102.992,2z1J38i6dM0v535hiwb3Y8,227587
0.744,0.888,-4.88,0.0552,0.0904,0.0,0.324,0.611,104.996,4IMYgmXkjzzOmbDNbQZnVe,212571
0.631,0.57,-7.858,0.0759,0.308,3e-06,0.128,0.493,82.972,6a4l9CrvajT9qtcFAY9oxk,206000
0.704,0.885,-4.56,0.035,0.227,0.0,0.26,0.884,124.977,6ojYumgu8f7i15xshyg6Bj,213653
0.895,0.796,-5.674,0.0445,0.212,0.000113,0.0344,0.933,105.996,5zn9ZT7dKnRX5fnYvb3loq,199288
0.67,0.729,-4.888,0.0614,0.508,0.0,0.0722,0.803,81.039,2vDpvr0qJ7ZtisvUeV0FT9,210370
0.478,0.856,-5.394,0.18,0.2,0.0,0.0995,0.55,99.956,5QUsDMbLJc8b4h4gNXIyxr,237600
0.515,0.411,-8.838,0.0368,0.311,0.0,0.056,0.405,81.944,7h7FKF2JBDa6xChi3z9KxC,228000
0.514,0.365,-13.129,0.0955,0.863,0.000933,0.132,0.53,175.871,6sl5f589BUW7wz9EWpJG9Q,209429
0.373,0.904,-4.658,0.065,0.652,2.85e-05,0.134,0.756,169.936,2QK9spxKFUWe7zeirPHf5O,302028
0.606,0.643,-3.438,0.0608,0.0728,0.0,0.11,0.752,169.847,4Yhx7H7UOXbwsyXwm8ASm7,146824
0.574,0.58,-8.965,0.0468,0.428,0.0,0.196,0.566,176.149,6BfyXjWvjdUR7lZF5ekXh1,158864
0.78,0.657,-5.503,0.0332,0.299,3.79e-05,0.165,0.719,99.984,5P1lXXSESjRau7dg9l6egg,195048
0.565,0.809,-4.066,0.138,0.432,0.0,0.238,0.71,169.929,31bpBRmlNCe4XFvci7EXNW,220588
0.764,0.934,-4.662,0.042,0.187,1.86e-06,0.243,0.732,122.039,3dKgDjL69KuoyMNeYfUbWJ,251064
0.83,0.252,-14.821,0.0943,0.936,0.000183,0.0847,0.498,123.887,2TyixRw1j8Ojuh29akRROH,188226
0.674,0.896,-6.371,0.134,0.0887,1.1e-05,0.102,0.56,96.986,0BPqBuNdkz210zBh9AbC4m,288311
0.658,0.339,-10.672,0.091,0.496,0.0,0.176,0.299,129.886,2IhPJapsl9WFLBFNhWZp7q,253385
0.866,0.815,-6.19,0.163,0.603,0.0,0.0813,0.863,100.0,2b6UTABkSjxidB4zavLW4Z,164516
0.621,0.965,-3.887,0.0431,0.00248,0.000169,0.119,0.809,144.971,093CMFUwvPyFIsjBsVfBPO,315640
0.734,0.895,-2.775,0.0382,0.0281,1.14e-05,0.0858,0.524,126.044,4t3BgID893bIAXxcCdux4y,316265
0.793,0.741,-5.495,0.0314,0.568,0.0,0.235,0.52,106.016,4qzZfVfmn8eSIRjHANyacT,262925
0.654,0.71,-6.346,0.0629,0.105,0.0,0.0609,0.419,140.012,63SfVFcA5kGYX1qJKRHhXR,197197
0.439,0.2,-14.996,0.0362,0.939,0.0002,0.105,0.299,119.187,1REDzEvjAiI9TRvE2kwN6o,228053
0.68,0.81,-3.043,0.131,0.00823,1.15e-06,0.0612,0.442,169.796,0ifZ1W4CLyLdFzI29hmQFM,189176
0.559,0.749,-6.017,0.0767,0.178,5.57e-06,0.0744,0.52,175.94,2LFXoehu5ZfYXnKob64neu,248784
0.674,0.884,-4.563,0.043,0.000387,0.0577,0.18,0.477,119.983,3AwmOjkzr9WZUqEewrskM1,155999
0.625,0.585,-8.747,0.0367,0.245,0.0,0.0659,0.461,163.925,5BiSAqXhrMRoxvDd34vBXT,272433
0.773,0.456,-5.339,0.0754,0.681,0.0,0.118,0.471,124.918,5U7cXLPY3RyLxKF5bVGClf,200171
0.489,0.468,-7.627,0.0364,0.068,0.0,0.147,0.18,141.934,0IVKMWovu9jtiHDRKn4HvE,343377
0.662,0.637,-11.113,0.0396,0.543,3.25e-05,0.0887,0.768,186.732,3hQT53VbsScHcmOgZZs9I7,344137
0.782,0.863,-3.762,0.0424,0.505,4.83e-06,0.179,0.871,101.999,6lUgUYvwmJSzXBR1drpxKh,202647
0.769,0.669,-8.193,0.0497,0.191,0.0,0.39,0.689,130.077,2ijApNHjp90HBYZLZKVCue,190171
0.686,0.42,-7.57,0.0345,0.609,0.0,0.16,0.487,128.036,4WI8gWUhvwXSN9sBSUDF87,244322
0.782,0.722,-10.249,0.034,0.0207,0.0,0.0514,0.863,116.983,6dzfREL5EwPZxPGIgKsieT,291593
0.735,0.868,-1.138,0.0303,0.0477,1.11e-06,0.0592,0.781,136.019,4lbXJ51VeYp8WA7JuOEzWP,304413
0.519,0.531,-6.56,0.0546,0.781,0.0,0.183,0.42,149.865,5KOrRI5QeDrUEhRdmeijtP,152856
0.913,0.642,-7.116,0.118,0.0476,3.56e-05,0.114,0.599,100.017,5v5DvfdykdjmzgA3t9pnGg,169800
0.75,0.869,-7.727,0.0416,0.375,0.0,0.352,0.971,125.033,3N6DYmCVTZs2Oy4arj7RqN,200088
0.539,0.506,-8.266,0.0269,0.69,0.0,0.119,0.422,109.958,2P2jPhzQiHlm2yVg5E1RIw,226909
0.421,0.466,-7.099,0.0528,0.0971,0.0,0.0849,0.314,71.594,2md803CYlkw5ALEyeypWIP,263718
0.877,0.762,-7.07,0.108,0.111,3.26e-05,0.337,0.589,126.01,6lCoHq4ZBVAVSk83G55nnp,257695
0.424,0.419,-12.308,0.0754,0.922,0.054,0.093,0.315,78.364,6gnc89GTUe5Y8hfdNY2z73,251728
0.537,0.44,-9.538,0.0322,0.444,0.0,0.0982,0.296,120.089,4Wq3uwziBYLuc609Xzf8eS,233221
0.397,0.483,-7.163,0.0298,0.897,0.0,0.0952,0.421,153.633,4K9YhPUMPdCWVGUjU5z6fT,245455
0.674,0.545,-8.398,0.107,0.0204,0.0,0.147,0.278,93.989,1QEg5Sqt8VCGDuuJl1hlAF,175532
0.524,0.684,-6.071,0.177,0.503,0.0,0.0936,0.64,159.997,6T2rewl8ekzcdP5KQGW5K1,317250
0.695,0.463,-14.094,0.125,0.416,1.32e-05,0.353,0.622,100.046,0Tiq0Glqoi6AFMpiLRLX8M,272576
0.656,0.749,-7.357,0.033,0.335,7.34e-06,0.12,0.61,98.011,4xVzoQG6nCGk8WYEg4rZPm,265561
0.703,0.63,-8.396,0.0405,0.515,0.000318,0.0848,0.286,96.994,0K2otoPYgrFaUtynZl6HjU,238293
0.692,0.43,-9.594,0.0327,0.735,0.0,0.186,0.516,143.867,4TESi8O8ReCLnBLNYZ0aVg,193887
0.579,0.618,-11.0,0.261,0.32,0.0,0.0992,0.691,174.999,1tKPUMbKrJ7lHpnHW1jc1w,268121
0.443,0.436,-8.922,0.0925,0.709,0.0,0.14,0.449,184.215,72MgKDXeRf7NRQ2kMUmags,252065
0.438,0.613,-7.084,0.301,0.107,0.0,0.157,0.652,183.953,4joVFoiSsaXPYo5ef4SFI3,201288
0.768,0.812,-6.52,0.0445,0.315,4.34e-05,0.114,0.89,112.031,1CEYTW1P2mKpZgxouGDw8f,195536
0.581,0.281,-17.551,0.0361,0.525,6.69e-06,0.336,0.694,77.989,2KrYv8uYw6jFzGWs2ixjGj,293268
0.923,0.893,-2.232,0.0394,0.144,0.00434,0.282,0.799,105.02,2d1YGwEyCdZWSNUq8RdNOF,166857
0.827,0.779,-9.811,0.0514,0.254,0.0,0.205,0.904,127.984,4y00bqXve4lCihGkIhXd20,218709
0.564,0.553,-8.684,0.0305,0.491,6.14e-06,0.113,0.449,136.017,0Hlhi6mfGN3qGDg8JBCQgF,195300
0.396,0.569,-9.587,0.0402,0.534,0.0,0.0803,0.291,137.691,1eQhGhTPJq2MHhDy6jagtP,417228
0.847,0.798,-4.783,0.101,0.305,6.43e-06,0.0794,0.791,115.019,1elQRhX2LeoWf6QdNbzksN,180491
0.692,0.745,-10.589,0.0383,0.137,0.00238,0.0894,0.809,148.416,2OTxhOuz8c1s7um0tgumox,293056
0.295,0.498,-6.853,0.0386,0.831,0.0,0.0624,0.353,140.4,3eH1uXt3nQ59RSCBtCEzif,205160
0.696,0.527,-9.603,0.313,0.579,1.05e-06,0.126,0.687,180.023,4RoDdFZXuhFkJ6zsCmv1gd,173333
0.772,0.641,-7.197,0.0715,0.235,0.0,0.0419,0.863,93.013,7arsxgfPgULHOa5rsENcZI,210323
0.62,0.813,-6.09,0.12,0.439,0.0,0.103,0.147,99.969,2KDcnJ2ooNZUIHiHTnWE2b,220800
