danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.406,0.418,-6.302,0.0366,0.551,0.0,0.0737,0.468,126.264,1caKQ2Nqtr1eoczaB83cUz,144428
0.374,0.727,-4.352,0.0309,0.237,0.0,0.134,0.283,155.127,6F9yAYUaNbUhdlQyt5uZ3b,257027
0.473,0.657,-6.278,0.024,0.0454,2.41e-06,0.068,0.294,74.996,3hbTkJ0yFzHbawnKyhvTQj,224973
0.422,0.267,-9.533,0.0281,0.86,0.0,0.142,0.432,171.725,0xXhgLXfEHnWJHVgRvFvdn,163333
0.724,0.443,-3.743,0.0329,0.73,0.0,0.101,0.763,97.194,63Zaf8Rci6eOUPqDQ4fUFx,177791
0.77,0.373,-6.931,0.0328,0.317,0.0,0.217,0.293,131.975,2G74yhtIMW8tJY5I83dS4Z,242027
0.452,0.523,-6.453,0.0625,0.563,0.0,0.233,0.363,173.85,4OyzSXRSadNQt5EMwASdap,193827
0.515,0.387,-7.343,0.0567,0.689,0.0,0.126,0.312,135.739,2nejvFyJeTDtMRP2nUMt0J,239427
0.629,0.703,-4.875,0.0504,0.519,0.0,0.11,0.402,144.016,6kQYMqjobmB8MkWwa9OUyA,290973
0.497,0.619,-4.811,0.0322,0.47,0.0,0.0708,0.756,159.996,0bMVCO35RJiUhAfvFsLjIF,210440
0.622,0.117,-10.055,0.0382,0.969,0.0,0.0871,0.315,120.984,4brw4anhV4og38Rv6o1dBa,242447
0.641,0.593,-7.884,0.0264,0.46,0.0,0.169,0.437,119.828,6vPAmoERUMRoTZaCCSWQ12,281000
0.816,0.549,-8.649,0.0312,0.791,3.4e-05,0.117,0.886,111.032,74KqkyHbpneHF6JT8EwUOO,198333
0.708,0.752,-6.68,0.026,0.0813,0.0,0.204,0.599,110.001,1EZypwk0xcj64ZLAglhLs2,265627
0.602,0.398,-9.503,0.104,0.807,0.0,0.703,0.603,126.285,2UypFzxfaYgMUnQX2k4qtj,305120
0.567,0.333,-8.818,0.0258,0.714,4.53e-06,0.25,0.208,139.807,6ZEVQ2whiJvhjCNAOJ0DC3,214133
0.389,0.443,-8.546,0.0304,0.571,0.00178,0.114,0.0888,76.54,2DAsLftcRKP3iarCPmI1RY,229853
0.519,0.419,-6.276,0.033,0.457,0.0,0.161,0.266,140.033,7sRXhReWmJF5pqyg3uUTES,247187
0.585,0.132,-12.731,0.0751,0.937,0.0,0.106,0.454,151.968,7HW5tUjaKxBUamSi7nnzPt,159172
0.61,0.637,-5.881,0.027,0.61,0.0,0.0952,0.322,128.863,2bvO1KXbUd4vySCWGNqIIa,272200
0.725,0.478,-6.814,0.0752,0.866,0.0,0.105,0.399,80.127,3w6HBymB6v99gmhz4aiX1g,201600
0.589,0.696,-5.547,0.03,0.137,1.51e-06,0.226,0.249,126.018,6W8Rl6LMWjCL17EvLlkyxc,216000
0.533,0.559,-6.574,0.0321,0.228,0.0,0.217,0.284,136.037,2jFglF0pDwhrrXmeWZvmKY,233493
0.384,0.327,-10.631,0.0357,0.823,0.0,0.164,0.175,147.667,4hsISengUD6beOi6kUIcXl,248640
0.31,0.663,-6.075,0.101,0.443,0.0,0.609,0.407,172.768,4lerOTNr2tFWJCAmmhymhi,239400
0.395,0.601,-5.322,0.0384,0.51,0.0,0.0801,0.35,179.511,7kkJnzW5TlGwzYYcps0Qv9,211947
0.565,0.39,-4.959,0.0556,0.817,0.0,0.126,0.708,163.781,3eJMSq78dDaFb7VvhNFnq6,193700
0.409,0.574,-8.112,0.0415,0.792,1.28e-06,0.0915,0.55,151.979,1Y7q2zwCBjt9zgIHZ0Ku7J,249667
0.416,0.369,-11.675,0.031,0.747,1.43e-05,0.123,0.17,66.302,7wUt1v2ddVqPayC8EKDp5P,234773
0.802,0.313,-12.157,0.0288,0.714,1.16e-05,0.111,0.487,104.931,1j5NOlhczuiPnZdT6aovgY,211907
0.597,0.46,-6.941,0.0251,0.537,0.0,0.127,0.217,144.001,37miw1ff4zH0LDuFrBvZ4i,219939
0.601,0.268,-12.11,0.0291,0.368,0.0,0.209,0.241,76.982,2S0XH9R1BVZhbcy7j9yQbx,187667
0.791,0.782,-4.973,0.0289,0.143,3.7e-06,0.107,0.635,115.992,2JBs412fpVUuzIaIp3CyIs,264720
0.76,0.772,-4.529,0.059,0.42,4.89e-06,0.111,0.604,143.942,0ZqhB08GsFc4xfV07AsXzE,219760
0.537,0.462,-7.501,0.0289,0.574,9.75e-05,0.108,0.356,136.634,3OK8WgNRmp4F3ahXe6XX6l,307867
0.383,0.482,-4.979,0.0286,0.458,0.00381,0.121,0.181,143.916,1Agu4u8a8Qm28zq5JtwaVv,228920
0.42,0.481,-8.284,0.027,0.276,1.55e-06,0.345,0.376,82.112,0bK3jxkbq5cDKWr68KtO8G,190606
0.317,0.361,-7.628,0.0483,0.0742,0.0,0.102,0.209,77.589,0GNWo2IgoBKdk10gdnaSVk,182520
0.594,0.457,-8.673,0.0303,0.612,0.0,0.1,0.205,117.989,2425UlXvkIkAEJAtAd8ROm,266667
0.537,0.454,-10.632,0.0315,0.566,0.0,0.583,0.378,125.619,4Wg6Ggb6DY8OmlFQvvHO9b,250200
0.72,0.302,-12.02,0.0324,0.841,0.00451,0.109,0.423,131.989,0J6dOwflFSy3h1AoKmkqKc,285040
0.691,0.448,-12.501,0.0288,0.238,0.00191,0.167,0.682,77.899,6rtHT1rKFnDZL4EksdLY0t,299627
0.35,0.628,-6.004,0.104,0.257,0.0,0.122,0.552,184.801,1ISamB2lPDAeKb4Js2hLgq,219198
0.566,0.488,-8.595,0.0301,0.265,0.0,0.11,0.36,145.924,3iVu49ZmRHsCdRA0RTGUkP,218232
0.768,0.529,-6.758,0.0405,0.79,0.0,0.2,0.517,119.953,609SDGj0txmlAXRrpwee9Y,221947
0.616,0.597,-5.328,0.0415,0.691,0.0,0.104,0.362,165.508,15f8Cv8RXUlOOCIf2oaceN,224067
0.602,0.506,-7.578,0.024,0.425,0.0,0.125,0.531,95.006,2quTytCTP9kKLvpveyO1mt,249000
0.429,0.342,-8.828,0.0372,0.599,0.0,0.13,0.308,150.245,55CJCECkPMd9ZhGr4JOKn7,208600
0.563,0.23,-10.062,0.11,0.877,0.0,0.118,0.334,180.086,4et8cFiIp4NPpWfULoukzc,216000
0.676,0.498,-7.496,0.0342,0.821,0.0,0.127,0.391,129.981,6RLB0Jw4gg5uYpHyekjQSI,172309
0.487,0.478,-5.91,0.0536,0.704,0.0,0.121,0.288,137.799,4jMu6QYon1JEikcdTJ1TzR,191427
0.724,0.32,-9.727,0.0627,0.331,0.0,0.0725,0.426,134.048,4iuQ88fgaqBRkzb1JWKUbZ,213573
0.75,0.46,-7.932,0.0334,0.457,0.0,0.0996,0.201,130.078,5J5uyhoBZxJwmjy2Zg6DgF,174533
0.399,0.53,-7.176,0.0532,0.479,1.36e-06,0.0719,0.351,76.827,5c1w6xM8pFvXhMXQVUY42Q,307053
0.515,0.426,-7.935,0.0351,0.692,1.01e-06,0.121,0.319,184.145,3NGG1do9lT815M5REcCzzm,236493
0.771,0.382,-6.808,0.0514,0.148,0.0,0.104,0.535,94.931,5BDP2tky8oMQJPS33frKVp,164440
