danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.306,0.476,-6.322,0.0354,0.332,2.49e-06,0.244,0.368,71.833,3BtjI4eHea41g6x2B8Z1Mp,235480
0.739,0.745,-6.658,0.0267,0.21,0.0135,0.127,0.949,109.326,1p7m9H4H8s0Y7SgRm7j3ED,277653
0.696,0.445,-9.114,0.0316,0.463,1.72e-05,0.0918,0.591,94.984,61qPUnazSdkvua4wgA4L8C,240520
0.738,0.8,-3.366,0.0283,0.043,0.0543,0.595,0.532,122.858,65DBZofI0b79kfHTcWWDuU,200800
0.816,0.549,-8.649,0.0312,0.791,3.4e-05,0.117,0.886,111.032,74KqkyHbpneHF6JT8EwUOO,198333
0.495,0.596,-5.45,0.024,0.14,0.00316,0.114,0.284,94.119,1rh4kDY9T4fHVDum8Foi5k,233747
0.769,0.581,-5.952,0.0273,0.189,2.02e-05,0.271,0.742,120.033,7c7e0Gr9AOzmJ8rDvOknI1,192227
0.679,0.368,-15.449,0.0251,0.689,1.02e-05,0.28,0.736,104.931,2qBirMakpTdz9ymxrZEyzg,160867
0.401,0.937,-6.243,0.164,0.0762,0.00154,0.269,0.696,148.036,11dn3mAagE0hOvd35rBNeV,342520
0.554,0.672,-7.489,0.0291,0.0169,5.42e-05,0.186,0.285,111.963,10zSgbysU2KyVTrcRmtu62,283884
0.709,0.787,-6.3,0.0279,0.0891,0.0,0.149,0.874,118.001,0ZAJ660VP57lLK4U7NlGOy,260371
0.687,0.387,-9.842,0.0273,0.203,0.000335,0.0913,0.602,112.722,2jEjxOyKqMpkcThWl697hf,185826
0.643,0.813,-5.976,0.0272,0.0204,5.48e-05,0.131,0.706,131.997,67Q93kXygxCskeQiIP0V0j,289654
0.444,0.471,-9.107,0.0322,0.00161,0.00159,0.14,0.205,76.335,6gwaa6ElIixNTvu6RwkMyo,273800
0.652,0.577,-7.877,0.0328,0.0264,1.17e-06,0.0758,0.662,120.037,44m9PAUZYeOEGeaTYh6NAl,298000
0.626,0.389,-11.609,0.0254,0.677,1.12e-05,0.117,0.656,97.708,6rg1MBZqggsQ5olFGTw0rr,212880
0.418,0.558,-7.953,0.0256,0.104,0.0,0.12,0.523,83.907,6cFf4Jfy7ThUwGzbqFcZsx,284532
0.636,0.593,-5.181,0.0567,0.303,1.41e-05,0.108,0.742,145.972,0C9V5jMElp7laZZdsCHufD,237547
0.559,0.711,-7.186,0.0269,0.333,0.00219,0.394,0.769,155.934,7q7XFO9av9VpNJSXKJwJxD,250358
0.44,0.402,-11.553,0.0328,0.055,0.000117,0.101,0.204,171.903,3MLYtPOOPhzmmsL5yLLFqu,296914
0.486,0.764,-4.195,0.0328,0.0679,0.0244,0.0642,0.387,114.729,2zogXcCqvKJwh3o67W3GG3,259187
0.476,0.456,-7.41,0.0316,0.556,0.0,0.104,0.46,84.052,1Ig4pCPanhzXl7C86MmBUc,161133
0.632,0.717,-6.924,0.0272,0.0253,0.000661,0.191,0.832,161.011,0WuKq2LiraBFney78dzwoc,256191
0.532,0.884,-4.941,0.0398,0.148,6.76e-06,0.154,0.781,128.074,7qIw4D1PcDHigDohKkLB0W,235560
0.626,0.632,-8.036,0.0285,0.257,0.0,0.829,0.651,128.01,68cko9zdsKwaxgb98sF36S,202063
0.63,0.679,-4.423,0.0392,0.105,0.0,0.241,0.774,92.02,56mbNpJVn5WQhOlsOvb2A0,263933
0.558,0.73,-6.664,0.0278,0.0293,4.94e-06,0.475,0.873,127.973,60IzIxSuVAtU71yCmHjxHH,181827
0.518,0.806,-6.57,0.0291,0.00683,0.00462,0.065,0.662,129.465,5exsngywf8qMS6f00gKVWY,176173
0.602,0.819,-6.219,0.0316,0.0811,0.000636,0.565,0.389,117.004,6lUBD8XA38zIFt6C0giPsP,217107
0.648,0.535,-12.239,0.314,0.286,0.0,0.073,0.589,176.114,3obYcaXHdTB1EvZE3PVQhd,186467
0.398,0.906,-5.965,0.0474,0.0104,0.00117,0.15,0.537,126.829,3qSsdVel7dNcpW4khZejHa,248400
0.364,0.55,-7.179,0.0329,0.421,3.89e-06,0.961,0.206,73.398,1lcwoylQLJUtl2pNNdZQ7p,295160
0.694,0.735,-6.914,0.0298,0.113,0.0,0.223,0.408,125.979,3i22RR1yUia5ShKujgQcX3,202360
0.553,0.344,-13.237,0.0292,0.297,0.000453,0.236,0.293,87.432,6hmYi0E6EBEmDeztQHaH0C,204467
0.55,0.413,-9.489,0.0269,0.359,0.000102,0.118,0.401,124.918,6guoJhM9n5Fm7npXJ1rfsM,264840
0.466,0.536,-6.308,0.0281,0.273,0.0,0.122,0.464,74.688,5pKVGrmItsCubKWTrYpxSZ,194027
0.809,0.539,-7.272,0.0358,0.259,2.82e-06,0.108,0.707,104.965,75Yc1MhQiQEBGJvyciJQAy,302731
0.666,0.85,-4.704,0.0281,0.0117,0.0,0.294,0.741,121.026,5lVxdKsJkQClhBLK7lfurE,247419
0.646,0.812,-7.809,0.0291,0.00243,0.0531,0.243,0.927,120.04,5l6HQ03qnofn7Us7cADWQg,272480
0.683,0.583,-13.968,0.0273,0.26,0.00125,0.0914,0.82,116.808,3YLIsu2NZxqfEPj4ADA7WX,178800
0.527,0.331,-8.062,0.0292,0.681,0.0,0.115,0.415,80.007,4jsWMUBxGEKn6usvMIO1R8,208587
0.619,0.593,-7.614,0.0264,0.809,4.52e-06,0.0545,0.889,141.529,3JE8qYm4luylvVnhVuUfvC,330827
0.635,0.632,-8.769,0.0305,0.0205,8.09e-05,0.197,0.547,103.022,4MYOJ2AhfzdoPAjwHg79LS,342160
0.694,0.466,-10.659,0.0441,0.132,5.94e-06,0.562,0.655,111.231,6pCZYiB2ZoLfDuapZbpKl8,186467
0.539,0.924,-5.723,0.0389,0.405,0.0,0.242,0.839,128.3,75ri6NVvxCULgNRrbGkfzj,215387
0.509,0.374,-9.554,0.0285,0.593,0.0,0.0667,0.258,94.954,0pvHj0RHMGZ7JBOYh7Kmsk,269012
0.421,0.579,-6.741,0.0339,0.108,7.12e-06,0.118,0.233,159.861,3nLL7rb00qmExkNTyJJqSv,271332
0.612,0.537,-9.659,0.0284,0.0052,2.24e-06,0.251,0.591,101.769,28lnhTSWkiBngKkT1ik12n,338000
0.684,0.659,-7.099,0.0435,0.512,0.0,0.265,0.592,91.661,2vAwpcT3V607tEib9booQZ,291493
0.436,0.83,-5.657,0.0395,0.00519,9.02e-06,0.165,0.597,96.884,2rEAG7lKACyW5YVS3KsNoN,295773
0.643,0.786,-7.328,0.029,0.0273,0.000266,0.931,0.698,121.968,4PZVup7z7oXGhwvzsygBMw,276853
0.633,0.717,-5.586,0.0285,0.123,0.0,0.33,0.545,113.992,0lZLhOrIYSAnMeEICJnYSH,289333
0.682,0.592,-5.531,0.0413,0.244,0.0,0.126,0.688,117.599,3riky2BtRX9TeZJHEHE5Eq,281267
0.416,0.668,-3.149,0.0328,0.0363,0.000723,0.0949,0.349,75.036,5jU0mt57ZibD3Us55vMs9Y,328747
0.614,0.722,-7.49,0.024,0.325,0.00262,0.244,0.683,106.602,3JPweQejF6fiEtWEJe0qsa,296133
0.763,0.585,-5.907,0.0282,0.0255,0.00637,0.29,0.82,116.012,2uHzhOP2cyjkWR52u7Z6O0,254547
0.623,0.84,-5.345,0.036,0.106,7.72e-05,0.18,0.821,133.981,1EmLmTBlskZfF4X2XkEn3P,160370
0.719,0.654,-5.541,0.0272,0.0878,0.0,0.0971,0.488,123.03,1yB0GiaDvlGfLDJlaHSJyl,194343
0.6,0.819,-4.683,0.0364,0.0158,0.0,0.0935,0.801,111.346,32YkpyPZ6taMEEb8TBLcrr,317067
0.652,0.503,-9.582,0.0243,0.0304,0.000137,0.102,0.567,107.995,6XaH8Mw8EvzVrFQ5ww5rLm,336547
0.497,0.649,-10.205,0.0334,0.0145,3.78e-06,0.0477,0.567,115.357,0zLv81RNFByXTZ3wu91y1R,363120
0.707,0.609,-8.687,0.0425,0.14,4.01e-05,0.377,0.643,97.039,0hWL7RaBdVEXjd2RYVSJPp,182614
0.393,0.37,-9.921,0.0314,0.767,0.0,0.175,0.315,185.925,0rL9XFxw3b9bRUqApteFiD,158067
0.267,0.306,-14.301,0.0337,0.821,0.0,0.156,0.342,65.265,47rrhPXwe6sfKtIDwJAsO4,163280
0.749,0.359,-12.749,0.0415,0.664,1.34e-05,0.0871,0.523,105.982,3EissuXjQZQrjpHh8gRCG1,286240
0.609,0.495,-10.328,0.0325,0.0422,0.00302,0.305,0.272,92.035,7ERzS9KIggtCp9oslPzEc0,341827
0.762,0.579,-5.918,0.129,0.135,0.0,0.0785,0.695,148.301,7aMBK1r16NAACeiJHsb9cf,222707
0.532,0.466,-9.593,0.0269,0.6,0.0,0.142,0.285,112.035,73J1IrrirnxKM6wk5JfIcV,328813
0.632,0.606,-6.482,0.0281,0.501,0.0129,0.107,0.775,108.023,60FasBAOZzjNCSoljbbASM,221946
0.446,0.534,-6.895,0.027,0.157,0.0,0.087,0.284,136.955,0Nylt3biQgd30wwgGqFCPm,233869
0.532,0.511,-7.085,0.0363,0.674,2e-06,0.109,0.593,114.043,09T8jYEV0b1z6tqghjTBZO,320947
0.512,0.764,-6.924,0.0293,0.00606,5.19e-06,0.196,0.386,147.981,1zW0pOzZmq4TjEbIDZiPed,279441
0.582,0.733,-5.85,0.0424,0.0345,0.0,0.384,0.463,147.874,5kDOkt2XCum4V4mlITOX7u,219773
0.58,0.72,-6.543,0.0288,0.0333,1.38e-05,0.115,0.536,133.021,52Dq7xuXXP66zCJLTf94K8,237035
0.609,0.206,-10.565,0.0322,0.877,0.0,0.0949,0.45,134.713,53O5lFOaitGbeEfb6OMFxs,136512
