danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.501,0.378,-9.37,0.029,0.735,0.0,0.119,0.178,119.987,4FCb4CUbFCMNRkI6lYc1zI,257733
0.583,0.545,-11.698,0.0351,0.232,0.0,0.133,0.801,153.249,2R7858bg0GHuBBxjTyOL7N,302600
0.476,0.381,-10.238,0.0342,0.727,0.0,0.0614,0.33,121.948,3gsCAGsWr6pUm1Vy7CPPob,286920
0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,7BqBn9nzAq8spo5e7cZ0dJ,220734
0.668,0.44,-10.607,0.0801,0.822,3.98e-06,0.0901,0.127,107.091,3iXhLi33EpUfcOwasC8un1,213200
0.42,0.398,-9.13,0.0296,0.755,0.000537,0.172,0.364,88.897,0sjxRg1VlYfx4YG7uxurrq,155027
0.361,0.219,-16.553,0.0285,0.563,0.0,0.558,0.26,98.532,1jFhnVoJkcB4lf9tT0rSZS,216267
0.487,0.246,-14.104,0.0376,0.414,0.0,0.0983,0.0562,61.084,0mHyWYXmmCB9iQyK18m3FQ,251107
0.262,0.422,-6.555,0.0374,0.734,1.17e-05,0.114,0.0957,76.177,0UcPuBlICvhGbCjnGOHyHj,331800
0.744,0.453,-11.977,0.0348,0.627,0.421,0.0898,0.122,103.773,1PEqh7awkpuepLBSq8ZwqD,239960
0.801,0.505,-7.518,0.0326,0.361,3.89e-05,0.271,0.536,128.021,0d8umBN0EQqPyYPWFnUM22,175227
0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,38zsOOcu31XbbYj9BIPUF1,241787
0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4eHbdreAnSOrDDsFfc4Fpm,271093
0.294,0.528,-10.01,0.0471,0.234,0.0,0.147,0.452,200.813,6Ro2z4RtAUew9Kz2HZWZUi,284907
0.634,0.64,-6.554,0.0264,0.199,0.00029,0.0697,0.464,121.429,76SXRuctCDXlL82Mkh5yJm,202440
0.456,0.573,-3.866,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,3TCauNPqFiniaYHBvEVoHG,238560
0.477,0.471,-10.036,0.0277,0.193,1.76e-06,0.131,0.423,81.204,1JLn8RhQzHz3qDqsChcmBl,304787
0.497,0.719,-9.397,0.0266,0.0613,0.0,0.411,0.547,95.769,15MJ5NThPjj6xhPcts8MiY,255733
0.537,0.602,-8.937,0.07,0.326,0.000115,0.0548,0.509,180.077,6qlpXtA29VcxCNgLWR5IWx,254093
0.653,0.429,-10.473,0.0297,0.0849,0.00371,0.0693,0.627,146.073,7H3ojI1BsVy0dEJENqMt1k,274933
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560
0.583,0.584,-5.362,0.0314,0.254,0.0,0.123,0.136,140.039,3f3omU8n47Mqyab5nCaGyT,219493
0.534,0.442,-9.442,0.0308,0.788,0.000351,0.0986,0.343,136.369,6fkvIT9KFKxO8poBeKfaEf,288973
0.585,0.494,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,1wb4P4F0sxAQ2KXrRvsx6n,212200
0.63,0.396,-9.162,0.0334,0.875,0.0,0.1,0.246,142.046,4iNPp0BZ4lBu7bipdWLcWk,223800
0.618,0.543,-7.181,0.0247,0.381,0.000269,0.103,0.135,75.033,32PIQZMbLl1p4DE9r9cW9l,230000
0.349,0.71,-4.412,0.037,0.497,1.42e-06,0.0308,0.392,138.31,2Desf0YgquK9YrSkRhkvDN,250613
0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,4JehYebiI9JE8sR8MisGVb,261640
0.476,0.412,-10.529,0.131,0.796,9.04e-06,0.112,0.209,179.783,17NQyo1HsqDX7mbzsTWMuX,270000
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560
0.544,0.578,-9.49,0.18,0.216,1.92e-06,0.0949,0.219,169.973,5EWPzyWm0b9McPS5Qyaijp,165558
0.692,0.422,-10.533,0.0333,0.0811,0.0,0.0848,0.468,74.375,2DjWsDGgL1xNbhnr7f6t5F,193120
