danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.747,0.907,-1.921,0.0515,0.316,0.0,0.0879,0.757,98.005,3LNZSTiwQYL7BnTfHvIOII,240853
0.555,0.666,-3.451,0.0365,0.694,0.0,0.107,0.843,163.954,7Gc9iCkANNOlw32jQCemjz,202440
0.698,0.829,-6.167,0.0358,0.195,0.0,0.308,0.933,141.931,03wQrSM0nV1WyPIgWvapG4,174869
0.668,0.543,-10.298,0.0435,0.265,0.0,0.347,0.671,136.459,3N6rAKpPraBOZqn9RhSrz0,153665
0.719,0.715,-3.038,0.0382,0.111,0.0,0.0649,0.668,108.008,6949gWWMFg0NWjam6SkCDA,226783
0.684,0.784,-3.395,0.0484,0.379,0.0,0.0412,0.847,80.138,7exaYYNN99DHkbZuHOZWO3,129231
0.75,0.943,-4.28,0.228,0.279,0.0,0.0808,0.779,90.095,3tddzXTgneWrkV2cYNUBZe,146240
0.752,0.702,-5.024,0.0279,0.498,0.0,0.0601,0.853,100.017,5ISajXj2M1yvkrC0KsgbR5,189153
0.632,0.775,-6.408,0.0767,0.0575,0.00147,0.241,0.821,201.021,3Iw4UVS7fo2TdD6Spmgqaj,194800
0.581,0.691,-5.397,0.0617,0.129,7.46e-05,0.33,0.964,177.797,3cyZFqR4BxcrDgBCcPHq7s,230945
0.754,0.568,-7.199,0.129,0.397,0.0,0.475,0.613,86.998,7aPSMl8bmlHtbi9ZBYbPmq,251724
0.693,0.822,-4.891,0.0502,0.257,0.0,0.18,0.83,88.74,2lWcmStzB7MbGipxM1l5l6,203027
0.582,0.621,-5.349,0.0378,0.0256,0.0,0.348,0.94,95.021,7vL8ZEvLOXXW9SiL9ulZRZ,284214
0.646,0.712,-3.765,0.0312,0.372,9.07e-05,0.0501,0.687,93.993,5Py45FF8phNy49BaehU3PC,253823
0.645,0.539,-7.031,0.0807,0.323,0.0,0.0684,0.824,69.829,2F3j0BgLcRjuAd7gAvrlQp,200576
0.523,0.757,-2.526,0.0389,0.285,0.0,0.191,0.792,86.033,0Nl0IAfEDsrk2jPxxR4ZEx,194177
0.767,0.901,-1.975,0.0862,0.319,0.0,0.172,0.751,94.023,5EHRc2WJASyZg3alJqsbqU,161239
0.593,0.714,-7.12,0.0427,0.117,0.0,0.226,0.744,81.923,5ZeRjDwpf9WdXl4X66O3Zd,243606
0.422,0.704,-5.098,0.0382,0.127,0.0,0.195,0.199,77.922,1FqNwW8ifGAJgl8Dv2CCWh,228495
0.772,0.806,-5.308,0.0668,0.219,1.78e-05,0.138,0.765,134.98,48yRazqbGXUfSpGiTPNw0r,212062
0.732,0.787,-4.266,0.0445,0.324,0.0,0.274,0.863,95.998,2srKgu7hvh8cmIWmfwOz70,200072
0.773,0.918,-3.443,0.0461,0.236,9.3e-06,0.053,0.921,99.966,4i5NFoPWqTqlsR4WyoVFtB,183267
0.662,0.813,-9.044,0.0425,0.278,0.000563,0.0587,0.96,100.855,2dfnK7rHRibkQR93iZn7Z2,243920
0.825,0.774,-3.581,0.0504,0.153,4.88e-05,0.0254,0.807,99.977,34ayIgjQsK3f7fJis67UWg,236973
0.677,0.68,-7.133,0.0328,0.171,0.127,0.124,0.889,83.425,6TjT0xHmKOq0ucSuh96SKa,254333
0.461,0.78,-4.156,0.0416,0.311,0.0,0.344,0.822,81.719,6FzRjE65s7jGPVnLbx5FSr,171957
0.497,0.629,-6.628,0.0607,0.348,0.0,0.0736,0.626,86.246,558S2P5A4Ku4bnXheLaXeG,224353
