danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,4JehYebiI9JE8sR8MisGVb,261640
0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,1CS7Sd1u5tWkstBhpssyjP,241693
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,224695
0.599,0.471,-6.806,0.0281,0.0952,0.0,0.0996,0.141,109.941,63qapUS8yLKz0tb0eOgOTF,253200
0.575,0.33,-6.557,0.031,0.416,0.0,0.0872,0.277,95.801,6QfS2wq5sSC1xAJCQsTSlj,217213
0.734,0.409,-7.596,0.028,0.246,0.0,0.128,0.779,107.453,5Ol6HmOotX5KxjhC1gkxd1,243773
0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,5oO3drDxtziYU2H1X23ZIp,224000
0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,0nJW01T7XtvILxQgC5J7Wh,213827
0.652,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,95.986,3unsLiH5FXmaDWtT5Imolu,210200
0.376,0.695,-4.782,0.0933,0.135,0.0,0.11,0.302,169.533,5yVIlYEHZxQVLyInCdldoS,209440
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161
0.494,0.632,-6.89,0.0342,0.682,0.0,0.0869,0.0797,147.873,6Up545NUflOiXo8cEraH49,274693
0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,7795WJLVKJoAyVoOtCWqXN,239317
0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,0.294,135.187,1zwMYTA5nlNjZxYrvBB2pV,285240
0.456,0.573,-3.866,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,3TCauNPqFiniaYHBvEVoHG,238560
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
0.553,0.502,-5.972,0.0409,0.299,0.0,0.764,0.296,129.976,2rbDhOo9Fh61Bbu23T2qCk,210200
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560
0.541,0.401,-10.499,0.0365,0.576,0.0,0.164,0.24,152.943,31er9IGsfFbwqy1pH4aiTP,289160
0.319,0.841,-4.232,0.147,0.0518,0.0,0.106,0.483,173.868,4tViDtaHuSLnh7HVJTrKhs,206960
0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,73CMRj62VK8nUS4ezD2wvi,242974
0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,75JFxkI2RXiU7L9VXzMkle,309600
0.543,0.311,-10.018,0.0361,0.857,0.000684,0.0983,0.134,126.86,3elOzp9X3B8vMGhJBWzbIF,204213
0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,5kqIPrATaCc2LqxVWzQGbk,237300
0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,118.402,3XVBdLihbNbxUwZosxcGuJ,228707
0.324,0.136,-10.33,0.0318,0.931,0.00117,0.176,0.0831,97.256,3pRaLNL3b8x5uBOcsgvdqM,413827
0.632,0.518,-6.126,0.0313,0.107,0.0,0.354,0.427,90.007,2jppsxdHlNHz9eK0QyYlTq,249147
0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.087,58zsLZPvfflaiIbNWoA22O,200187
0.599,0.465,-4.95,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,50Td3qilgs8BLtv8mHyT1t,230880
0.659,0.381,-5.922,0.0304,0.385,0.0,0.0972,0.426,119.844,2PIvq1pGrUjY007X5y1UpM,252227
0.674,0.81,-5.117,0.0378,0.0923,4.74e-05,0.11,0.391,94.995,1Xsxp1SEOxuMzjrFZhtw8u,196867
0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4eHbdreAnSOrDDsFfc4Fpm,271093
0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,5uCax9HTNlzGybIStD3vDh,211467
0.602,0.586,-5.661,0.027,0.301,7.03e-06,0.092,0.283,102.984,4Lxrt5692GF4aanPiqmdh8,220347
0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,2s1sdSqGcKxpPr5lCl7jAV,216120
0.551,0.537,-7.595,0.034,0.705,0.0,0.0802,0.493,126.421,5qrSlOut2rNAWv3ubArkNy,196493
0.638,0.656,-5.886,0.0357,0.188,0.0,0.146,0.225,104.036,7wZUrN8oemZfsEd1CGkbXE,262467
0.429,0.594,-6.251,0.0277,0.156,4.95e-06,0.1,0.236,150.22,1M2nd8jNUkkwrc1dgBPTJz,265000
0.765,0.29,-17.117,0.139,0.0279,0.0,0.571,0.506,92.409,0Q0IVlqMV64kNLlwjPj0Hl,298773
0.644,0.549,-5.415,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,6IwKcFdiRQZOWeYNhUiWIv,253813
