danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.127,0.00488,-35.14,0.0478,0.977,0.828,0.115,0.136,146.626,7k59hF8Vc7Ob9HYO8fnbLF,179222.0
0.158,0.003,-37.037,0.0436,0.983,0.654,0.137,0.0397,77.947,6dnW0O6xZKlPvMe7TzU1yH,153174.0
0.144,0.0101,-33.89,0.0468,0.873,0.95,0.101,0.035,140.317,0gGV5b1xukai7PntTpPFBR,164400.0
0.0685,0.00622,-38.511,0.0431,0.994,0.9,0.114,0.207,70.968,1LQlKIWA4eQqJg7KFdlyou,159200.0
0.186,0.0338,-34.438,0.0398,0.984,0.895,0.106,0.0665,61.769,4oAVmszDgIihib6QBxqjEh,163408.0
0.202,0.00618,-33.929,0.0487,0.968,0.957,0.142,0.0601,63.358,4Dduhh8xWr0XCBoVJthchN,139548.0
0.168,0.0478,-31.896,0.0399,0.713,0.812,0.104,0.0317,128.611,2kEk2uIKtoJD5r65cH7XBP,173219.0
0.212,0.0771,-28.135,0.0547,0.988,0.874,0.111,0.0387,67.145,2mPQlLpYdr2HFROOunOKH4,162500.0
0.134,0.00282,-37.129,0.0394,0.974,0.72,0.11,0.0684,75.252,59Sp3gJKprka4OfnYhCxBJ,160500.0
0.167,0.00354,-38.596,0.0493,0.952,0.938,0.151,0.0413,69.861,7C5x254psvTlNDG2mEChM8,145796.0
0.144,0.012,-35.408,0.0379,0.968,0.868,0.107,0.0597,139.605,28WP5mwpfzMw4oVSBXkWgu,235716.0
0.161,0.00168,-36.563,0.0462,0.945,0.93,0.105,0.271,71.868,595wjSvF9vZ3yiyu6yzicF,133987.0
0.0654,0.00109,-46.556,0.0414,0.991,0.831,0.0981,0.125,70.223,4x6vhZrC3BNxMtYYb0xa7z,175500.0
0.154,0.00426,-38.08,0.0425,0.991,0.86,0.0973,0.053,136.469,131a48LbaLB1vIM0YBukSU,170600.0
0.146,0.00223,-38.901,0.0418,0.993,0.89,0.109,0.0397,77.586,1t4SmpsYd5S6XoCQN3p7vv,169707.0
0.155,0.0156,-34.193,0.0395,0.939,0.95,0.107,0.0387,66.342,45rdJZmlX5VNVcBEqEO89p,185431.0
