danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.122,0.00555,-38.188,0.0428,0.946,0.928,0.122,0.129,77.012,3k5J26HJZ8tZHEGsg0s32u,158023
0.137,0.00373,-37.623,0.059,0.991,0.856,0.0917,0.14,70.936,2mH0B6EKz3XUy1SO77wfe5,188981
0.186,0.0338,-34.438,0.0398,0.984,0.895,0.106,0.0665,61.769,4oAVmszDgIihib6QBxqjEh,163408
0.177,0.00421,-36.443,0.0474,0.974,0.826,0.0988,0.103,68.498,19PlKAonAMJI24h468rBFp,178750
0.214,0.0192,-35.164,0.0446,0.972,0.77,0.102,0.0413,70.063,5Kzm98GR30X1sEYWKE2eB9,184250
0.11,0.00366,-41.748,0.0392,0.994,0.9,0.123,0.106,67.901,1kw7n9ACTz07NuIYqCm3F9,185707
0.134,0.00449,-35.249,0.0419,0.994,0.933,0.0935,0.04,72.367,3qNtyx6HFRRFsj4wF5vslr,156203
0.0867,0.0176,-34.034,0.0461,0.944,0.868,0.109,0.0372,85.178,6PSJuGFslPV78KN8OP6JJS,177452
0.0722,0.0051,-39.234,0.0418,0.995,0.796,0.0959,0.0815,72.338,3pUQApLLT0iAnxGbe1IC8q,157465
0.155,0.0156,-34.193,0.0395,0.939,0.95,0.107,0.0387,66.342,45rdJZmlX5VNVcBEqEO89p,185431
0.167,0.00354,-38.596,0.0493,0.952,0.938,0.151,0.0413,69.861,7C5x254psvTlNDG2mEChM8,145796
0.117,0.00257,-38.668,0.0471,0.981,0.859,0.164,0.0859,69.899,4XJGAjvpgN5K84TsrUoTHp,179394
0.141,0.00144,-41.914,0.0435,0.983,0.859,0.0988,0.0759,140.393,5kVu56keqlvhaeTbpaKKLM,219000
0.161,0.00168,-36.563,0.0462,0.945,0.93,0.105,0.271,71.868,595wjSvF9vZ3yiyu6yzicF,133987
0.197,0.00646,-39.597,0.0323,0.986,0.949,0.0725,0.125,69.673,08CEcXp5nqHcv4d72cGJW3,163000
0.101,0.00193,-38.381,0.0393,0.98,0.96,0.0925,0.209,70.774,4I4fBBEhpLAHvnLhacIwdg,147857
0.0632,0.00383,-38.025,0.0401,0.984,0.753,0.114,0.116,56.536,4M4pPhb3nKessOfO2luI7M,144109
0.159,0.0103,-35.449,0.0403,0.987,0.583,0.113,0.0584,71.073,6skca3GCeAwI3v9EKznj7C,185323
0.134,0.00282,-37.129,0.0394,0.974,0.72,0.11,0.0684,75.252,59Sp3gJKprka4OfnYhCxBJ,160500
0.223,0.0187,-37.936,0.0379,0.965,0.88,0.107,0.0391,69.354,7EZKkc9CWvBoB52E2g2rFP,167887
0.17,0.00177,-39.946,0.0399,0.992,0.931,0.102,0.109,69.089,6TQTn4yVTfcKogv4rW2J4m,129236
0.104,0.00302,-38.245,0.0474,0.912,0.9,0.0827,0.0398,88.824,0jBJMUnzVfdgvGudnNjTKw,168000
0.151,0.00988,-37.759,0.0425,0.99,0.887,0.0897,0.0397,137.6,5qcmNLdFifX58Gv1GurM3D,120268
0.11,0.00456,-35.651,0.0409,0.996,0.958,0.108,0.0396,74.013,0Vjq9kVZr61LfZMcVYAbxS,146364
0.173,0.0234,-33.123,0.0389,0.971,0.953,0.0884,0.119,124.428,0YVdFZrT5wVUwSVM0AbleK,143375
0.162,0.00666,-35.923,0.0613,0.983,0.914,0.0926,0.336,136.239,725z4lty7B7pcrBzg4udLU,166986
0.172,0.00946,-34.226,0.0378,0.878,0.897,0.104,0.0343,75.555,1E8X81mDNXxPlzIWGdwFmg,226833
0.143,0.0114,-32.394,0.0427,0.958,0.853,0.106,0.0685,70.634,1jNuMTWsvFvPMwyJcb30FF,179625
0.0599,0.000963,-38.175,0.0528,0.929,0.928,0.113,0.151,67.802,5ivvtayl4QgwCtjUd4JOB1,177356
0.152,0.0191,-28.133,0.0386,0.912,0.959,0.104,0.148,136.724,0zQ2Qbxic7cXWOVv9Qy98n,156917
0.195,0.00271,-36.8,0.043,0.952,0.949,0.127,0.0578,74.84,3cGW4cNhCTp8FzftakSFVy,184213
0.146,0.00161,-37.631,0.0461,0.991,0.94,0.129,0.119,72.359,4INn3PNrEaJ46wiMnjXLq6,131532
0.106,0.00137,-35.196,0.043,0.995,0.776,0.193,0.069,77.522,6Y8v8sSvSEGSZi5tkW5Nhw,218000
0.192,0.0211,-32.009,0.0347,0.952,0.838,0.112,0.116,72.829,2kVsD3DNreqNJ0CdM2ix2U,141996
0.151,0.00297,-38.743,0.046,0.989,0.927,0.109,0.0797,72.277,7trOz2nilrr7ZWGnzQsraX,165000
0.167,0.0037,-36.225,0.0462,0.961,0.892,0.109,0.0467,128.461,3TzJZVPEKdiyFcv6aKDkOg,172036
0.106,0.00482,-38.831,0.0488,0.978,0.855,0.0823,0.0298,77.113,2Vs8AIlAGaEyhh5y7vR7x7,157642
0.146,0.00346,-31.666,0.0409,0.944,0.898,0.104,0.0894,66.722,3JvHEEbo89vp4EJw0PZMPJ,199492
0.0913,0.00671,-35.02,0.0459,0.961,0.821,0.101,0.0471,70.351,1iGuSsBQT3JPnJtg0Advjz,164823
0.186,0.00439,-38.161,0.0496,0.969,0.84,0.0971,0.0355,71.786,33Gd870hCA6BtxcUsux3II,158309
0.0671,0.00423,-35.153,0.045,0.992,0.923,0.0921,0.056,69.689,2hV9i6HwEGfKq7E3worBwb,185718
0.0703,0.0635,-31.522,0.0443,0.903,0.844,0.0956,0.0706,75.97,6Vwch7baK3sLDpAjbcL0wK,270594
0.143,0.00226,-38.182,0.0448,0.994,0.832,0.151,0.0576,71.688,69JHzItxMyYakCOpqZhHUy,190158
0.0703,0.00725,-33.617,0.0452,0.981,0.745,0.0845,0.122,69.402,33jgsXDccgPQ6C4LLLPwhp,157333
0.147,0.0454,-33.796,0.0446,0.959,0.918,0.088,0.0718,140.46,4j4ZWRfaWnFou23po51hpn,188894
0.173,0.0437,-26.852,0.0437,0.92,0.809,0.105,0.0704,138.244,0e8cWeGGK506BTR56KOopd,183967
0.149,0.046,-31.213,0.0446,0.956,0.928,0.105,0.0343,70.928,76w0v1hDBWuijmwmvsGDQk,206130
0.181,0.00778,-34.777,0.0373,0.964,0.644,0.0806,0.154,78.696,02INgHwnAG8TWhv7Fx4r7E,183375
0.135,0.00607,-36.472,0.0393,0.993,0.892,0.0858,0.0893,68.103,6Db6Cz42MGCRkM28KHivIy,169353
0.0635,0.031,-36.267,0.0432,0.984,0.669,0.142,0.0795,66.377,77J5YZNzyRlIfmfx1iYGRE,162000
0.215,0.0396,-34.184,0.0417,0.991,0.902,0.101,0.0358,72.154,0dTDnqM4UuT1RMQE2l915Y,160881
0.128,0.0318,-31.457,0.051,0.989,0.906,0.0999,0.126,79.831,1s8Nw1IcBENpU7pIGOH8Uk,185075
0.147,0.00264,-37.231,0.0571,0.821,0.771,0.111,0.186,76.389,6wumg3aZYgGbInRSN8S9g5,182747
0.164,0.00548,-36.231,0.0394,0.995,0.866,0.0875,0.0384,70.059,1thTEQDLz5G6hr2Cp3pA4g,188692
0.148,0.0124,-34.789,0.0508,0.96,0.936,0.0912,0.0381,138.679,748k8Bk5Nousy75IFv6QQy,211774
0.164,0.0368,-33.099,0.0447,0.774,0.802,0.111,0.0605,73.206,0EGpuh2uzSDi5mnMIvgFui,169482
0.151,0.0131,-37.799,0.0402,0.943,0.694,0.1,0.076,136.246,6HreYBZASx5JJR82jvZCNs,162908
0.134,0.0509,-30.708,0.0411,0.927,0.897,0.111,0.0412,73.234,5zYA6XdGJbTF5zJGbLyjL3,183896
0.155,0.00465,-37.031,0.0522,0.968,0.873,0.128,0.166,79.468,6QsiRBMCsArD9PdKHGy2xJ,176442
0.17,0.00474,-36.589,0.0376,0.972,0.857,0.0914,0.0942,68.773,2j1IXyTxl3Qhu8orYsj5LP,142491
0.09,0.0231,-33.065,0.0454,0.976,0.799,0.181,0.138,67.796,2A2PrM5rdbQPHQIaDZnxCu,138984
