danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.324,0.0186,-28.248,0.0476,0.99,0.934,0.105,0.126,85.297,2m2GJpBjQNNphaCgBeoj7R,207640
0.433,0.00824,-29.236,0.0516,0.995,0.886,0.0742,0.0807,62.597,2xEVhZew6VihAm4buanz2P,191611
0.307,0.00229,-34.977,0.0519,0.992,0.931,0.098,0.281,67.775,5RWA30VaTsYkFrkzxKL3aK,283280
0.189,0.0983,-23.786,0.0358,0.983,0.899,0.0895,0.132,75.499,14E2KOXyzozxKQHu2bh1VW,251664
0.323,0.0255,-34.641,0.0355,0.994,0.848,0.112,0.198,130.38,4WWzf8XjwjnvlCtXBd3y6c,202500
0.44,0.00217,-44.761,0.053,0.987,0.958,0.0731,0.473,126.92,0L5WGmfuDp4JgbOnv3eqOg,77267
0.583,0.0238,-32.244,0.0369,0.994,0.847,0.103,0.426,108.74,5RqKo9P4DLA0bVyY70cWkr,131923
0.253,0.00209,-37.859,0.0344,0.994,0.913,0.109,0.0707,65.125,5wlUjXNwN62wxhAZWddA6B,138228
0.524,0.0338,-28.584,0.058,0.995,0.921,0.0907,0.25,111.895,5O3UGMP9XJLbshKKZHsrGN,147937
0.374,0.113,-20.557,0.0529,0.992,0.917,0.106,0.0419,95.007,4imyXxsul98cYFhQyN4D6y,221680
0.0728,0.0403,-27.84,0.0455,0.786,0.956,0.112,0.0349,80.731,3NABVjRtAZrbnmGNeoyCyN,194001
0.46,0.0073,-31.247,0.0503,0.993,0.963,0.0952,0.194,71.743,4UoQyXltWDTbKhz839QILK,218133
0.314,0.0249,-34.402,0.0469,0.995,0.938,0.0914,0.238,102.328,70FROKEHubzMxSstCgaZZl,234880
0.297,0.00325,-34.72,0.0608,0.995,0.935,0.118,0.121,74.392,5iVgHr0hrCFOvem4Yc75Gc,167064
0.387,0.00487,-33.84,0.0584,0.996,0.957,0.0883,0.212,70.309,0If3zfg7N68SAaDgPAQa9l,160435
0.239,0.0141,-37.789,0.0352,0.992,0.943,0.223,0.189,169.01,1MxO57a8Ttyb1izW1uKGVl,211055
0.157,0.0535,-26.095,0.0356,0.954,0.908,0.0957,0.0316,80.598,3cAcOh208CARldES110g2a,160957
0.126,0.0805,-31.267,0.0413,0.996,0.852,0.0976,0.124,205.971,2WkuESwWyJ1txlbXnDIwPm,108773
0.208,0.0709,-32.798,0.0478,0.988,0.964,0.0923,0.174,206.563,2Ibyx9m0rs3MSVWdqaCWkI,137013
0.418,0.00869,-37.257,0.0455,0.996,0.962,0.105,0.42,87.273,4GjfVYoUJ0OCmDiL869kUJ,93507
0.409,0.0191,-31.753,0.0324,0.992,0.912,0.0981,0.181,104.164,35zRHowhQifRViG90CiLLY,234280
0.348,0.00533,-37.7,0.0415,0.986,0.898,0.108,0.216,103.431,6wfm9juwwokarp3HiI1tg2,198585
0.285,0.00464,-38.222,0.0435,0.995,0.844,0.0582,0.216,72.32,51P3NaXFY36BR7d52fh03Y,150440
0.333,0.00527,-30.864,0.0343,0.995,0.916,0.0955,0.126,77.249,2hsYfmLXWdRWqB2i4LAhp1,237008
0.386,0.0552,-31.201,0.0395,0.992,0.942,0.0805,0.247,111.914,6XTKYGyydndSUV3OHHDwZU,176000
0.236,0.056,-31.629,0.0437,0.992,0.926,0.0975,0.184,211.567,1BfkOTr6W7SyXsfappHLHy,206868
0.497,0.0102,-29.95,0.0505,0.994,0.889,0.13,0.315,133.437,4f6gLxR8DHTkZgpMXOnSnf,152920
0.213,0.0329,-28.228,0.0451,0.972,0.926,0.0978,0.0366,84.819,40IvETLq2Y1Su1Z0GWumRF,208040
0.273,0.00573,-39.245,0.0493,0.994,0.913,0.0857,0.174,91.621,2FbUitqkfxFhI4An73HzZW,193320
0.385,0.00375,-37.041,0.0453,0.989,0.923,0.126,0.105,60.605,6EO1zgWT7dpChCqOfeFIVS,137556
0.666,0.0135,-29.191,0.0546,0.995,0.959,0.0927,0.509,109.453,2bVUyLxltPaSPhz9yaNbr4,110625
0.0996,0.0116,-35.154,0.0437,0.986,0.938,0.0981,0.0654,88.778,1UeEULIBhrFzy8WhI3FrMF,99733
0.4,0.00478,-32.946,0.0382,0.993,0.92,0.103,0.122,74.012,1qGI8KYIXtJK9WTMC6nIQM,143960
0.523,0.00743,-37.501,0.0517,0.996,0.901,0.105,0.268,66.46,39bzKYAYfHRtK32nEnQilM,141787
0.36,0.0339,-28.417,0.0489,0.987,0.901,0.101,0.2,103.524,0K1g45Vb0qdmVufrYX8tHx,144500
0.421,0.00487,-32.45,0.0389,0.989,0.879,0.0588,0.0713,95.136,3sSGalPwfFt0XiNnYx7fBB,203160
0.5,0.0123,-30.17,0.0712,0.995,0.954,0.0748,0.313,130.128,18QVbIw5S0MJHGWF2qLX75,186840
0.34,0.00262,-33.727,0.0557,0.995,0.944,0.0869,0.292,68.415,3eKndOAWTLzbzqaAdBRwBR,182010
0.578,0.00624,-34.408,0.0767,0.996,0.932,0.066,0.544,62.465,2b12Hb86ANOA56DvXXHao6,56907
0.433,0.00301,-47.07,0.0487,0.937,0.795,0.0403,0.286,116.023,2Ylyh5pD08wtz54XfELtak,93160
0.316,0.0617,-28.556,0.0496,0.995,0.93,0.116,0.19,70.132,0fHo89AiSS0X3ycHHKnIoU,152069
0.35,0.00579,-34.753,0.0381,0.991,0.952,0.132,0.152,65.447,4myyfMmDd7wTkgq8Ci7VfF,167000
0.321,0.0456,-29.402,0.0366,0.995,0.97,0.107,0.439,75.975,2SzsBwBFIiPquJXYAjPobX,165720
0.156,0.000812,-45.155,0.0446,0.923,0.0407,0.0739,0.0777,140.09,3edfxj68V3PJsbLwofk9M7,255319
0.448,0.111,-20.606,0.0353,0.991,0.898,0.0974,0.0755,74.76,6iL0pob2CNH1KNXPsSl9Fo,204629
0.0911,0.163,-17.135,0.0382,0.945,0.965,0.0975,0.0393,63.438,4iFiFqYJpZWBMn98i7sC4d,274218
0.376,0.0192,-35.626,0.0394,0.995,0.874,0.0778,0.197,111.591,5P5LGCJrCByuqgj9djXqa4,131667
0.299,0.0319,-30.624,0.0603,0.994,0.928,0.105,0.0975,105.922,1Zv6RyHM08gyC4qvOlCZUL,267533
0.0749,0.173,-18.872,0.0461,0.957,0.967,0.107,0.0373,175.65,00Jh6031MKpE5nunLJzvyM,175171
0.358,0.00554,-29.617,0.0479,0.992,0.894,0.176,0.0587,67.103,2FR3mH7DwsaX3TcObkUEX3,448000
