danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.155,0.196,-35.511,0.0972,0.938,0.888,0.112,0.0421,76.127,1F0Xl6fZ1RPGtXpDl67O6w,149924.0
0.217,0.255,-39.606,0.0632,0.832,0.972,0.108,0.0764,73.079,22jTdzsf7YHTnBja5IMwD0,173933.0
,,,,,,,,,,
0.209,0.0489,-40.163,0.0478,0.979,0.512,0.112,0.0327,87.917,4GiHywZv4dHFA8ukxNyt1d,134848.0
0.164,0.136,-40.71,0.161,0.894,0.921,0.112,0.0876,84.448,1fgeb3eEwjdFDOa5OmeEUH,146737.0
,,,,,,,,,,
0.0743,0.377,-34.7,0.0677,0.526,0.0147,0.112,0.0235,173.241,01PzkNcdQjhdWYAXtB4CNy,98329.0
0.175,0.144,-39.434,0.0734,0.924,0.502,0.112,0.19,67.105,0X97bKfDQg76Abx5LDfs8g,152681.0
0.162,0.319,-33.319,0.0681,0.611,0.998,0.111,0.026,83.658,57VQEFgAfv2uChGSv6xBjx,147480.0
0.204,0.109,-43.388,0.117,0.927,0.973,0.112,0.107,65.859,1S9sQ0vVP1ZSLpSHI21hEV,128546.0
0.136,0.0978,-42.574,0.0792,0.946,0.964,0.112,0.124,74.835,4LGg8tvQxix9thK83jjhm1,144149.0
0.189,0.0348,-44.154,0.0514,0.947,0.975,0.112,0.334,69.296,2eN6RTJngxfc9lxYsgLzKA,82093.0
0.115,0.529,-29.348,0.0767,0.995,0.987,0.0868,0.0277,94.911,2nTNILkx5NP5aoEYa1m7zr,163879.0
0.0637,0.0694,-41.272,0.0695,0.951,0.195,0.111,0.0299,75.806,2QkyuBrnqC1G4QyznP4Fp5,105870.0
0.112,0.0652,-42.644,0.171,0.926,0.967,0.112,0.0599,85.696,29vnTVRvQHoAtoGn3VATYW,99815.0
0.169,0.0929,-42.574,0.0834,0.946,0.965,0.112,0.0949,116.304,0miaOVnJ65t43TtLMKC99m,143765.0
,,,,,,,,,,
0.148,0.094,-41.538,0.0619,0.905,0.971,0.112,0.163,85.415,6qf8bXC9jUy1BvAYvZ9blO,148223.0
,,,,,,,,,,
0.129,0.18,-39.429,0.0605,0.92,0.998,0.112,0.0302,71.756,0UTGHh9VnitJlnetXr7nhF,125189.0
0.194,0.168,-39.656,0.13,0.93,0.918,0.112,0.0221,66.418,0TtxJQ3O4Mz8rg5Eme4Tgt,151938.0
0.14,0.1,-39.568,0.0491,0.887,0.912,0.112,0.378,77.64,75F6mSyntGM0rpInOaOP0r,129289.0
0.198,0.0605,-43.556,0.0558,0.947,0.973,0.112,0.121,62.721,0bTtBofndeBvvzv2BuJTCK,132261.0
0.152,0.0593,-43.558,0.055,0.948,0.973,0.112,0.114,96.577,76acca0MmdeFW5L8m1yL1T,131876.0
,,,,,,,,,,
0.0842,0.0343,-45.752,0.0495,0.833,0.973,0.11,0.124,168.491,4MrffGqdV4mgr2qBtC07SF,147122.0
0.0733,0.286,-27.672,0.0749,0.15,0.973,0.112,0.0511,174.184,7uMcWcFzsRpvwaMDqZPjLx,148895.0
0.142,0.45,-32.678,0.0949,0.817,0.517,0.112,0.0309,139.119,6PvAlp8pKy23Bff6tUjhl0,150000.0
0.172,0.288,-39.036,0.145,0.752,0.905,0.11,0.0372,120.787,1HPFWKZICLjNWfrKs9WV0W,175000.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.084,0.0384,-44.044,0.0721,0.962,0.973,0.112,0.217,57.125,5v56B7XYlnGzEPwY4c8I8R,87543.0
0.0725,0.202,-34.125,0.0786,0.294,0.995,0.159,0.00217,174.22,39Rv7yVz09paUBeX8VvEQy,220000.0
,,,,,,,,,,
,,,,,,,,,,
0.151,0.428,-30.968,0.124,0.826,0.972,0.119,0.0177,134.179,2dxH9FqkS1lTttrAfw3Mm8,178482.0
,,,,,,,,,,
0.131,0.198,-39.633,0.189,0.95,0.944,0.112,0.0232,74.73,006nnWonryJaAktux75zAs,123593.0
,,,,,,,,,,
0.187,0.259,-35.505,0.117,0.973,0.986,0.112,0.0177,72.354,3jBtGFrRvQDDSrwtQsWZHD,148472.0
0.138,0.577,-29.096,0.0695,0.993,0.986,0.0822,0.0186,140.85,7DqTiksMnzXDEb3WPh2VVC,143406.0
,,,,,,,,,,
0.148,0.328,-39.101,0.101,0.945,0.246,0.116,0.00876,144.696,3XQcmUXD9q6RcF6CHCoYXc,224000.0
,,,,,,,,,,
0.182,0.036,-22.232,0.473,0.721,0.273,0.118,0.00846,70.932,2EGXrlIaOm4Qd3aEQy60GV,153780.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.163,0.325,-28.119,0.0724,0.987,0.971,0.112,0.019,126.641,4Vqw8dAFAVITkiALTRo2HA,134736.0
,,,,,,,,,,
0.184,0.4,-34.351,0.0793,0.946,0.754,0.109,0.0376,125.071,6ak7dK1uhAyJe8WKxcdsxR,244000.0
0.225,0.177,-43.302,0.062,0.832,0.843,0.112,0.0393,113.854,27eSxyD1EnSsmlAXf9weK6,101814.0
0.226,0.308,-38.282,0.0697,0.959,0.955,0.1,0.041,130.035,4oyHBV5kOTdp84Jix6W78T,246352.0
,,,,,,,,,,
0.0594,0.000814,-27.65,0.0905,0.68,1.0,0.111,0.017,73.459,7ciuALfxne17Z0YjGPwaBN,287000.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.183,0.323,-37.428,0.0523,0.843,0.997,0.112,0.0237,45.961,0y1ozidM5tqAHX4NL5bYjV,76550.0
,,,,,,,,,,
0.119,0.000283,-26.224,0.23,0.135,0.154,0.129,0.0157,97.08,4BQRXd73KGRjMdfR9rcFFF,174243.0
,,,,,,,,,,
0.195,0.26,-35.439,0.118,0.974,0.987,0.112,0.0177,72.91,3x0EoMEp16dyEcraUR1beL,144472.0
0.0716,0.232,-29.956,0.0582,0.903,0.262,0.109,0.0336,81.194,75fyPQxfL7MDpX5BFr9vQ7,277500.0
,,,,,,,,,,
0.162,0.118,-35.892,0.0657,0.956,0.761,0.112,0.0361,128.229,591wpGDM2pd9yMTLFtOOBG,269000.0
,,,,,,,,,,
0.152,0.32,-34.049,0.0551,0.733,0.697,0.112,0.0626,71.019,2InYISGssmeLsVXzLCC6iw,270000.0
0.195,0.387,-38.535,0.0541,0.976,0.619,0.0963,0.0348,138.835,3wzu3qv6fwFZrjsWN3jSPS,244549.0
,,,,,,,,,,
0.165,0.375,-25.857,0.244,0.0247,0.209,0.112,0.036,125.518,4u75RQbjnohewfAQBXdEAn,206000.0
,,,,,,,,,,
0.0616,0.35,-33.531,0.057,0.774,0.895,0.112,0.0783,71.1,4aDDlJRc1WbIlFqhc4aMgx,273500.0
,,,,,,,,,,
0.157,0.228,-32.985,0.0574,0.683,1.0,0.112,0.0349,83.378,0wVyUtOvYWJvniPRidlNnQ,272000.0
,,,,,,,,,,
0.198,0.0005,-38.859,0.154,0.981,0.561,0.111,0.0162,93.552,5TVNQWqTMdJxg4H5LxrzW1,144167.0
,,,,,,,,,,
0.166,0.0636,-40.268,0.0754,0.97,0.246,0.112,0.0236,84.901,1MCYnC24tTK0gtJnfc2ESg,135555.0
,,,,,,,,,,
0.151,0.335,-34.08,0.073,0.721,0.969,0.111,0.142,136.862,2JVO6M02HMNuW4lbWE8ocT,265000.0
,,,,,,,,,,
,,,,,,,,,,
0.159,0.328,-38.759,0.0679,0.878,0.97,0.0958,0.0396,139.722,4pU7rgTDiVrCGwFhM4u3Rm,177500.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.000113,-25.994,0.0,0.348,0.183,0.112,0.0,0.0,4sFkIzdLAYsXpRAJUmXZpF,64000.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.165,0.0243,-30.387,0.0647,0.414,1.0,0.111,0.0148,124.186,4TcHUU51XZLcBCxYn1WyMj,123082.0
,,,,,,,,,,
,,,,,,,,,,
0.146,0.0148,-28.934,0.064,0.122,0.389,0.111,0.0267,82.018,2Kw1Ri1K3eItC6QTMRt84d,238694.0
,,,,,,,,,,
,,,,,,,,,,
0.174,0.863,-30.758,0.0574,0.96,0.589,0.107,0.0194,141.878,41AqwhgOIBKQbccbODKABY,178544.0
,,,,,,,,,,
0.157,0.259,-32.445,0.0518,0.948,0.285,0.112,0.0203,78.359,1mCMRPk1BSqTAAq4mLn5Qx,174800.0
0.16,0.00259,-34.07,0.0864,0.829,0.0108,0.111,0.0181,128.668,6RS9yHVAFYXf2yspUgQkDH,244000.0
