danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.161,1.0,-17.037,0.0419,0.914,0.881,0.943,1e-05,81.756,2pUhY7tWx8egpw2qn84iSi,146000.0
0.155,0.629,-27.102,0.069,0.00195,0.00174,0.404,0.0348,106.743,4YPTI6iWXVTGIzDLKvInM0,208000.0
,,,,,,,,,,
0.158,0.542,-24.552,0.0805,0.000453,0.941,0.391,0.0352,131.109,3g8n6JHQDGGjrE27lAtpvn,153066.0
0.161,0.974,-19.947,0.106,0.00029,0.988,0.901,0.00863,129.212,3dHVp4tIryXs62JYtcINhc,208000.0
0.162,0.453,-31.521,0.0636,0.0002,6.81e-05,0.388,0.0353,82.939,1dw8g82GWDDGkemAA8n5A1,216062.0
0.163,0.332,-27.529,0.0572,0.171,0.964,0.181,0.0183,83.987,726a7JkoT1DetZYi6dGnMF,130775.0
0.181,0.864,-33.39,0.0587,0.188,0.983,0.406,0.00739,92.092,0cYf8BBWyP83Q6uxqjkSel,124000.0
0.187,0.942,-30.817,0.135,0.00442,0.961,0.617,0.00999,70.705,0Y2AiBpOVTg69UDxGozu4w,140000.0
0.15,0.667,-23.215,0.0987,0.0168,0.859,0.478,0.0322,106.449,48jzJCr5iHi1aMuhTKlXP0,121115.0
0.207,0.984,-22.244,0.0502,0.136,0.985,0.798,1e-05,83.253,4rKp4sdH20PMMy6XBNARZt,208000.0
0.122,0.448,-25.112,0.0871,0.00158,0.906,0.483,0.0391,97.48,1gWCfhUtzEtOkWS5lM6zca,102539.0
0.226,0.968,-22.489,0.0552,0.0383,0.964,0.943,1e-05,70.689,2Wx5BlOCoLw3mNf0YtFxqh,208000.0
0.158,0.985,-27.15,0.0457,0.223,0.688,0.515,0.000823,84.527,6O1pVoqhU67xcef4pglZHK,136000.0
0.277,0.996,-22.938,0.0519,0.0749,0.994,0.846,1e-05,95.953,4UDjpSQ6sKKdgfXsUh6Brj,158250.0
0.244,0.952,-27.993,0.048,0.138,0.994,0.52,0.00786,94.198,6l9VlJgElboeOE5A9P2rBc,143315.0
0.155,0.874,-20.122,0.0433,0.0426,0.955,0.345,0.0317,86.587,7bJAQD5AAq9zxQz1nal7tp,158250.0
0.171,0.997,-21.94,0.0467,0.408,0.989,0.907,1e-05,80.955,67nCwIKYC4M0hFskf2skPP,106250.0
0.164,0.162,-25.235,0.0555,0.835,0.671,0.934,1e-05,83.693,5yvsWvwVq8bYrltqTi9TxJ,208000.0
0.179,0.834,-22.69,0.0806,0.000963,0.71,0.591,0.0185,98.739,183KrZyFBARuQtJfs8Wfxt,208000.0
0.107,0.691,-21.342,0.124,0.0667,0.945,0.427,0.042,86.95,4PHRttQK5SWtPDBVEPnbhu,158250.0
0.166,0.222,-28.804,0.0936,0.197,0.984,0.0345,0.0284,123.469,7b2LGKVoG029pfEgI0Jnmk,173888.0
0.237,0.512,-27.513,0.0465,0.119,0.323,0.818,0.00328,70.243,4CTDJG3F26MUJEwnJ2fhJh,129000.0
0.231,0.976,-27.426,0.0487,0.152,0.987,0.48,0.00672,96.552,3L1JHXiqNOJ57w3n2R3HyU,131500.0
0.142,0.983,-28.917,0.0653,0.239,0.998,0.49,1e-05,103.807,1zKUJivfBXl4t8DeFC2058,152000.0
0.184,0.999,-18.393,0.0477,0.146,0.988,0.955,1e-05,109.023,5kKKlThKApoonAvm7tUFKm,141920.0
0.0758,0.982,-22.237,0.0513,0.156,0.992,0.976,0.0196,66.257,5T8Nx9uWYe5uqGGUygt657,138205.0
0.178,0.536,-24.103,0.0591,0.14,0.973,0.824,1e-05,61.85,1zG951qozJFbc91W7dZL9n,133747.0
0.143,0.989,-19.443,0.0631,0.307,0.732,0.946,1e-05,137.666,0wM9KTO3KaTHOrpSuegXZh,118750.0
0.133,0.99,-20.689,0.0526,0.675,0.98,0.109,0.00689,86.543,5jyrtNJBcaFkNyS4yPixkI,146286.0
0.167,0.858,-20.461,0.107,0.000247,0.932,0.527,0.013,118.765,36FvQBMn5ZaS9l5Ze5Dw5A,208000.0
0.468,0.968,-26.555,0.0374,0.348,0.933,0.907,0.0147,54.049,0I42DRVbtMJr0bLEO6ZQB6,127060.0
0.159,0.999,-23.061,0.0563,0.164,0.986,0.904,1e-05,83.375,166a8OgRfj3GTf4frIb39E,164000.0
0.143,1.0,-18.58,0.0699,0.33,0.997,0.99,1e-05,76.895,67OwsQXaeWLa2VAV0RHymM,214998.0
