danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.527,0.415,-11.451,0.122,0.457,1.72e-05,0.117,0.515,78.169,1k1Bqnv2R0uJXQN4u6LKYt,125093
0.675,0.597,-11.329,0.0337,0.0534,0.0,0.0986,0.828,108.875,2eF8pWbiivYsYRpbntYsnc,161160
0.756,0.401,-10.702,0.0526,0.582,0.011,0.0541,0.514,101.954,63xdwScd1Ai1GigAwQxE8y,199396
0.595,0.379,-12.058,0.0454,0.271,2.81e-05,0.1,0.448,92.006,7MF7QAodbGzNYav5ZfIhAY,279333
0.784,0.713,-6.865,0.0339,0.447,0.14,0.0904,0.97,115.443,2M2WJ7gBlcKNxdhyfPp9zY,220560
0.692,0.651,-8.267,0.0324,0.292,0.00241,0.105,0.706,97.923,0bRXwKfigvpKZUurwqAlEh,254560
0.283,0.716,-9.632,0.0986,0.447,0.0,0.399,0.828,201.96,3Um9toULmYFGCpvaIPFw7l,233000
0.743,0.572,-9.627,0.0493,0.186,1.44e-05,0.163,0.675,122.658,28285KFbyCq8sJofn58qlD,178400
0.538,0.969,-5.626,0.0906,0.417,0.00154,0.119,0.928,138.652,0MHXrqn909p0LRTPsNsGEi,165790
0.772,0.397,-8.585,0.0391,0.339,0.00541,0.0753,0.617,97.964,10vkYRKw6Jjr7try1ir50G,172320
0.294,0.528,-10.01,0.0471,0.234,0.0,0.147,0.452,200.813,6Ro2z4RtAUew9Kz2HZWZUi,284907
0.498,0.634,-12.16,0.0475,0.328,0.748,0.0962,0.515,93.161,3IDc87lrpEHWFBASmgTgFV,193573
0.372,0.642,-11.955,0.0594,0.0947,0.0,0.117,0.705,198.731,1l1YTy9nJ0trwhsCGcimly,190058
0.521,0.443,-8.188,0.0395,0.308,0.0,0.475,0.596,76.228,6hJhVBOnkchxBsDHbLOBJP,237467
0.886,0.491,-12.589,0.171,0.29,2.46e-06,0.229,0.971,93.236,2Bls0igCm79XQQ95IoUbhq,164560
0.817,0.405,-13.513,0.0811,0.451,0.0507,0.0468,0.898,121.467,7MiLmLbwNoyf47xQ4TCVYp,419640
0.691,0.718,-8.457,0.0317,0.148,4.81e-05,0.108,0.934,110.623,6OylYIXrIH2E3hgg7Dqz5M,266200
0.453,0.359,-8.567,0.0247,0.849,3.02e-05,0.137,0.178,76.015,73GR50SgGV5hybgWDSFWtD,288440
0.467,0.42,-6.957,0.0398,0.509,2.56e-05,0.0707,0.365,146.512,6lUXneXZ9jc3HSMHgd8oqh,383503
0.539,0.599,-10.638,0.0483,0.0375,0.0,0.0754,0.636,167.7,39l1UORIhuHvUWfxG53tRZ,290933
0.595,0.921,-7.329,0.0988,0.178,0.0,0.812,0.937,102.346,5g7gllIUbtPPDjHy0iZcJw,208840
0.497,0.73,-8.514,0.0511,0.408,2.14e-06,0.0928,0.704,131.188,5TUs6T93fNFvgQov6MlYkP,390987
0.564,0.593,-9.245,0.0328,0.732,0.00366,0.343,0.766,120.753,02srSkeu2pzybuVr2B9TJm,178747
0.425,0.242,-15.424,0.0267,0.88,0.0118,0.195,0.477,92.472,39Bd345OWEhRNyfayhp9gv,228160
0.786,0.418,-11.115,0.0432,0.218,0.000158,0.134,0.94,119.101,62r1CS9zL1FL5Ilb7hLX7n,225373
0.565,0.644,-8.116,0.0696,0.426,0.0,0.264,0.633,97.716,5kQ2ZEav7TgUoLSLrm7h8S,452773
0.608,0.534,-11.541,0.0339,0.135,0.0,0.064,0.796,105.388,41q8ZiB3LZl4HRmmzUTIo4,199507
0.487,0.716,-17.689,0.0463,0.233,0.00445,0.113,0.819,120.795,7KMILVTQdVS4zQ8ilTcpRO,279200
0.382,0.727,-6.677,0.0861,0.729,0.0,0.196,0.826,207.265,5i0urffBRKl09GSX2Jhdeh,249733
0.518,0.376,-18.248,0.0431,0.933,0.86,0.0976,0.744,158.089,4qYHnP5AmKzXbJhciPV8si,233560
0.641,0.74,-8.425,0.118,0.249,0.0,0.281,0.914,152.939,5lYpHO6ZO4Shys3GD8rav6,214973
0.472,0.71,-8.852,0.0599,0.278,1.36e-06,0.103,0.527,120.052,4vYauy3ABO65vTXggGYaZg,363973
0.713,0.645,-8.404,0.0396,0.249,4.17e-06,0.273,0.961,113.903,0qOkHfSClduvkvGk6fCu8l,281200
0.511,0.346,-14.28,0.0388,0.685,0.000124,0.294,0.599,140.29,3QgSJ9CqgLPk9B4xLdwLrS,264267
0.75,0.78,-7.861,0.036,0.367,2.67e-06,0.153,0.738,94.864,0NnyYBnyStcNKDu7PejLPF,223520
0.521,0.525,-9.581,0.0463,0.0306,2.2e-05,0.145,0.495,150.392,1SjqD5q2WvpjOFIklP7sxD,190440
0.868,0.644,-10.987,0.194,0.159,0.00018,0.901,0.785,97.933,5OcyX5eg7VrJuI833qOCUc,459893
0.606,0.486,-13.553,0.041,0.0111,0.00145,0.0757,0.809,87.567,1QR3Wcba5NBidmxEE8DW3w,431507
0.71,0.581,-9.108,0.0612,0.392,0.0,0.128,0.919,97.746,7wJeXISGGTLVv2kBPtCJHw,296880
0.65,0.614,-7.367,0.0522,0.528,0.0,0.167,0.872,111.477,7AmJATXFg6Mj2grzZXkqq2,198173
0.791,0.42,-13.289,0.0832,0.413,0.116,0.111,0.84,93.225,7pN8GMLw3prWFn5nvJRM6O,429372
0.345,0.465,-9.55,0.0355,0.721,0.000371,0.582,0.457,94.983,3NElqDNNnzvWYOwsbxLQKN,205907
0.773,0.561,-10.224,0.225,0.204,0.0,0.0575,0.717,112.582,1kG2PZ8geznbDA8I6iWeDi,204160
0.344,0.769,-9.112,0.0606,0.261,0.000122,0.335,0.923,126.318,46pW0poQYEb2bVaqozGO59,334387
0.657,0.673,-7.685,0.0573,0.372,0.000991,0.049,0.789,90.328,2ydBZKZD2nr7XTd64E2AVg,242387
0.819,0.605,-13.83,0.132,0.669,0.0163,0.199,0.797,108.892,4f3u4Oy0JqJRIhMmTqRcxj,185533
0.542,0.499,-10.423,0.0671,0.407,0.0005,0.0771,0.655,178.281,53m3UkzcaQVbB2DENsrJiK,325493
0.665,0.859,-4.532,0.0671,0.119,0.0,0.0769,0.639,123.387,4mumFsUDQXpQts1Y7Zjw5H,384613
