danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.607,0.732,-4.747,0.0286,0.198,0.644,0.13,0.763,101.178,5i7UCAOx9N6F6LIuVtEpRP,241995
0.551,0.648,-13.088,0.0627,0.043,0.655,0.41,0.807,109.209,2OQ1V0e2O56AeIo4ywuYKF,159013
0.796,0.774,-7.749,0.0944,0.239,0.468,0.392,0.883,88.019,1NlcTmZSe7Nbd1KClwmx51,189125
0.659,0.295,-8.655,0.534,0.368,0.266,0.11,0.386,161.933,2qMOAJmGCJhUOJoZhtPAIb,95671
0.747,0.68,-6.187,0.0346,0.0107,0.803,0.0964,0.594,93.804,5Nn2Dj7OQsGL6pgQ9iIzPp,317933
0.652,0.698,-4.054,0.0356,0.25,0.871,0.138,0.794,153.033,5Yy17GXyBXDe1W01tXRu8H,212000
0.71,0.677,-9.975,0.0435,0.00106,0.826,0.0608,0.666,101.382,6FEESiC65oKkgebXZlPc5J,174946
0.759,0.564,-9.076,0.0457,0.0713,0.76,0.203,0.77,93.024,1tJ0cJiI2hSY05InPQc93p,276640
0.73,0.402,-4.84,0.0432,0.00867,0.476,0.315,0.737,168.304,6hg7Re7Eu6MfAd33G6KOKa,141276
0.418,0.449,-12.49,0.0439,0.149,0.89,0.0869,0.177,81.235,3a1CnmO9A2hb1B42dMTxel,271250
0.519,0.551,-8.436,0.0333,0.0592,0.437,0.368,0.141,86.83,548HwuXDxj3wxRu45e0uf8,309145
0.628,0.585,-8.036,0.0421,0.147,0.927,0.0465,0.618,100.95,1bZH8L8V2m454tdcSPEIl7,162267
0.682,0.762,-10.581,0.0482,0.142,0.859,0.232,0.639,91.098,2APXQ9ONhqK1GDexegeSdv,162678
0.762,0.554,-7.725,0.0553,0.386,0.272,0.12,0.39,97.026,3Yw5a8qoFLRI6syccll9av,282062
0.844,0.533,-7.107,0.0644,0.0611,0.746,0.09,0.619,92.004,4aNsaULjrRRMUPXP9IcDEa,299693
0.816,0.514,-8.741,0.0339,0.767,0.949,0.0899,0.912,136.837,4fQMGlCawbTkH9yPPZ49kP,176333
0.641,0.621,-3.88,0.0524,0.24,0.0299,0.175,0.749,89.926,6O7qFEXmLQcOsV37wrgJDz,233755
0.357,0.512,-11.438,0.0442,0.0232,0.921,0.207,0.46,182.982,1Fq9IQT0vGQrCQ0DsQtQuz,216827
0.504,0.578,-8.087,0.0393,0.0929,0.801,0.127,0.925,177.714,1SGQDxceZAPK4IWffYCw8c,257800
0.794,0.687,-5.028,0.114,0.0395,0.4,0.115,0.77,100.254,0yzfkTH0QKIAYVeTex1NKJ,255984
0.297,0.634,-7.927,0.0335,0.00141,0.175,0.247,0.331,94.733,5fJAYWoFgXm26HLNViFiUh,241173
0.716,0.805,-8.838,0.0527,0.0464,0.701,0.127,0.372,98.219,6gZkoHTufo7bTuMHFyppWv,240307
0.707,0.528,-7.918,0.181,0.0584,0.724,0.235,0.451,94.983,0ZStPeLfNLMH1EacArPO5W,162055
0.571,0.508,-8.118,0.0254,0.532,0.951,0.161,0.102,96.825,4bJ7tMJqfYmkKgCYzaaG4B,174827
0.393,0.892,-4.685,0.0514,0.00187,0.89,0.0926,0.704,190.157,5aqR0sE4AVaycHGVVjoZmx,157613
0.735,0.555,-8.84,0.0366,0.382,0.856,0.0952,0.523,100.01,3WS7spXVlbeC5kjePmHMQW,277975
0.768,0.567,-4.998,0.0599,0.202,0.572,0.102,0.767,93.099,7hgCSM590WO7HC02mgnXvh,268394
0.703,0.498,-8.84,0.0276,0.0647,0.643,0.115,0.299,95.01,0mP794DC011KhYyhqwy8rQ,131307
0.785,0.542,-9.846,0.0817,0.0239,0.931,0.105,0.975,175.946,2hHNFmRgj2KUCeCcJH0QLP,207337
0.774,0.502,-5.371,0.108,0.441,0.0193,0.158,0.736,95.084,3ZB4h7rWKKIMC06EzFiuE9,156107
0.701,0.867,-7.399,0.0491,0.153,0.894,0.691,0.56,94.031,6x0fMgsxvhpiOspnhykuF2,246280
0.744,0.6,-9.334,0.0377,0.0362,0.793,0.084,0.871,87.181,7dBvMFSY8mABXn4Cmq4y5g,203332
0.781,0.25,-9.702,0.0297,0.708,0.91,0.375,0.454,103.478,6G6M4fl2I0eqEQnzyTwR8m,209317
0.645,0.809,-4.614,0.0791,0.00676,0.781,0.0431,0.741,179.977,39WiivO5yDqfhHFXsREqCE,180167
0.64,0.844,-8.412,0.0374,0.395,0.933,0.0827,0.364,119.042,2lJ4d8MCT6ZlDRHKJ1br14,352247
0.658,0.544,-10.226,0.0505,0.000682,0.84,0.156,0.681,98.0,6Cq5rm1CEQcXV1bWXmL8Vq,330732
0.686,0.832,-7.412,0.069,0.516,0.819,0.105,0.587,115.978,6BaQQK0ICJFPECwhUDkCZC,320213
0.771,0.482,-9.262,0.0799,0.222,0.57,0.156,0.146,90.537,4PHqFuq0cfUP8LblrwcBaK,168149
0.645,0.816,-6.613,0.142,0.144,0.461,0.105,0.542,95.49,1ux778Ljln0QEitz2fB4PH,289583
0.566,0.592,-9.216,0.044,0.161,0.874,0.151,0.66,80.171,1WrQreMyy7L97MUSdS01xu,249973
0.721,0.815,-7.184,0.0506,3.78e-05,0.727,0.0323,0.65,95.964,5R4q6bsvAChmt1icAE1EWh,172880
0.661,0.541,-5.707,0.0541,0.0614,0.868,0.0485,0.689,171.963,64GFQFCscymlV0uCbo4qlu,249767
0.842,0.563,-7.833,0.101,0.441,0.765,0.52,0.753,105.99,2eV5tSdlAqNQIHRzHUMsXe,281308
0.647,0.399,-8.938,0.0675,0.441,0.559,0.119,0.841,91.989,6CkTv37VYslWD9igy0pVDG,133465
