danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.738,0.505,-6.687,0.048,0.749,0.000371,0.0832,0.583,125.257,4l7aryEsduuO7tQU8ZY46e,207600
0.675,0.368,-14.072,0.0375,0.83,0.00158,0.136,0.176,106.004,0ApIlfcdY0hVdVEVUyS2Zf,190393
0.448,0.123,-15.193,0.0409,0.948,0.0,0.0816,0.143,123.491,6vC7mF2CXYW6MVF2voO4FU,220813
0.417,0.285,-11.041,0.0346,0.803,0.005,0.269,0.243,120.954,6gdCb962lq0Xdg7ypVLuLt,346373
0.602,0.459,-7.167,0.036,0.63,0.000165,0.146,0.366,86.38,3inSmIa388icRdpDi5ecJd,193297
0.701,0.631,-9.113,0.0708,0.0784,0.14,0.694,0.61,110.024,2JrkrX1MMmqpwfve5El6Re,173889
0.717,0.459,-11.101,0.236,0.386,0.0123,0.143,0.373,143.948,6EG0w98d2S1u1copDAHDqP,135748
0.333,0.691,-5.224,0.0428,0.0135,5.75e-05,0.164,0.341,125.204,09QyGlxA0Ja6D1dGIjl55c,165000
0.549,0.798,-4.158,0.0476,0.392,0.000925,0.132,0.357,118.936,7fvs1psRkf1WWX4qJOq53N,149444
0.55,0.334,-10.73,0.0288,0.517,0.000169,0.101,0.143,72.235,1xYMyM7MxFi4OuzDA2op9Q,307535
0.499,0.548,-6.858,0.0296,0.118,0.0,0.125,0.281,87.854,3EfTQn30P4fqXxRf9IN7x6,198293
0.533,0.505,-12.096,0.038,0.548,0.00931,0.132,0.261,120.044,2MLapVzHNgZit4tTGkfAcf,175003
0.771,0.221,-10.144,0.0382,0.908,2.2e-06,0.294,0.431,99.793,1iZdFYJujH9VZtj7c0Xw2y,154764
0.471,0.302,-13.722,0.0378,0.907,0.000201,0.352,0.342,133.509,2lVPHHSn8elKFEf1d6evFG,234080
0.636,0.456,-8.787,0.0381,0.00406,0.000826,0.173,0.646,124.005,6vFifFwgq4Z3csFE6zi9Fd,206079
0.538,0.722,-6.67,0.029,0.0155,0.24,0.687,0.535,144.976,3oE4zL430c18NuiRWDHRLY,181828
0.623,0.596,-4.922,0.0407,0.529,0.0,0.157,0.656,80.547,3QSnkhUvoPS5QogonimPfk,254835
0.743,0.498,-11.793,0.0277,0.401,0.000284,0.116,0.287,98.999,1ykyMoNbNq1oBjyDxlVeAY,261337
0.506,0.0952,-13.51,0.0385,0.91,3.55e-06,0.111,0.162,111.163,0mZdT3W9e1UyJlSXMV6xL0,265687
0.499,0.138,-18.18,0.0352,0.928,0.00182,0.0956,0.275,128.956,7wXPl3wCGlHDXXaDyr9rPq,186160
0.47,0.182,-13.444,0.11,0.945,0.000562,0.0973,0.13,95.139,0VGgkl6AAAmr6V2jvG98CZ,229342
0.595,0.288,-11.17,0.0247,0.825,0.121,0.0913,0.345,96.012,7D0q9XQg10KdlrjdDrrHph,173641
