danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.265,0.0119,-33.766,0.0526,0.991,0.946,0.097,0.35,99.932,42cskWMuFydbI9f9um1sTj,127000
0.321,0.013,-28.058,0.0387,0.992,0.892,0.103,0.216,106.316,0CNhH6mjashU1e7z0j1LXl,160695
0.487,0.0708,-30.666,0.0397,0.99,0.931,0.116,0.49,123.902,6aPNSFUv5X13wjZsjJAbYW,128000
0.368,0.0272,-24.72,0.043,0.99,0.915,0.103,0.51,79.307,0yAgdDXxal3Em3W4X1bkGq,153525
0.422,0.0265,-26.777,0.0391,0.993,0.937,0.0977,0.23,76.954,4WFF3LgLuK0qGqY1YUdzD6,129901
0.255,0.0329,-26.423,0.0419,0.985,0.924,0.096,0.0408,73.673,3sp6FlleWKCE9mxdnHXFlU,133250
0.315,0.0546,-28.225,0.0596,0.994,0.902,0.11,0.128,163.274,4uNQlDhz4fIKvjvdSESKou,137520
0.275,0.134,-21.45,0.0373,0.958,0.917,0.0923,0.13,143.2,2wbG3Ma6mHGHI1cJv7r67u,172265
0.384,0.0178,-33.397,0.0314,0.994,0.939,0.114,0.164,61.485,7Ifj1BA2mFHr1FmCxV9p1M,144555
0.369,0.0452,-30.335,0.0337,0.995,0.895,0.088,0.286,77.247,5fRCo9FZmnE92j7BnY3Win,141971
0.289,0.00882,-28.999,0.0389,0.935,0.898,0.115,0.175,133.912,7x29ikGEInCzC5IrN3zMhI,180308
0.363,0.0437,-31.559,0.0353,0.993,0.875,0.0951,0.254,102.193,3MWklqtDFfMkD3pcf4rBwu,148417
0.301,0.0212,-31.384,0.0447,0.969,0.946,0.114,0.266,122.018,2eB6dVkwbCJayvgplBO6Nt,182407
0.254,0.0263,-32.172,0.0391,0.994,0.829,0.103,0.2,136.887,55as6jfARR6xn5g0ZxChCA,139979
0.3,0.0393,-30.089,0.0376,0.989,0.877,0.114,0.26,137.868,0o56FySlmk0hN1FoVqfnue,139993
0.319,0.0321,-24.243,0.0337,0.985,0.956,0.108,0.185,76.268,2uDpyb11bwgMOqLQ1ZQ9E9,147244
0.31,0.107,-23.437,0.0328,0.978,0.92,0.103,0.279,48.37,23DPhQu9w09Vc4PkAd3zv2,178000
0.309,0.081,-23.417,0.0315,0.991,0.89,0.105,0.194,81.171,3kkgprUeiPDV0nDQerhq9h,165889
0.31,0.05,-30.665,0.04,0.993,0.896,0.105,0.349,82.587,6QuO9a1qf3bfEJZL1TeCS2,119579
