danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.466,0.436,-11.303,0.0392,0.114,0.000376,0.0693,0.146,161.036,0RVn3A5FHQ8OgiIxuRkepW,245125
0.529,0.845,-7.195,0.336,0.501,0.000118,0.221,0.326,92.118,3vhLVllWWp1452obmga9Nz,217869
0.643,0.524,-9.552,0.0434,0.502,0.853,0.0791,0.594,151.92,6TSdLfoQ3gZneQGGtuITPu,267590
0.738,0.75,-3.654,0.219,0.0167,0.00976,0.174,0.342,112.009,0dFdGPVLs3k0z9ezYWZzUa,207840
0.7,0.604,-7.208,0.0729,0.668,0.276,0.104,0.501,89.033,6a0I59cMEPqhutu4lU1NOC,235293
0.744,0.459,-10.047,0.131,0.302,0.0,0.0897,0.228,136.894,1FRJsrDR3NWtl5gQykujvR,237310
0.363,0.498,-11.249,0.155,0.367,0.00213,0.638,0.251,75.885,5ipyh2SML7XT0dfj38ln2w,265723
0.648,0.59,-9.664,0.0942,0.697,0.808,0.111,0.401,81.045,7eWGnKg4B44sbBPpQp4y2c,181922
0.651,0.72,-6.529,0.161,0.331,0.413,0.528,0.705,90.024,7zy7iE31dGO70ShMXghsfj,269245
0.821,0.322,-15.503,0.123,0.576,0.804,0.108,0.803,94.46,3Mc1wHPrWcXiLeokUZ3Oab,126440
0.578,0.385,-12.167,0.0534,0.903,0.258,0.101,0.462,135.895,2CuBUQZY5SmOaISKWUO9m9,214867
0.371,0.199,-17.0,0.0509,0.921,0.0289,0.58,0.521,96.98,3DrMtgnkoPtgQ3iLkXaEzw,193920
0.416,0.248,-14.62,0.14,0.647,0.427,0.113,0.134,161.667,1wTopxO5eQBpxrBXPSbsUn,433916
0.714,0.407,-6.806,0.0422,0.522,0.00618,0.128,0.358,76.978,6q4yusLwjDYEcF6jXHdt7J,227664
0.706,0.617,-9.362,0.0392,0.106,0.000415,0.113,0.247,99.995,4Q5LWPIKCuV6LRdDeqOYM7,216375
0.831,0.74,-6.114,0.0502,0.115,0.00018,0.307,0.835,117.938,64qSlBMJdwZS9TTxgbG3Y9,193293
0.712,0.754,-7.044,0.041,0.00443,0.000202,0.168,0.659,122.003,1SiV9ERoyjtUPrNnuJCj21,193400
0.684,0.404,-8.967,0.143,0.174,0.00055,0.0907,0.297,99.074,0fm6oDgGOPikLyxKEHMMHk,337515
0.574,0.854,-8.312,0.0858,0.0199,0.00559,0.18,0.821,173.963,4CJ4WBeEZZVFulKVS6zmqz,168787
0.751,0.691,-6.738,0.103,0.102,0.463,0.097,0.531,127.014,4W1VDzvrBBG0lZvC221Qh5,310340
0.912,0.446,-8.127,0.0499,0.147,0.000305,0.158,0.682,105.011,6EvN0yVTeZDOp7Ltuea2uo,159200
0.751,0.798,-9.205,0.198,0.15,0.0,0.313,0.607,112.016,77tGVhgSQbOopj3qSDKhZm,178000
0.666,0.568,-8.842,0.0341,0.176,0.542,0.186,0.597,153.987,7o8znc6DQLM2HVm0X0aEck,219375
0.768,0.747,-7.154,0.0474,0.171,0.0722,0.0534,0.921,108.014,2dNpDvdfOWoldOOaXzMVVm,205421
0.731,0.438,-13.79,0.0416,0.934,0.365,0.0584,0.487,148.026,5bTWrzP0XXArAJTR26FMF3,282812
0.467,0.624,-8.511,0.0508,0.143,0.000899,0.145,0.31,141.889,6BQrmjAgPfPTwILoFEK3Hd,225947
0.6,0.689,-7.774,0.364,0.902,2.63e-05,0.264,0.852,98.423,4pGxnHLyli1TLkRFHyBxo0,352179
0.401,0.104,-13.803,0.0912,0.901,1.5e-06,0.34,0.195,159.041,6aRH09JPYuApK327fCwc0p,197067
0.81,0.479,-11.028,0.0457,0.0108,0.529,0.0656,0.49,123.981,4FZXNjy9tRM2qrwpEs46Wc,184805
0.865,0.484,-9.321,0.177,0.361,9.53e-06,0.116,0.849,95.016,5LInOGDHqrgetnMlnvaDNq,177280
0.692,0.683,-5.892,0.0241,0.0341,0.72,0.113,0.722,93.037,14Q7Qja4PJwjMsKdBZcnww,293427
0.635,0.619,-7.22,0.0474,0.052,0.00016,0.118,0.277,87.984,4syzriQO4gEZR61pU5FBFd,241928
0.642,0.818,-8.689,0.108,0.683,0.114,0.157,0.481,150.019,3tpRumXI5wK0YxFw65y9zZ,284720
0.821,0.607,-7.694,0.0798,0.271,0.0199,0.438,0.616,135.035,75hLIkx0MpoWDc8LJfOsPR,197333
0.398,0.569,-7.052,0.0306,0.00934,0.000234,0.242,0.307,72.946,1OoqGyjrk8s8NDoE2aW6d0,188916
0.737,0.421,-9.184,0.0262,0.455,0.246,0.14,0.492,84.009,50Szf8MMkHcdc29fEKVatX,212858
0.666,0.784,-5.7,0.0391,0.44,0.0175,0.0333,0.545,92.51,0ZH2Ve6Ns1kzEMWunJoAek,172613
0.671,0.459,-12.282,0.033,0.532,0.86,0.223,0.192,129.918,7sC171rY7e1cVA75yHpIjR,195008
0.855,0.549,-9.514,0.165,0.538,0.00334,0.104,0.701,119.975,4Dv5Nf2EWuiXS4wbrz5XhP,192703
0.728,0.57,-5.087,0.0986,0.238,2.14e-05,0.101,0.487,79.999,2HsNlCJom8gwFFEpIOejrf,178301
0.555,0.851,-3.352,0.148,0.0706,0.00495,0.129,0.779,83.909,1DVgSm1FpFBT8usWhnC5vF,244635
0.787,0.761,-8.415,0.0372,0.186,0.535,0.291,0.674,131.947,3XlKF7jaEQhVc3FcmN6ao1,149524
0.426,0.342,-11.531,0.0265,0.858,0.0172,0.258,0.155,74.853,7G6NU3cp3ufNMEFCI2l90X,376520
0.689,0.872,-4.786,0.0477,0.0965,0.000498,0.117,0.362,134.994,4icnlpI5IbZcRO9mpixVVW,153706
0.597,0.697,-12.678,0.0329,0.522,0.716,0.2,0.198,132.555,545N3VnU7ZSBEUtdRGSUS9,181453
0.554,0.698,-4.88,0.0315,0.00143,0.157,0.084,0.463,119.976,3fskmbfwbp3Qx0fqaYDMbn,221627
0.671,0.736,-6.705,0.0344,0.0547,0.00381,0.111,0.89,141.967,4JvFNFTjEtZyEzh8w0YzHF,246707
0.674,0.884,-6.062,0.0988,0.0203,0.489,0.109,0.916,101.062,1d7amkMBfY5jwDaVYpWKUv,192961
0.7,0.812,-8.128,0.297,0.183,0.0,0.0756,0.801,97.405,5MMW4CZsZiZt2iuqAXzzWC,332229
0.502,0.64,-9.702,0.0286,0.0313,2.16e-06,0.154,0.449,131.551,67Ca21PiqjzovVSAwBMwUf,210730
