danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.768,0.747,-7.154,0.0474,0.171,0.0722,0.0534,0.921,108.014,2dNpDvdfOWoldOOaXzMVVm,205421
0.796,0.72,-9.759,0.0428,0.00715,0.025,0.041,0.924,111.989,5TZpfuDzrxy0wehfZrWakN,341028
0.514,0.515,-8.213,0.0343,0.0133,0.737,0.108,0.376,110.019,2DSixYXsxGkbLYxsrP9ZEe,376671
0.838,0.719,-8.831,0.0949,0.00845,0.00522,0.0377,0.86,111.021,5Ly9lKxeE9YMVwQj52dpfo,258236
0.785,0.867,-10.439,0.073,0.0795,0.842,0.0555,0.982,109.997,30DWdX9NQEdfJ07vfGReOt,372000
0.865,0.499,-14.552,0.165,0.164,0.879,0.109,0.439,111.007,41sfxCghJlbnWnql4QEfl7,518919
0.689,0.491,-15.662,0.0465,0.111,0.699,0.66,0.164,110.009,7ByHMIhpm6bqT3ir9GpLpW,380183
0.774,0.415,-9.97,0.0341,0.0298,0.432,0.137,0.0579,111.99,2AvoxIbaR1vmZe6sCmigaF,191262
0.664,0.674,-7.715,0.0368,0.000759,0.787,0.0974,0.346,112.035,4AxWtgcky7KZFvkbF3ZSDP,215018
0.814,0.463,-10.748,0.0402,0.0905,0.819,0.0956,0.168,112.0,3iX80Yl6jpfp1VqzOty3eU,553097
0.849,0.648,-8.572,0.0941,0.0188,0.715,0.0801,0.424,111.968,7JC2I6zKONCvnr4HPlY9hi,301995
0.819,0.86,-6.914,0.0475,0.331,0.784,0.048,0.724,112.011,5GLF6LLyaK95ydOjStPYiL,349501
0.708,0.829,-7.516,0.0388,0.221,0.0475,0.0896,0.607,111.988,5x9lHf7tOGELFHRtMhVzrN,285819
0.564,0.656,-9.666,0.0344,0.0232,0.838,0.32,0.588,112.008,6HxN4OABi6VovLm3VigN6o,379640
0.741,0.592,-9.059,0.0308,0.665,0.854,0.116,0.822,111.984,1hgX0ZmmP7IRRjUFCIBrnQ,310133
0.825,0.395,-13.081,0.0479,0.0107,0.0288,0.302,0.238,113.039,1eXxOVrE84C4NNT1lkeqNu,488228
0.816,0.253,-11.721,0.047,0.0821,0.317,0.0959,0.159,114.022,4WXIcBXdNAvsFKSMMqettI,317067
0.737,0.794,-11.88,0.0619,0.0314,0.918,0.185,0.526,113.997,5pRnyQLZHv40za7htQ1BLp,284232
0.723,0.571,-10.22,0.0572,0.21,0.334,0.133,0.185,115.518,5EGJ7e7frJjYja6H4afzoT,302428
0.987,0.629,-7.136,0.265,0.00167,0.163,0.0634,0.424,115.342,5hBQOOlFOCWYL1YCbjok1G,230747
0.885,0.622,-8.478,0.0802,0.00638,0.93,0.188,0.826,115.036,2ePYAMkoIu8lkTyN1ngG0c,293825
0.827,0.745,-6.832,0.0443,0.0762,0.83,0.0753,0.387,115.047,5lXOqXFHGPEPvzWVcK97fD,244707
0.882,0.733,-9.745,0.0548,0.0202,0.229,0.679,0.75,114.987,4yuBWOtu4iBVkrp4gQUOYb,399383
0.944,0.611,-8.534,0.0531,0.00174,0.116,0.197,0.815,115.01,0yFXCZj2fun1EMDI59bXCz,456745
0.742,0.712,-5.993,0.0323,0.0381,0.00848,0.0682,0.765,115.007,5qP0Y4KHB2RcxW0ULLvLA1,236253
0.743,0.805,-7.675,0.0397,0.365,0.898,0.122,0.414,115.986,4gNxJbUfTJcARZieWGqkQE,383171
0.756,0.829,-6.088,0.0491,0.269,0.0352,0.383,0.88,117.626,7FPtdpiBHIFyiUoFTEDfRd,288280
0.807,0.651,-9.111,0.0396,0.0114,0.716,0.23,0.843,117.997,63o8AFj8EjvyUvR8Ez01C5,300316
0.872,0.609,-9.463,0.23,0.0174,0.311,0.294,0.776,117.981,1omHCWuWEH9TV0SmZiiLev,349796
0.82,0.816,-6.623,0.093,0.0428,0.0764,0.11,0.675,118.34,6WKfJyXx0DdOrO570el4nF,470864
0.805,0.765,-7.414,0.0559,0.0422,0.872,0.0235,0.605,117.71,4m3054ktKm6xGGyNjj8krw,309387
0.758,0.824,-6.666,0.0281,0.0121,0.0192,0.101,0.897,118.007,1tyYyBx8vCmejG0mOARIKL,253307
0.774,0.83,-8.364,0.0688,0.0355,0.132,0.201,0.846,118.0,587tcic4xEmMXlsZ6qsMwK,306112
0.822,0.607,-10.487,0.1,0.214,0.00784,0.132,0.651,118.023,7jrJd2hRB3vDYX93SRiGad,321703
0.729,0.874,-8.38,0.0455,0.0121,0.168,0.0739,0.701,118.004,07ZU8s3fl4mry8BIFxUtuT,510000
0.753,0.799,-9.279,0.0369,0.0307,0.856,0.185,0.724,118.009,2xpLZhgffNgDnq7ImKUSuB,447458
0.857,0.772,-7.202,0.122,0.0241,0.217,0.0633,0.658,118.997,0X8OzXCOAGldwWzl7lcd62,307859
0.857,0.793,-5.856,0.0486,0.00441,0.543,0.143,0.766,120.003,3mXnTPoiO2oluQM6ZtTYys,168134
0.847,0.412,-8.331,0.0887,0.0124,0.762,0.0543,0.71,120.027,57CAYbMGp1yJEvGcKcsTqh,312000
0.801,0.876,-6.572,0.0558,0.102,0.704,0.366,0.11,118.991,0dxSAG24osIb25Rs8iNkIC,318040
0.829,0.55,-10.433,0.0822,0.00358,0.922,0.0478,0.493,120.003,38d0ibZCfdFw4fzHGTP4xg,278790
0.675,0.708,-7.42,0.0325,0.0132,0.0841,0.0898,0.586,119.988,7IKCYYmFabJPaFPXn4atBX,239926
0.765,0.871,-7.523,0.0536,0.07,0.0251,0.125,0.505,119.989,6KuZfqzhbfTU8HEIALDgP2,256467
0.782,0.839,-7.67,0.0487,0.0834,0.767,0.0495,0.961,119.994,1S3wM42IWR5DDukmZo8GwV,358615
0.806,0.921,-6.001,0.0488,0.00196,0.312,0.0473,0.444,120.004,5P0NU0tX9NJ182ZRm8kxRz,294000
0.852,0.843,-9.259,0.126,0.0165,0.277,0.083,0.753,119.983,09OTP1T8pPFo03aTMZQuft,232000
0.861,0.558,-8.595,0.0835,0.0226,0.582,0.0835,0.6,120.034,5sNmRWmAjtswqY3QQvS8sP,305554
0.899,0.677,-10.042,0.0394,0.0497,0.776,0.0603,0.657,119.007,2hFjxLPeeBZrvLb302MKLj,355969
0.742,0.622,-9.696,0.034,0.0206,0.465,0.313,0.462,120.012,1IkPg6cCScDHqSbbq61IXA,368144
0.704,0.932,-8.083,0.036,0.0758,0.79,0.369,0.447,119.978,7lho7sTZBzie1gERq3dEtm,527566
0.738,0.753,-8.62,0.317,0.00575,0.939,0.0507,0.444,120.0,1jwfn6MIDfs7BczMX2bS5J,224227
0.802,0.781,-8.183,0.0606,0.0709,0.526,0.0589,0.423,119.981,72nCkeEDv7znNYkz9jUrh4,298000
0.655,0.744,-12.586,0.0434,0.00674,0.632,0.087,0.118,120.029,2AcXyRqOejVCaEVsC88iEw,436715
0.805,0.484,-12.748,0.0665,0.0177,0.886,0.0712,0.588,119.992,1QYkx8JV0E6eEXoD1q49dD,339000
0.921,0.533,-13.203,0.133,0.227,0.816,0.121,0.21,119.999,4krFTTwq6VAFDZ3P419E8f,404000
0.818,0.917,-7.964,0.125,0.0573,0.928,0.0573,0.751,119.964,1WnZTp8oX83UoUlCJ2M2Rk,289983
0.876,0.801,-12.332,0.0481,0.123,0.906,0.0871,0.566,120.018,0pAQUzD33FnYlqHWBJAJPI,423837
0.833,0.821,-7.862,0.0711,0.455,0.638,0.484,0.783,120.79,1VrS7b7ieSGQIhEauDzm7N,205166
0.681,0.892,-6.594,0.0454,0.00056,0.856,0.0364,0.46,121.008,28UChihFP3bGpMJ2oaRpzF,269711
0.699,0.842,-8.049,0.0535,0.0132,0.923,0.574,0.863,121.017,5OnXpUXJfArXpxWIskl1E1,356508
0.728,0.75,-8.118,0.0701,0.0214,0.907,0.146,0.885,120.015,0z4xztC6tAI0R2ANGr6iJn,416425
0.704,0.669,-5.691,0.0309,0.0862,0.348,0.108,0.305,121.005,6BhwbBtaXivvPHmHCZmxkT,169267
0.853,0.462,-13.037,0.0508,0.00663,0.708,0.0831,0.538,121.972,1BTFbMjnu87NPOmjNjDT4f,376459
0.544,0.511,-9.411,0.0278,0.00519,0.9,0.144,0.0653,122.005,5YUyOSNj5gmRjZQ7yZ3JTA,363934
0.725,0.604,-9.621,0.0569,0.0743,0.867,0.109,0.304,121.996,4BZ81MnNMWipbFd4uLh6Ml,310820
0.683,0.644,-11.236,0.0562,0.00118,0.883,0.102,0.0741,122.001,12K1eNac6xyCYkKtvns2k4,505576
0.701,0.816,-10.55,0.0355,0.0112,0.413,0.123,0.207,121.983,1Rv6Lfdcny3Avjmpm4W4YM,260656
0.856,0.654,-11.216,0.0482,0.000188,0.768,0.0701,0.0846,121.997,3zRjdbOQvH2f40hk81ppns,417295
0.735,0.525,-9.567,0.0572,0.0271,0.673,0.0779,0.549,123.001,0HpHGti6doPOUBz66MAduf,456889
0.799,0.733,-8.312,0.0682,7.83e-05,0.87,0.0557,0.182,122.012,1AleARZA9JX0Makndi4eaB,411148
0.85,0.705,-6.242,0.0596,0.0103,0.17,0.105,0.784,122.008,3gL037sZHSKeajA3RhWGUx,323427
0.82,0.845,-5.217,0.101,0.00027,0.832,0.38,0.4,122.018,0hvxsHq9qn5f3FgWT07Ouv,322623
0.771,0.455,-10.765,0.129,0.00062,0.527,0.0604,0.507,122.992,6CbTrX2MUTNUdat5mJtQaV,439485
0.815,0.459,-12.588,0.0906,0.078,0.826,0.067,0.613,124.996,2SMQQX11RBFBnTkkZqrDfd,489750
0.746,0.956,-9.438,0.0402,0.00582,0.885,0.118,0.811,124.999,7y4QQ1NdYzJaJbHULP2Tw2,380017
0.872,0.603,-10.671,0.0766,0.215,0.537,0.109,0.33,124.999,3u1hU4L9HLGBjcj1nQekIv,422400
0.74,0.828,-8.151,0.0698,0.00762,0.558,0.112,0.711,124.021,3rWSVB8ImDF3x1P22txCPe,419015
0.645,0.76,-8.29,0.0512,0.000191,0.296,0.0263,0.476,123.989,0DmVOSnZLqxYEktgaVTP1H,462624
0.816,0.712,-8.898,0.0934,0.456,0.796,0.053,0.763,123.993,5njtAeRrYhEVvl9ZzXpqjY,332840
0.772,0.639,-8.912,0.0378,0.0615,0.0309,0.0674,0.961,124.001,1zCJFNkdm3AzIK1Cxp0rQc,242199
0.716,0.917,-5.091,0.0331,0.123,0.396,0.0628,0.751,124.032,4O3APpGNhOldqDsPF8IaS5,160669
0.727,0.39,-11.856,0.0384,0.0283,0.871,0.0793,0.0894,124.017,6J3aUG1y0zSJXOnsLhx41h,913215
0.631,0.651,-11.427,0.0482,0.18,0.931,0.106,0.666,124.013,4pNlEl7y5pT9f9zFy0oxXb,327097
0.694,0.701,-9.177,0.0322,0.000702,0.109,0.087,0.611,124.016,5xUomxrzkIr0MAP9YQur24,243373
0.734,0.823,-11.275,0.0365,0.0793,0.869,0.101,0.0653,124.0,5hjiRNGMYjihPgvNl12W0A,404500
0.843,0.924,-9.407,0.106,0.00691,0.563,0.177,0.866,124.004,5tNmUCoZuBY4z2oPxENNHJ,239047
