danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,6BePGk3eCan4FqaW2X8Qy3,172253
0.911,0.573,-7.43,0.288,0.38,0.0,0.403,0.972,140.04,3LtpKP5abr2qqjunvjlX5i,97393
0.705,0.872,-6.093,0.0416,0.0135,0.00271,0.0805,0.815,124.048,2UzWIjVXtv8PLa5JRKPYSb,151065
0.763,0.669,-4.402,0.0651,0.156,0.0,0.0867,0.609,135.028,5QQKWOwPjG9vcDBTQ5Hv5Q,212000
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018
0.758,0.599,-5.99,0.0877,0.57,1.13e-06,0.129,0.557,129.96,4ZpIuzx91EAPK3VimONbfB,219188
0.811,0.781,-6.333,0.0428,0.376,0.001,0.121,0.824,107.007,6hgoYQDUcPyCz7LcTUHKxa,219813
0.679,0.548,-7.495,0.0298,0.234,0.0,0.189,0.413,115.954,3K00Ib1shkOEiAXU5pec6e,155909
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
0.618,0.848,-4.329,0.0574,0.0028,0.000714,0.302,0.639,123.967,6PX5CRJFn24G3cypjNO6yw,150484
0.878,0.875,-4.923,0.0658,0.0507,3.42e-05,0.356,0.84,124.006,7g7OshelYRRnOSEMmisJVI,189880
0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
0.641,0.863,-3.864,0.0321,0.0152,0.088,0.274,0.36,128.035,1tpl2fUDbrPAcbPufthvQe,168705
0.534,0.855,-4.923,0.183,0.0607,0.000263,0.346,0.42,122.06,0zKbDrEXKpnExhGQRe9dxt,153443
0.845,0.797,-4.984,0.139,0.0582,5.57e-06,0.167,0.422,121.985,7fZBQnc0zXwVybgCIrQQil,151475
0.662,0.848,-4.338,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,5Hp4xFihdOE2dmDzxWcBFb,171778
0.783,0.72,-4.496,0.0533,0.429,3.11e-05,0.0632,0.925,104.958,48xHszgl5GSK5nefCOiFov,171500
0.695,0.63,-7.16,0.035,0.229,0.0,0.118,0.55,130.968,3D29kjUyWxsT3jUUTtARVQ,240413
0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455
0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,29d0nY7TzCoi22XBqDQkiP,300840
0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1xs8bOvm3IzEYmcLJVOc34,185093
0.798,0.763,-6.134,0.0654,0.204,0.0,0.213,0.698,132.016,37DnQQzvedZUOhtjEEaHQT,163977
0.67,0.727,-5.477,0.0689,0.277,0.0,0.52,0.412,110.151,5FHPvs8RxWBQXP2Rq9I2B2,150013
0.825,0.773,-5.234,0.0566,0.299,0.382,0.0912,0.511,125.005,4GCDX1A3tNGauj5FJfQfvy,223352
0.372,0.915,-4.577,0.085,0.064,0.00011,0.126,0.466,91.124,1SlLP2AI4L2oh3VRJfHBpf,153222
0.658,0.725,-4.604,0.0321,0.0292,0.000107,0.163,0.368,128.117,0RGpd5zCowfEItCUF7Itpr,223173
0.66,0.72,-5.874,0.0753,0.301,0.0,0.226,0.628,99.937,6OZwia8loN0aPS0vTvsBjR,192960
0.793,0.78,-4.247,0.249,0.341,0.0,0.111,0.576,178.046,3Zyk5Vd9WNPNVWxvb0EZTk,203360
0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,0QBzMgT7NIeoCYy3sJCof1,206071
0.544,0.578,-9.49,0.18,0.216,1.92e-06,0.0949,0.219,169.973,5EWPzyWm0b9McPS5Qyaijp,165558
0.763,0.697,-5.735,0.0507,0.541,0.194,0.109,0.485,98.998,6bW7YnPQQffit1iwule5Vv,166643
0.853,0.619,-5.842,0.154,0.499,0.0124,0.102,0.755,94.988,2GS9AEoOjgbztBfIbCJ2mr,160421
0.695,0.769,-5.532,0.05,0.0462,4.5e-05,0.0814,0.761,115.936,0k5RQGviUoEt78mfqI3wDV,185564
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4Dvkj6JhhA12EX05fT7y2e,167303
0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4zN21mbAuaD0WqtmaTZZeP,186662
0.786,0.757,-4.889,0.106,0.0978,0.00106,0.131,0.898,175.903,3fgEIHsl6ecyAK1rpAxBIY,189867
0.792,0.895,-3.112,0.0589,0.165,0.0,0.0501,0.794,94.968,4QtiVmuA88tPQiCOHZuQ5b,201526
0.621,0.785,-4.499,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,1RF02Cf80mTaeNXG2P2boR,155253
0.616,0.841,-4.779,0.076,0.0559,0.00217,0.417,0.714,110.029,5YdnOm5990Kfq1Jodws98B,154561
0.693,0.887,-5.039,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,5pyoxDZ1PX0KxBxiRVxA4U,278282
0.795,0.565,-4.457,0.0948,0.131,0.0,0.0802,0.55,87.925,2PDgArI0p7UkeYgXWuqpmh,172342
0.865,0.682,-4.563,0.0548,0.284,0.00445,0.0422,0.508,140.052,4KHXk0rTD80mEf7bbdK29j,159357
