danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.819,0.61,-8.376,0.366,0.207,1.13e-05,0.353,0.306,110.046,3Cg22mWYpcDrCLWsgTaUwk,179114
0.721,0.722,-6.75,0.0342,0.283,6.71e-05,0.159,0.335,119.933,2Qp0s8Qr7CMynidI7925H2,147500
0.647,0.761,-5.151,0.0308,0.00959,6.98e-06,0.145,0.196,108.023,6pSNRgtbbqRYgpwkVQqi3Z,190035
0.679,0.548,-7.495,0.0298,0.234,0.0,0.189,0.413,115.954,3K00Ib1shkOEiAXU5pec6e,155909
0.751,0.713,-5.846,0.0654,0.0246,2.74e-05,0.157,0.474,102.005,0ZERGmkfuDSrLaIzEGFdiH,187095
0.428,0.493,-9.754,0.0351,0.259,2.04e-06,0.084,0.154,105.138,3Z9wiXDPADfxgovNa2I6ph,155458
0.764,0.522,-10.804,0.0693,0.328,9.36e-06,0.152,0.153,135.053,1z5r6Rpcc1BreRtYALBncX,168000
0.507,0.505,-9.919,0.0431,0.607,0.00209,0.118,0.228,93.378,41iKApBwuxn4DlCulZGmYj,169032
0.85,0.769,-5.773,0.0422,0.0438,0.000464,0.103,0.192,114.987,4Hqznl1iOMNK4Yr2e4H0D4,121462
0.461,0.644,-6.12,0.0482,0.138,0.054,0.142,0.0372,122.012,7AN0hFYz8HBixfNKRn1sls,322299
0.716,0.574,-10.276,0.0334,0.532,0.0493,0.125,0.358,142.051,1ByxuN2e68C9mAx85Vcumt,278227
0.661,0.81,-9.099,0.0469,0.0764,0.23,0.105,0.823,103.996,6HXdL92qb3doVllJ5yChnd,224550
0.694,0.602,-7.358,0.0276,0.472,0.0982,0.109,0.329,104.997,7jUBj3nZfs0dRqr68b4yxy,164008
0.637,0.506,-9.54,0.0485,0.408,0.000119,0.118,0.128,112.076,6qGiXMtDuZiItgekdecWsd,182000
0.733,0.488,-12.761,0.11,0.838,0.28,0.108,0.253,119.998,4s7QgMMyMlol6ccHoSwyyQ,212506
0.616,0.674,-8.248,0.05,0.158,8.06e-05,0.214,0.278,121.926,3bQB674GPa0g7tG1AiCFMU,217377
0.828,0.639,-6.251,0.0351,0.167,0.165,0.133,0.496,123.021,2JOTbHmj0jwBM9bHgcVEOq,135688
