danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,287120
0.587,0.722,-6.983,0.0709,0.000754,0.668,0.543,0.466,121.964,3q9oTSo64CrjOiPwI4DbWE,180843
0.572,0.81,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,6PUIzlqotEmPuBfjbwYWOB,214912
0.836,0.846,-4.673,0.0392,0.0907,0.047,0.057,0.942,122.042,0xfMlIW8lS40qvpsUw1l0X,169945
0.845,0.797,-4.984,0.139,0.0582,5.57e-06,0.167,0.422,121.985,7fZBQnc0zXwVybgCIrQQil,151475
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
0.646,0.741,-4.973,0.034,0.0275,0.0,0.312,0.571,123.077,6h5PAsRni4IRlxWr6uDPTP,203000
0.723,0.57,-8.589,0.0429,0.00412,0.00183,0.0862,0.575,123.979,4ekDggjElGJX9kNSOtnbVf,196000
0.601,0.713,-3.758,0.0449,0.0282,0.0,0.158,0.464,122.872,1WCEAGGRD066z2Q89ObXTq,169756
0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,3M89zvwwb1jtDUDKYNsdiA,128500
0.641,0.863,-3.864,0.0321,0.0152,0.088,0.274,0.36,128.035,1tpl2fUDbrPAcbPufthvQe,168705
0.686,0.524,-7.251,0.0343,0.649,0.0569,0.14,0.0951,124.938,0D2VYiRlBv43asKUgieZaM,201627
0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,3uUuGVFu1V7jTQL60S1r8z,148197
0.623,0.889,-2.169,0.0367,0.0939,0.0,0.358,0.466,149.931,03SEp9sXkAOAgxJtSLuVEi,169500
0.763,0.782,-4.541,0.0346,0.182,7.08e-06,0.293,0.502,127.034,3sa06xVNmLLYIxdNNmVQN8,177689
0.769,0.719,-5.472,0.0474,0.0143,0.00777,0.359,0.863,121.955,0zLCBJZSiELJf02ucPP9wb,176867
0.74,0.831,-7.321,0.0456,0.444,0.00304,0.0769,0.448,121.034,6UqRGwjwYL0stXbaodTxwo,210853
0.704,0.669,-5.691,0.0309,0.0862,0.348,0.108,0.305,121.005,6BhwbBtaXivvPHmHCZmxkT,169267
0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,186210
0.561,0.87,-6.103,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4dTaAiV9xFFCxnPur9c9yL,210093
0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,7ef4DlsgrMEH11cDZd32M6,214847
0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,6OufwUcCqo81guU2jAlDVP,241970
0.553,0.963,-5.972,0.0889,0.171,0.00064,0.09,0.464,126.066,6OeRAvRqfqpaHHTzrnCSHJ,186377
0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,4cG7HUWYHBV6R6tHn1gxrl,169153
0.52,0.935,-3.713,0.0482,0.0018,0.00047,0.302,0.0797,144.994,2PG3D6a0BaldrZB9W0FPuv,131172
0.733,0.96,-3.597,0.0295,0.0514,0.00199,0.287,0.811,124.01,0vR2rIVORmgeKiGIgNT0fV,189672
0.623,0.833,-2.951,0.0557,0.0191,0.0174,0.331,0.411,124.973,2z9BHtXQT5XsrIThekoZ8s,177600
0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,1HFfMOxCAT4GAwaPfCdmUs,208133
0.903,0.545,-6.896,0.05,0.0226,8.2e-06,0.0571,0.87,124.011,3ig8Zzc0TgQbtJZbctWHZa,188987
0.677,0.766,-6.896,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,51Of5p3lKZeOg6itfs4og4,190488
0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,5YaskwnGDZFDRipaqzbwQx,150053
