danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.706,0.664,-9.723,0.0285,0.35,0.0,0.17,0.672,106.99,2j4O1Oz0AVTWNLHjhTzBbJ,233233
0.777,0.806,-7.57,0.0348,0.0817,2.24e-05,0.0295,0.963,140.002,4bEqJTQXMOGGnvFbDOMnHi,268237
0.794,0.756,-7.672,0.0606,0.0576,0.0,0.102,0.919,136.011,2vknxlulbj1JApedTlmrZv,219320
0.716,0.709,-9.835,0.0605,0.604,0.000139,0.0868,0.926,99.9,0WcFWvjYOAEFJn1LuvqX7F,265366
0.705,0.943,-8.27,0.0492,0.0298,0.000353,0.0668,0.729,127.532,6wE5bUgyErJTzGBqqbjdGo,280080
0.794,0.565,-8.029,0.0538,0.0665,1.06e-06,0.0486,0.555,100.03,76ej94nqmhe05PyEvw15wK,255152
0.761,0.708,-11.361,0.043,0.178,0.000108,0.324,0.678,98.964,4iKQHYDFlFsX28FeViuwSK,315991
0.727,0.933,-6.008,0.0545,0.259,1.48e-05,0.326,0.962,99.972,7qLXBcYW78is9LygQBziAU,289228
0.621,0.965,-3.887,0.0431,0.00248,0.000169,0.119,0.809,144.971,093CMFUwvPyFIsjBsVfBPO,315640
0.809,0.981,-1.024,0.112,0.0856,4.77e-05,0.0482,0.964,141.975,5Z4F0zOGKoYLv8EtBhLzmZ,280520
0.598,0.67,-8.127,0.0766,0.554,0.0,0.863,0.853,169.924,1qzVBmXs4OeL8nwl7bZIMf,333558
0.721,0.799,-7.998,0.0392,0.125,4.62e-05,0.366,0.771,107.886,0iHyLzEeCcu19aEC2M3o5M,244651
0.777,0.843,-8.877,0.041,0.197,0.000137,0.0976,0.822,118.023,6NmGlzeBRAUTs3FIXgXlO6,323579
0.88,0.87,-9.106,0.0536,0.128,0.000276,0.156,0.815,117.918,4q8JLWV2F4a59csHoT99f9,238016
0.368,0.149,-13.258,0.0542,0.988,1.42e-06,0.71,0.237,89.973,1jhp3vVPovQUknmzNFoeY4,244219
0.681,0.426,-16.845,0.0783,0.808,0.0711,0.183,0.625,127.745,4zuBdq5eJ3u1UZmu4PSRR4,184036
0.744,0.964,-6.145,0.0426,0.117,0.00184,0.0994,0.949,124.011,6x3MXBheoO7innyXyDYZSD,227788
0.747,0.962,-2.387,0.0439,0.127,0.012,0.2,0.963,139.993,2Dl6xEOmTWxi633TuZITw5,298347
0.782,0.722,-10.249,0.034,0.0207,0.0,0.0514,0.863,116.983,6dzfREL5EwPZxPGIgKsieT,291593
0.752,0.798,-7.685,0.0766,0.213,6.94e-05,0.0568,0.744,127.947,02hyp5EqS8Wu6F3gbAGYLM,206080
0.732,0.614,-11.12,0.0552,0.0646,0.000417,0.0277,0.932,107.973,3vL0Y0ixJVfLR9NWCtdzV4,213539
0.758,0.805,-7.98,0.0376,0.155,0.0184,0.113,0.331,116.966,3Myno7mzYuIaNrOGPlIheQ,308050
0.47,0.38,-11.53,0.0605,0.086,0.0029,0.24,0.614,170.706,55HS624LYOCR3QwOUxWbMJ,329105
0.755,0.815,-6.49,0.0324,0.0559,0.0,0.109,0.57,105.0,0i0mVeWHmiqfECKPueNQ3D,273987
0.703,0.904,-6.042,0.0569,0.0267,0.00189,0.0569,0.805,130.023,3E7fwLAXsUY6It9ULghQL1,360533
0.448,0.875,-7.671,0.0677,0.519,0.0299,0.0731,0.913,166.079,6wxXxapAHwpxgHdB0FCax2,225120
0.72,0.894,-10.243,0.0562,0.139,0.00931,0.0601,0.945,147.594,7q7uCscCFs0DYuYDxK2gJ5,267200
