danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,7ef4DlsgrMEH11cDZd32M6,214847
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,247427
0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,1mea3bSkSGXuIRvnydlB5b,242373
0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093
0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,1zi7xx7UVEFkmKfv06H8x0,173987
0.504,0.904,-6.863,0.179,0.356,0.121,0.14,0.772,176.808,1jDJFeK9x3OZboIAHsY9k2,183440
0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,0ofHAoxe9vBkTCp2UQIavz,257800
0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,5rb9QrpfcKFHM1EUbSIurX,250373
0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,6dGnYIeXmHdcikdzNNDMm2,185733
0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,2tUBqZG2AbRi7Q0BIrVrEj,291293
0.726,0.769,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,3B54sVLJ402zGa6Xm4YGNe,233902
0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773
0.758,0.871,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,6bNB5gxFX6Q87DbQWb8OWZ,202627
0.692,0.711,-7.498,0.0317,0.225,0.0,0.12,0.875,125.135,1TfqLAPs4K3s2rJMoCokcS,216933
0.508,0.834,-6.205,0.0386,0.0183,0.0,0.0732,0.774,139.131,0GONea6G2XdnHWjNZd6zt3,216053
0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,2Z8WuEywRWYTKe1NybPQEW,214507
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.852,0.797,-6.543,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,228BxWXUYQPJrJYHDLOHkj,192600
0.779,0.64,-8.415,0.159,0.000155,0.00077,0.101,0.498,99.019,4TsmezEQVSZNNPv5RJ65Ov,246960
0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693
0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,167067
0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,2V65y3PX4DkRhy1djlxd9p,212862
0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,76hfruVvmfQbw0eYn1nmeC,219147
0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,6YUTL4dYpB9xZO5qExPf05,222533
0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,6RtPijgfPKROxEzTHNRiDp,224840
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
0.565,0.564,-10.044,0.0292,0.161,0.0,0.114,0.454,134.355,0jWgAnTrNZmOGmqgvHhZEm,295533
0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,20OFwXhEXf12DzwXmaV7fj,141600
0.491,0.583,-10.964,0.0376,0.185,0.0,0.406,0.908,150.566,3yrSvpt2l1xhsV9Em88Pul,183307
0.572,0.418,-10.738,0.0349,0.635,0.0,0.0961,0.694,104.566,745H5CctFr12Mo7cqa1BMH,165000
0.552,0.608,-9.786,0.0345,0.352,0.0,0.0533,0.637,112.367,4s6LhHAV5SEsOV0lC2tjvJ,162373
0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,05wIrZSwuaVWhcv5FfqeH0,238733
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773
0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.76,103.312,5O4erNlJ74PIF6kGol1ZrC,237000
0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,170827
0.573,0.781,-6.406,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,1UZOjK1BwmwWU14Erba9CZ,231907
0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,6cx06DFPPHchuUAcTxznu9,166028
0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,0E9ZjEAyAwOXZ7wJC0PD33,184560
0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360
0.791,0.59,-9.206,0.0793,0.0994,0.00203,0.065,0.714,119.951,2GYHyAoLWpkxLVa4oYTVko,206067
0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,6naxalmIoLFWR0siv8dnQQ,211160
0.737,0.86,-2.652,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,5w9c2J52mkdntKOmRLeM2m,193227
0.816,0.726,-3.998,0.129,0.099,0.0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390
0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,2M9ro2krNb7nr7HSprkEgo,296800
0.729,0.844,-8.824,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,7HW5WIw7ZgZORCzUxv5gW5,275440
0.82,0.575,-9.144,0.0408,0.0936,0.000135,0.109,0.964,123.765,3Vby4nGmtbDo7HDJamOWkT,208947
0.762,0.661,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009,1hGy2eLcmC8eKx7qr1tOqx,225373
0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,75FYqcxt1YEAtqDLrOeIJn,180267
0.664,0.714,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,0vbtURX4qv1l7besfwmnD8,197933
0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,2MLHyLy5z5l5YRp7momlgw,200307
0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999,5R8dQOPq8haW94K7mgERlO,237200
0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,1HFfMOxCAT4GAwaPfCdmUs,208133
0.673,0.735,-4.733,0.0457,0.286,0.0,0.242,0.754,115.744,4ofwffwvvnbSkrMSCKQDaC,201287
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253
0.888,0.632,-3.872,0.219,0.19,0.0,0.101,0.662,91.979,2NBQmPrOEEjA8VbeWOQGxO,266067
0.789,0.72,-5.652,0.218,0.223,0.0,0.129,0.664,122.031,3H7ihDc1dqLriiWXwsc2po,166794
0.488,0.862,-7.595,0.0476,0.0204,0.0,0.359,0.706,104.56,1FkoVC85Ds3mFoK0fVqEqP,257827
0.792,0.717,-4.759,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,1A8j067qyiNwQnZT0bzUpZ,195547
0.744,0.804,-6.327,0.0677,0.0231,0.0,0.0494,0.426,104.823,6De0lHrwBfPfrhorm9q1Xl,205715
0.776,0.559,-8.375,0.103,0.11,0.0,0.0671,0.758,122.242,6JRLFiX9NJSoRRKxowlBYr,232200
0.822,0.969,-11.471,0.0582,0.259,0.000153,0.39,0.765,128.007,2yAVzRiEQooPEJ9SYx11L3,283748
0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,2x7MyWybabEz6Y6wvHuwGE,241933
0.622,0.807,-6.752,0.408,0.103,0.0,0.306,0.892,174.06,6x4tKaOzfNJpEJHySoiJcs,220293
0.692,0.651,-8.267,0.0324,0.292,0.00241,0.105,0.706,97.923,0bRXwKfigvpKZUurwqAlEh,254560
0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,0n4bITAu0Y0nigrz3MFJMb,263827
0.516,0.549,-13.741,0.0373,0.501,0.00572,0.184,0.907,176.941,4gvea7UlDkAvsJBPZAd4oB,288733
0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075,04KTF78FFg8sOHC1BADqbY,228240
0.802,0.756,-10.791,0.0349,0.0843,0.00765,0.0521,0.963,131.715,6ztstiyZL6FXzh4aG46ZPD,288293
0.267,0.953,-4.899,0.096,0.00211,0.0,0.283,0.568,84.989,0PdM2a6oIjqepoEfcJo0RO,267307
0.812,0.879,-10.998,0.0397,0.0167,0.224,0.366,0.962,129.991,5ZrDlcxIDZyjOzHdYW1ydr,197960
0.715,0.833,-5.379,0.108,0.00631,0.0,0.164,0.612,95.487,3jDdpx9PMlfMBS5tOBHFm9,213093
0.791,0.754,-3.729,0.0569,0.00446,0.0,0.163,0.425,125.014,6tS3XVuOyu10897O3ae7bi,234653
0.531,0.481,-11.709,0.06,0.699,0.0,0.0842,0.491,138.45,1fDsrQ23eTAVFElUMaf38X,516893
0.787,0.728,-3.455,0.389,0.189,2.29e-05,0.0629,0.545,180.066,4uoR6qeWeuL4Qeu2qJzkuG,200198
0.627,0.954,-4.804,0.0425,0.0015,0.000814,0.292,0.312,128.016,5TmFTHZp7HjBXjjsFvCY6h,223112
0.768,0.829,-5.109,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,2olVm1lHicpveMAo4AUDRB,234333
0.668,0.73,-7.182,0.0366,0.225,0.0,0.188,0.894,92.049,2wSAWEYUHkt92X4SBAPqZE,252773
0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,2yPoXCs7BSIUrucMdK5PzV,275987
0.815,0.518,-6.594,0.0897,0.223,0.0,0.104,0.877,151.891,1tNJrcVe6gwLEiZCtprs1u,177667
0.557,0.8,-8.477,0.0601,0.00132,0.0012,0.0906,0.582,135.47,1sTsuZTdANkiFd7T34H3nb,245373
