danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.34,0.823,-7.181,0.0455,0.0854,0.668,0.141,0.0389,119.972,7JXVPV3BIeuDs7JImsuN9P,246405
0.679,0.668,-7.913,0.0315,0.000737,0.507,0.0591,0.362,130.009,222xHxHw2MXwNX2qRFO6cB,195409
0.442,0.891,-6.561,0.0828,0.15,0.000124,0.228,0.362,162.012,0woEYg2SEO3u2MFKmVnDgM,218738
0.635,0.877,-6.932,0.0379,0.00943,0.929,0.102,0.655,124.014,7yWd93ZTbCuhaH2QCsTHKc,220745
0.792,0.861,-6.838,0.0476,0.0472,0.838,0.107,0.0888,127.999,3yaAqfGcXeC02j88iaoebG,335384
0.83,0.402,-9.734,0.0367,0.536,0.565,0.0935,0.15,120.034,4gm8AfWEmRuWDfk65P1Nde,299440
0.6,0.323,-10.311,0.107,0.335,0.0,0.0902,0.237,75.858,6P1X3qgDqlkjf8XmJS9Xiw,205355
0.732,0.885,-4.538,0.129,0.000639,0.00127,0.032,0.809,133.018,6YjVrP2g7gJYh3aXkgnspC,239668
0.577,0.532,-9.73,0.0306,0.826,0.549,0.111,0.23,139.964,4cESBgPWqUgTCkQdLBMEsz,223814
0.563,0.803,-6.671,0.055,0.0227,9.01e-05,0.306,0.282,104.987,4zvJOqQjIA1KEfH5smPq6K,159616
0.642,0.937,-4.058,0.15,0.0147,0.632,0.12,0.528,123.994,78M9wiuBmRktLeDvgvsk3s,224908
0.581,0.918,-8.205,0.0309,0.00632,0.896,0.053,0.709,133.998,4e3Qn7ZlJsaRKUOJwzGVzk,304990
0.598,0.922,-5.182,0.213,0.0508,0.0,0.347,0.531,137.954,0mQUq0nuO4NOxkCElgp2Y9,228067
0.553,0.303,-14.95,0.401,0.626,0.942,0.0988,0.359,119.596,2tjotfP0A3kTyx71G42exR,208275
0.499,0.486,-11.636,0.0387,0.901,0.932,0.114,0.507,88.096,1AhYmMPEM7UKVSrKC7sfSO,492317
0.596,0.774,-5.282,0.0886,0.222,2.04e-06,0.112,0.655,135.935,2KyawAGl39jfqeZOrVJanN,207341
0.744,0.638,-7.376,0.0409,0.00502,0.0818,0.593,0.688,118.845,5Ga1jDKhuAiZIk2bnh9ODX,220458
0.61,0.886,-6.739,0.0491,0.0133,0.00138,0.0877,0.81,139.985,2302Z0DrnuYan1AfNO04bz,207841
0.486,0.444,-17.831,0.0945,0.229,0.814,0.109,0.468,140.048,7KeANzNehacJlX4AsNUeG2,246333
0.703,0.873,-9.467,0.0562,0.0189,0.57,0.316,0.534,136.0,1UERuR9hjz9GM609JIjtGx,277239
0.693,0.331,-12.146,0.0377,0.693,0.811,0.0785,0.421,140.025,70jr15kpcFlZAyJ8hotjIg,281042
0.782,0.955,-6.09,0.0688,0.436,0.00555,0.161,0.947,120.044,2rAlaZWP0d14VyphXZEsZr,216040
0.596,0.781,-8.436,0.0353,0.0625,0.737,0.086,0.306,134.0,2wi0QZ8SagYzfSeAee6Rm4,230644
0.734,0.51,-11.198,0.111,0.214,0.000458,0.0679,0.586,80.002,1xqkbi0rZNNcbGv8r6kK8p,228727
0.702,0.887,-5.817,0.0545,0.0517,0.93,0.164,0.319,128.009,1QY1JdMErccck5JBqqI7tH,341137
0.705,0.88,-8.887,0.0631,0.00481,0.862,0.0512,0.581,127.982,3AaGCSpUFAmtB1XGxz5IWk,245208
0.576,0.848,-5.935,0.0333,0.00161,0.00144,0.11,0.532,130.026,2edB8M0PPZCoYKm8ohDaNm,277433
0.719,0.869,-9.371,0.0621,0.0341,0.801,0.125,0.919,134.988,7MndqEJo8v79ZzT0dfkVdE,200000
0.584,0.798,-14.769,0.0395,0.868,0.926,0.128,0.837,133.962,15RXHgm7esKYvPcHGTelUI,251796
0.638,0.786,-5.0,0.0285,0.00268,0.648,0.12,0.379,136.009,12tzUisHWGTVrz5g2Hudz9,220441
0.781,0.367,-10.168,0.218,0.217,0.00127,0.0559,0.447,117.985,1cU4jWWFTAiclPWyD3X2KP,222912
0.408,0.493,-8.93,0.0338,0.0244,0.161,0.144,0.13,175.88,50p95vsF3KsQ1Yp4tt6Qkf,213672
0.419,0.635,-5.911,0.0441,0.392,0.592,0.44,0.0375,107.878,58sa3HUZL71gpMB6XvhaUo,400130
0.805,0.648,-8.357,0.108,0.00118,0.769,0.0672,0.512,130.02,4wgE9XKaHBl9E42jK7AgVu,461538
0.489,0.92,-4.746,0.0323,0.0376,0.665,0.25,0.215,126.991,6nGhGBz7uaE1RngnIFRKep,417431
0.65,0.655,-9.546,0.0587,0.0127,0.599,0.265,0.918,149.982,7iHetqDyri7aXIyl69QqHG,134524
0.377,0.951,-4.015,0.0482,0.0279,0.253,0.129,0.298,133.931,61rELAKbEKXdidjxXviWd0,203751
0.714,0.409,-9.681,0.0325,0.523,0.00347,0.0842,0.387,96.494,0lYuxJG0W5ReSZ31j6Lnqv,280904
0.2,0.405,-8.625,0.0395,0.66,0.277,0.142,0.073,181.164,0pemQSbjPQbJllCNTlsmBu,804133
0.527,0.752,-9.063,0.0299,0.00123,0.865,0.0704,0.137,121.016,7oZ1Px5qTBgeDS3vo1YMfr,273845
