danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.841,0.466,-8.386,0.203,0.065,0.0,0.0898,0.744,110.056,3xrZCGMyXIDqesVz4QwJOL,162373
0.847,0.732,-7.958,0.244,0.261,0.000776,0.151,0.635,129.013,7CUyAFCglHgpTRr18gxWIA,210000
0.891,0.609,-5.118,0.115,0.0571,0.0,0.102,0.645,115.001,67PWiuodhQW3lAANwQpYjY,221000
0.775,0.662,-10.127,0.83,0.408,0.0,0.0858,0.157,89.973,2TXnBwlvwVn4mrx0BQNpAo,181760
0.695,0.558,-5.347,0.124,0.629,0.0,0.114,0.581,145.031,6x6QrI8ihtRz4Eme7BiYnG,135501
0.654,0.483,-10.863,0.0818,0.466,5.99e-06,0.102,0.471,126.007,0p1eZl6pqsvQxT0edMinWl,185685
0.841,0.661,-6.128,0.184,0.137,0.0,0.105,0.581,126.88,6TKLilxz5RbEzbD077TRaH,183086
0.709,0.612,-5.984,0.17,0.136,2.21e-05,0.127,0.427,82.5,43eoqH9CIZqy7VXLnwwMnu,197387
0.811,0.757,-6.614,0.223,0.00426,0.0,0.227,0.625,143.964,7pkVwyLAeuHvIlmxQLyLXv,163920
0.756,0.481,-5.945,0.105,0.501,0.0,0.132,0.711,140.019,6oMbBo7FX2oKc0MXxMmFRg,183855
0.741,0.735,-4.806,0.0971,0.265,0.0,0.0991,0.936,142.092,2kwgkdz8prL3TlpF5QWy6u,217893
0.921,0.518,-9.302,0.371,0.0676,0.0,0.117,0.386,116.973,3OAZDZPMMRhtqWwLHG7TQt,205667
0.737,0.768,-4.147,0.0394,0.0596,0.0,0.0931,0.75,97.496,0hRabsM44gwK2NUQHPueWS,194152
0.721,0.509,-9.356,0.153,0.423,7.74e-05,0.116,0.317,157.022,1O1EqgvgRyj1ejZPUxI0UX,199961
0.752,0.669,-9.817,0.251,0.167,0.0,0.0795,0.627,155.997,0z3bi63SNZ5ylyHOzb81Uq,123846
0.742,0.74,-6.523,0.057,0.212,2.24e-06,0.109,0.668,124.999,5wXNVsx3hBKgIFuKeesh9K,186973
0.864,0.595,-5.513,0.0506,0.52,0.000817,0.0689,0.758,119.077,4serT1J6lu8eTsMMG9VhF8,151000
0.574,0.538,-9.716,0.468,0.184,0.000222,0.114,0.309,140.052,2tpETEYy3MTi9xSSObeQJL,209176
0.756,0.379,-11.675,0.291,0.146,3.29e-05,0.0591,0.627,194.101,33HgKezjJccCOoq6PdE7TY,168247
0.724,0.796,-4.531,0.157,0.202,0.0,0.167,0.57,165.114,5DyFF6LjjTD86A1KKZKXuc,166950
0.672,0.683,-7.944,0.0991,0.271,0.0,0.163,0.384,129.098,45205gjKyeu5EkmC15doey,217520
0.695,0.741,-7.944,0.301,0.297,4.09e-05,0.124,0.669,146.083,6LDTAzPyVxm5Teh2jmhF6x,185000
0.728,0.422,-8.53,0.0441,0.361,0.00111,0.104,0.48,130.09,7dx2Fl6o4UqRT6sUNskitx,154968
0.706,0.392,-12.173,0.0964,0.339,4.57e-05,0.102,0.71,142.041,70kTL6Tzwj12frIOHN2z1X,175775
0.757,0.661,-6.743,0.0771,0.763,0.0,0.0592,0.51,119.995,1dlvVHWYuDtpQR2ARBLE6D,203400
0.801,0.815,-6.861,0.108,0.00852,0.0203,0.313,0.629,140.013,03o8WSqd2K5rkGvn9IsLy2,170653
0.65,0.659,-5.903,0.243,0.077,0.0,0.577,0.454,95.638,6MtwKaiVmN2OGxsPhZ27Xj,226147
0.818,0.726,-5.744,0.314,0.247,0.0,0.198,0.718,121.931,0r48kwf0uZMbtg4E5xiSsG,176650
0.748,0.692,-6.154,0.261,0.414,0.0,0.0942,0.552,139.983,5F7fASl5EaHs1HrH06kftK,196385
0.939,0.568,-4.468,0.142,0.0751,0.0,0.065,0.54,105.07,5bf3qVyRtIpk4Ym3JHalWk,139613
0.881,0.505,-7.903,0.284,0.0519,1.19e-05,0.0812,0.176,119.992,1nx0Sl74Fpgmu0XtOkCrO3,152680
0.553,0.843,-5.518,0.33,0.811,0.0,0.105,0.467,145.029,14Kk05fSfvXG4SwSCIfUgC,106240
0.573,0.5,-7.098,0.146,0.651,7.9e-05,0.0936,0.284,148.374,5iAmmra4TKlT2zXT11pf7h,158787
0.751,0.61,-8.368,0.485,0.337,0.0,0.11,0.525,167.983,5S12Ds2RswM2ITC0u1J01f,187027
0.848,0.837,-7.083,0.233,0.0413,1.31e-06,0.252,0.807,142.01,2t79H1R05PirgQNeF7slNP,147920
0.691,0.256,-10.177,0.0651,0.874,0.0,0.0826,0.519,130.087,2XDA9Zt9QI6vV3E1d7v1XS,153013
0.786,0.516,-10.753,0.301,0.0774,0.0,0.157,0.559,139.978,2ADZ1xj45sELCbZjvUIduK,186000
0.818,0.647,-5.551,0.206,0.0352,0.0,0.104,0.294,127.998,7e2Tp6VXwjZA5MnpqgGR7g,187293
