danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.892,0.662,-3.894,0.162,0.169,1.24e-06,0.363,0.607,93.976,54ELExv56KCAB4UP9cOCzC,227013
0.795,0.845,-3.809,0.135,0.105,1.14e-05,0.172,0.769,170.023,6DoL1yYIwEW7VZMRaJhoJI,254920
0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567
0.802,0.787,-6.181,0.0599,0.0832,0.0,0.153,0.446,94.026,53v2u51nq3CxiKUNphRzP1,167975
0.813,0.699,-9.564,0.114,0.132,0.0448,0.0659,0.779,94.006,4cHCdnHDWhNUmglHola72x,244560
0.694,0.571,-8.519,0.204,0.0199,4.63e-06,0.0793,0.66,179.903,7Ibw9GKJqc9vPLbCZwhi7N,193732
0.824,0.496,-6.153,0.243,0.000776,0.000196,0.344,0.4,171.993,2PLUdeWqMCRnD1H2e3kt4H,194587
0.58,0.762,-5.416,0.172,0.102,0.0,0.0717,0.413,171.994,1K6uHyVFZVOi2nwocfW47u,181533
0.841,0.738,-6.234,0.13,0.0335,0.0,0.0688,0.534,93.993,2y5syagGbjKRv9ee7ZGK3K,191489
0.708,0.772,-4.43,0.176,0.105,2.95e-05,0.124,0.646,175.835,3dRvPRZUjcp2aUtugTFzDK,225056
0.782,0.836,-4.996,0.0805,0.114,0.0,0.0731,0.52,91.976,5NlbLDVbwLG92FAfAH9eQv,224932
0.81,0.753,-3.529,0.193,0.215,0.00024,0.0932,0.837,179.929,1jEz1hhs8mUmHPCrTTIvup,178000
0.671,0.838,-3.474,0.173,0.371,0.0,0.208,0.929,178.035,19AEEgKZcBTZs3kq0ad2JQ,178237
0.765,0.731,-6.572,0.119,0.243,0.0,0.0621,0.873,171.984,49KmbdsI1k5LkdJwz64orV,213774
0.785,0.734,-5.422,0.0745,0.196,0.0,0.0455,0.75,88.012,4eDnrVvLgLSOJD6xM29eg7,190454
0.813,0.553,-6.274,0.433,0.261,0.0,0.176,0.683,130.905,4kdMfObhCkNZ47gsl63uXP,281219
0.645,0.606,-5.2,0.128,0.409,0.0,0.0576,0.772,159.971,6JOcymFi9YiNBB1mGWw3V0,228797
0.828,0.636,-2.839,0.148,0.149,4.96e-06,0.682,0.619,83.99,2NrpiW6Kc1XPm9AzmvuxEa,205714
0.723,0.636,-6.695,0.0899,0.239,0.0,0.0674,0.507,91.972,5002jhe77WW8C52OjUDwBt,201963
0.562,0.755,-4.367,0.112,0.0967,2.25e-05,0.143,0.609,83.997,5W1qmxHrMlQGGAiFA3ZQqP,277693
0.687,0.782,-5.571,0.072,0.629,3.15e-05,0.106,0.72,89.978,5Y0ZwhwMEQ7NIb5PeAp0YI,171333
0.839,0.711,-4.733,0.0473,0.398,2.02e-06,0.118,0.573,97.99,43qcs9NpJhDxtG91zxFkj7,349547
0.631,0.745,-4.533,0.0835,0.578,5.42e-05,0.109,0.887,82.539,6P7pP5JgqaRPUofPQQ7En4,166988
0.7,0.579,-6.216,0.236,0.3,0.0,0.103,0.663,110.597,7G38Wgac1qF3ekqWyUMPCz,191892
0.462,0.606,-7.357,0.276,0.523,0.0,0.097,0.6,83.088,5TQfaKF3g6RRPWeNkTQ0bA,177700
0.462,0.73,-7.259,0.329,0.1,0.0,0.179,0.956,172.342,7dMNdJC5KGd6T4RfYMU7cR,171628
0.751,0.602,-5.749,0.0649,0.522,0.000514,0.217,0.756,165.986,6AtFDHcXIK4OveLCkttfGP,174280
0.812,0.691,-5.837,0.352,0.614,1.04e-05,0.226,0.876,168.024,661BAtQVPGlDZ097DzN1hJ,255607
0.883,0.6,-7.188,0.37,0.114,7.94e-06,0.0931,0.691,113.903,26w9NTiE9NGjW1ZvIOd1So,156430
0.829,0.723,-3.743,0.105,0.176,0.0,0.0877,0.721,92.956,4ByaTrfoYbXrmlbsTG8MTD,237907
0.687,0.768,-3.598,0.249,0.781,0.00217,0.113,0.733,98.611,0B4sR5jBLUKaWbQzVjVznB,139439
0.594,0.785,-6.456,0.0816,0.258,0.0,0.255,0.651,169.926,3fyzv3NKRUhetAl1svCujE,175162
0.638,0.578,-5.108,0.1,0.212,0.0,0.0985,0.332,172.154,71Cmu4Hjt95iM80WOqWhqh,140870
0.838,0.592,-7.431,0.322,0.507,0.0,0.0904,0.56,140.045,52gnw9ctHcycIpMREoMMt9,192857
0.679,0.722,-5.975,0.0701,0.181,0.0,0.185,0.521,129.976,6PxRarQMMrZnB9m0vRhMW0,273853
0.744,0.696,-5.015,0.117,0.71,0.0,0.0808,0.406,120.146,4DS7HoqrKq1dDjeYOKBlu9,260493
0.606,0.853,-1.799,0.0713,0.0939,0.0,0.383,0.536,180.12,6rnbnQSMjqYvk6CqB4ZdBv,174835
0.78,0.69,-5.632,0.225,0.696,0.0,0.113,0.8,139.99,5GU3Iuxqi1SF1XVTIaonsT,237027
